target_label,xBmin,xBmax,Q2min,Q2max,t_abs_min,t_abs_max,n_pass1,n_pass2,fit_ok,A,A_err,B,pass1_fit_chi2,pass1_fit_ndf,pass1_fit_chi2_ndf,pass2_vs_pass1_fit_chi2,pass2_vs_pass1_fit_ndf,pass2_vs_pass1_fit_chi2_ndf,pass2_vs_pass1_fit_pseudo_sigma,output_file
10.6 GeV,0.204,0.268,2.51,3.295,0.8,1,16,12,1,0.106464535716,0.0269929186687,-0.539553759348,11.9118209728,14,0.850844355203,11.9135077201,12,0.992792310008,-0.0176551627047,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_074_10p6_GeV_average_xB_0p204_0p268_Q2_2p51_3p295_t_0p8_1.png
10.6 GeV,0.204,0.268,3.295,4.326,0.15,0.25,12,14,1,0.256888194584,0.0475945341634,0.263871413752,18.1998765525,10,1.81998765525,17.1454046205,14,1.22467175861,0.594425599901,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_075_10p6_GeV_average_xB_0p204_0p268_Q2_3p295_4p326_t_0p15_0p25.png
10.6 GeV,0.204,0.268,3.295,4.326,0.25,0.4,11,21,1,0.30564788902,0.0387573842551,0.0169657132071,5.09989312774,9,0.566654791971,26.1660783106,21,1.24600372908,0.797143189497,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_076_10p6_GeV_average_xB_0p204_0p268_Q2_3p295_4p326_t_0p25_0p4.png
10.6 GeV,0.204,0.268,3.295,4.326,0.4,0.6,0,19,0,0,0,0,0,0,,0,0,,0,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_077_10p6_GeV_average_xB_0p204_0p268_Q2_3p295_4p326_t_0p4_0p6.png
10.6 GeV,0.204,0.268,3.295,4.326,0.6,0.8,6,11,1,0.120072190132,0.0207877207015,-0.61544141157,6.11908130587,4,1.52977032647,9.53508813515,11,0.866826194104,-0.312320258985,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_078_10p6_GeV_average_xB_0p204_0p268_Q2_3p295_4p326_t_0p6_0p8.png
10.6 GeV,0.268,0.357,1.456,1.912,0.15,0.25,0,4,0,0,0,0,0,0,,0,0,,0,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_079_10p6_GeV_average_xB_0p268_0p357_Q2_1p456_1p912_t_0p15_0p25.png
10.6 GeV,0.268,0.357,1.456,1.912,0.25,0.4,1,6,0,0,0,0,0,0,,0,0,,0,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_080_10p6_GeV_average_xB_0p268_0p357_Q2_1p456_1p912_t_0p25_0p4.png
10.6 GeV,0.268,0.357,1.456,1.912,0.4,0.6,0,4,0,0,0,0,0,0,,0,0,,0,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_081_10p6_GeV_average_xB_0p268_0p357_Q2_1p456_1p912_t_0p4_0p6.png
10.6 GeV,0.268,0.357,1.456,1.912,0.6,0.8,0,1,0,0,0,0,0,0,,0,0,,0,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_082_10p6_GeV_average_xB_0p268_0p357_Q2_1p456_1p912_t_0p6_0p8.png
10.6 GeV,0.268,0.357,1.912,2.51,0.15,0.25,12,8,1,0.115395120166,0.017932373763,-0.889157240904,10.2738783852,10,1.02738783852,30.7877299911,8,3.84846624888,5.69693249777,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_083_10p6_GeV_average_xB_0p268_0p357_Q2_1p912_2p51_t_0p15_0p25.png
10.6 GeV,0.268,0.357,1.912,2.51,0.25,0.4,9,12,1,0.0636156837227,0.0160247453152,-0.949999951776,1.92012479476,7,0.274303542109,21.8802083136,12,1.8233506928,2.01678907674,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_084_10p6_GeV_average_xB_0p268_0p357_Q2_1p912_2p51_t_0p25_0p4.png
10.6 GeV,0.268,0.357,1.912,2.51,0.4,0.6,7,10,1,0.0850208237545,0.0356206346419,0.949999951776,3.74469061609,5,0.748938123218,10.9338109945,10,1.09338109945,0.208806486186,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_085_10p6_GeV_average_xB_0p268_0p357_Q2_1p912_2p51_t_0p4_0p6.png
10.6 GeV,0.268,0.357,1.912,2.51,0.6,0.8,12,1,1,0.0537137870096,0.0384762986965,0.886256198773,6.73578140117,10,0.673578140117,0.636778037017,1,0.636778037017,-0.256836713101,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_086_10p6_GeV_average_xB_0p268_0p357_Q2_1p912_2p51_t_0p6_0p8.png
10.6 GeV,0.268,0.357,1.912,2.51,0.8,1,8,1,1,0.105231428388,0.0607224115113,-0.764219279624,6.50188492285,6,1.08364748714,1.03200954409,1,1.03200954409,0.0226341656903,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_087_10p6_GeV_average_xB_0p268_0p357_Q2_1p912_2p51_t_0p8_1.png
10.6 GeV,0.268,0.357,2.51,3.295,0.15,0.25,5,11,1,0.84059325176,0.133657674788,0.949999951776,1.80281535963,3,0.60093845321,55.1927991866,11,5.01752719878,9.42193644434,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_088_10p6_GeV_average_xB_0p268_0p357_Q2_2p51_3p295_t_0p15_0p25.png
10.6 GeV,0.268,0.357,2.51,3.295,0.25,0.4,4,13,1,0.610542909076,0.0997537252564,0.949999951776,0.768892537051,2,0.384446268525,46.8635745203,13,3.60489034771,6.64119335688,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_089_10p6_GeV_average_xB_0p268_0p357_Q2_2p51_3p295_t_0p25_0p4.png
10.6 GeV,0.268,0.357,2.51,3.295,0.4,0.6,0,9,0,0,0,0,0,0,,0,0,,0,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_090_10p6_GeV_average_xB_0p268_0p357_Q2_2p51_3p295_t_0p4_0p6.png
10.6 GeV,0.268,0.357,2.51,3.295,0.6,0.8,1,8,0,0,0,0,0,0,,0,0,,0,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_091_10p6_GeV_average_xB_0p268_0p357_Q2_2p51_3p295_t_0p6_0p8.png
10.6 GeV,0.268,0.357,2.51,3.295,0.8,1,9,4,1,0.0629920129759,0.0684015258106,0.590397230426,7.24296478007,7,1.0347092543,15.7143533888,4,3.9285883472,4.14164935922,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_092_10p6_GeV_average_xB_0p268_0p357_Q2_2p51_3p295_t_0p8_1.png
10.6 GeV,0.268,0.357,3.295,4.326,0.25,0.4,18,14,1,0.352650330441,0.0299081470709,-0.14142510973,30.6799464027,16,1.91749665017,7420.6753677,14,530.04824055,1399.73007605,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_093_10p6_GeV_average_xB_0p268_0p357_Q2_3p295_4p326_t_0p25_0p4.png
10.6 GeV,0.268,0.357,3.295,4.326,0.4,0.6,1,14,0,0,0,0,0,0,,0,0,,0,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_094_10p6_GeV_average_xB_0p268_0p357_Q2_3p295_4p326_t_0p4_0p6.png
10.6 GeV,0.268,0.357,3.295,4.326,0.6,0.8,15,11,1,0.18525148512,0.0313704442902,-0.508125752834,17.5271860583,13,1.3482450814,7.78987333461,11,0.708170303147,-0.684401304652,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_095_10p6_GeV_average_xB_0p268_0p357_Q2_3p295_4p326_t_0p6_0p8.png
10.6 GeV,0.268,0.357,3.295,4.326,0.8,1,15,9,1,0.149484170932,0.0400174606564,-0.250629979111,18.8829340712,13,1.45253339009,8.61400574275,9,0.957111749194,-0.0909797189337,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_096_10p6_GeV_average_xB_0p268_0p357_Q2_3p295_4p326_t_0p8_1.png
10.6 GeV,0.268,0.357,4.326,5.761,0.25,0.4,0,10,0,0,0,0,0,0,,0,0,,0,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_097_10p6_GeV_average_xB_0p268_0p357_Q2_4p326_5p761_t_0p25_0p4.png
10.6 GeV,0.268,0.357,4.326,5.761,0.4,0.6,0,11,0,0,0,0,0,0,,0,0,,0,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_098_10p6_GeV_average_xB_0p268_0p357_Q2_4p326_5p761_t_0p4_0p6.png
10.6 GeV,0.357,0.446,1.912,2.51,0.25,0.4,0,7,0,0,0,0,0,0,,0,0,,0,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_099_10p6_GeV_average_xB_0p357_0p446_Q2_1p912_2p51_t_0p25_0p4.png
10.6 GeV,0.357,0.446,1.912,2.51,0.4,0.6,0,5,0,0,0,0,0,0,,0,0,,0,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_100_10p6_GeV_average_xB_0p357_0p446_Q2_1p912_2p51_t_0p4_0p6.png
10.6 GeV,0.357,0.446,2.51,3.295,0.25,0.4,12,11,1,0.175721080307,0.0280934360417,-0.833745554698,9.54653905508,10,0.954653905508,26.8842468326,11,2.44402243933,3.38653280348,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_101_10p6_GeV_average_xB_0p357_0p446_Q2_2p51_3p295_t_0p25_0p4.png
10.6 GeV,0.357,0.446,2.51,3.295,0.4,0.6,14,9,1,0.176088725541,0.0308698313752,0.949999951776,19.8864541746,12,1.65720451455,17.2710120704,9,1.91900134116,1.94949624076,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_102_10p6_GeV_average_xB_0p357_0p446_Q2_2p51_3p295_t_0p4_0p6.png
10.6 GeV,0.357,0.446,2.51,3.295,0.6,0.8,12,7,1,0.0760105010062,0.0355931975535,-0.907862878919,11.1616697054,10,1.11616697054,2.02477782534,7,0.289253975049,-1.32968405719,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_103_10p6_GeV_average_xB_0p357_0p446_Q2_2p51_3p295_t_0p6_0p8.png
10.6 GeV,0.357,0.446,3.295,4.326,0.25,0.4,19,10,1,0.147989817687,0.0220764415423,-0.8300841889,15.5219892997,17,0.913058194098,550200.129376,10,55020.0129376,123026.252983,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_104_10p6_GeV_average_xB_0p357_0p446_Q2_3p295_4p326_t_0p25_0p4.png
10.6 GeV,0.357,0.446,3.295,4.326,0.4,0.6,18,11,1,0.267294137258,0.0413347882677,-0.207552152163,14.5258671476,16,0.907866696725,16.5521796179,11,1.50474360163,1.18372867187,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_105_10p6_GeV_average_xB_0p357_0p446_Q2_3p295_4p326_t_0p4_0p6.png
10.6 GeV,0.357,0.446,3.295,4.326,0.6,0.8,12,7,1,0.341286619527,0.0769542674912,0.222314203308,13.4063693938,10,1.34063693938,3.86115330847,7,0.551593329781,-0.838892064952,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_106_10p6_GeV_average_xB_0p357_0p446_Q2_3p295_4p326_t_0p6_0p8.png
10.6 GeV,0.357,0.446,3.295,4.326,0.8,1,19,4,1,0.119832149582,0.0321646589308,-0.833617794812,20.7517888424,17,1.22069346132,6.72966146873,4,1.68241536718,0.96508106744,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_107_10p6_GeV_average_xB_0p357_0p446_Q2_3p295_4p326_t_0p8_1.png
10.6 GeV,0.357,0.446,4.326,5.761,0.25,0.4,1,7,0,0,0,0,0,0,,0,0,,0,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_108_10p6_GeV_average_xB_0p357_0p446_Q2_4p326_5p761_t_0p25_0p4.png
10.6 GeV,0.357,0.446,4.326,5.761,0.4,0.6,6,9,1,0.392521680459,0.0657049459518,0.0696587762901,2.04543318569,4,0.511358296423,4.32800229856,9,0.480889144284,-1.10120041879,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_109_10p6_GeV_average_xB_0p357_0p446_Q2_4p326_5p761_t_0p4_0p6.png
10.6 GeV,0.357,0.446,4.326,5.761,0.6,0.8,8,8,1,0.044626630664,0.0160768276666,-0.949999951776,4.14140930449,6,0.690234884081,1084207.05677,8,135525.882096,271049.764192,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_110_10p6_GeV_average_xB_0p357_0p446_Q2_4p326_5p761_t_0p6_0p8.png
10.6 GeV,0.446,0.581,2.51,3.295,0.4,0.6,0,3,0,0,0,0,0,0,,0,0,,0,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_111_10p6_GeV_average_xB_0p446_0p581_Q2_2p51_3p295_t_0p4_0p6.png
10.6 GeV,0.446,0.581,2.51,3.295,0.6,0.8,0,4,0,0,0,0,0,0,,0,0,,0,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_112_10p6_GeV_average_xB_0p446_0p581_Q2_2p51_3p295_t_0p6_0p8.png
10.6 GeV,0.446,0.581,3.295,4.326,0.4,0.6,0,4,0,0,0,0,0,0,,0,0,,0,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_113_10p6_GeV_average_xB_0p446_0p581_Q2_3p295_4p326_t_0p4_0p6.png
10.6 GeV,0.446,0.581,3.295,4.326,0.6,0.8,0,5,0,0,0,0,0,0,,0,0,,0,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_114_10p6_GeV_average_xB_0p446_0p581_Q2_3p295_4p326_t_0p6_0p8.png
10.6 GeV,0.446,0.581,3.295,4.326,0.8,1,0,2,0,0,0,0,0,0,,0,0,,0,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_115_10p6_GeV_average_xB_0p446_0p581_Q2_3p295_4p326_t_0p8_1.png
10.6 GeV,0.446,0.581,4.326,5.761,0.4,0.6,12,5,1,0.295690723794,0.0500408671547,0.0654159051296,4.96968706803,10,0.496968706803,6.42301563086,5,1.28460312617,0.449997053955,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_116_10p6_GeV_average_xB_0p446_0p581_Q2_4p326_5p761_t_0p4_0p6.png
10.6 GeV,0.446,0.581,4.326,5.761,0.6,0.8,1,7,0,0,0,0,0,0,,0,0,,0,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_117_10p6_GeV_average_xB_0p446_0p581_Q2_4p326_5p761_t_0p6_0p8.png
10.6 GeV,0.446,0.581,4.326,5.761,0.8,1,23,4,1,0.229384173789,0.0432495186077,-0.247913092066,40.7782978869,21,1.9418237089,6.05077295228,4,1.51269323807,0.725057730615,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_118_10p6_GeV_average_xB_0p446_0p581_Q2_4p326_5p761_t_0p8_1.png
Sp19 Inb,0.09,0.118,1.456,1.912,0.11,0.15,6,13,1,0.589783469085,0.062859317003,0.949999951776,19.0722742594,4,4.76806856484,124.751145569,13,9.59624196682,21.9162027662,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p2_GeV_Sp19_Inb/bsa_001_10p2_GeV_Sp19_Inb_xB_0p09_0p118_Q2_1p456_1p912_t_0p11_0p15.png
Sp19 Inb,0.09,0.118,1.456,1.912,0.15,0.25,13,15,1,0.0799891860973,0.00834396962381,-0.850175195466,37.112851705,11,3.37389560954,17.2980142801,15,1.15320095201,0.419558086222,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p2_GeV_Sp19_Inb/bsa_002_10p2_GeV_Sp19_Inb_xB_0p09_0p118_Q2_1p456_1p912_t_0p15_0p25.png
Sp19 Inb,0.09,0.118,1.456,1.912,0.25,0.4,15,12,1,0.240935512565,0.0227731748861,0.0866592823774,15.1347197813,13,1.16420921395,12.4742923515,12,1.03952436263,0.0968145208435,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p2_GeV_Sp19_Inb/bsa_003_10p2_GeV_Sp19_Inb_xB_0p09_0p118_Q2_1p456_1p912_t_0p25_0p4.png
Sp19 Inb,0.09,0.118,1.456,1.912,0.4,0.6,8,16,1,0.0676413488243,0.00966498815348,-0.949999951776,33.7383000866,6,5.62305001443,4.51499106449,16,0.282186941531,-2.03028192507,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p2_GeV_Sp19_Inb/bsa_004_10p2_GeV_Sp19_Inb_xB_0p09_0p118_Q2_1p456_1p912_t_0p4_0p6.png
Sp19 Inb,0.09,0.118,1.456,1.912,0.6,0.8,2,12,0,0,0,0,0,0,,0,0,,0,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p2_GeV_Sp19_Inb/bsa_005_10p2_GeV_Sp19_Inb_xB_0p09_0p118_Q2_1p456_1p912_t_0p6_0p8.png
Sp19 Inb,0.118,0.155,1.456,1.912,0.11,0.15,3,16,1,0.37618302261,0.235944523946,0.949999951776,4.08406874921,1,4.08406874921,143.106505224,16,8.94415657653,22.4694679443,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p2_GeV_Sp19_Inb/bsa_006_10p2_GeV_Sp19_Inb_xB_0p118_0p155_Q2_1p456_1p912_t_0p11_0p15.png
Sp19 Inb,0.118,0.155,1.456,1.912,0.15,0.25,13,20,1,0.243103329795,0.0575668873267,-0.132899439342,16.9576287904,11,1.54160261731,18.2428261336,20,0.912141306679,-0.27783358314,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p2_GeV_Sp19_Inb/bsa_007_10p2_GeV_Sp19_Inb_xB_0p118_0p155_Q2_1p456_1p912_t_0p15_0p25.png
Sp19 Inb,0.118,0.155,1.456,1.912,0.25,0.4,11,20,1,0.453195141332,0.0562272698532,0.318989964201,53.7353570835,9,5.9705952315,41.0070872768,20,2.05035436384,3.32151214003,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p2_GeV_Sp19_Inb/bsa_008_10p2_GeV_Sp19_Inb_xB_0p118_0p155_Q2_1p456_1p912_t_0p25_0p4.png
Sp19 Inb,0.118,0.155,1.456,1.912,0.4,0.6,6,16,1,0.113077092813,0.0505677331997,-0.304003350348,14.899541981,4,3.72488549525,28.4178185244,16,1.77611365777,2.19518092153,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p2_GeV_Sp19_Inb/bsa_009_10p2_GeV_Sp19_Inb_xB_0p118_0p155_Q2_1p456_1p912_t_0p4_0p6.png
Sp19 Inb,0.118,0.155,1.456,1.912,0.6,0.8,2,14,0,0,0,0,0,0,,0,0,,0,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p2_GeV_Sp19_Inb/bsa_010_10p2_GeV_Sp19_Inb_xB_0p118_0p155_Q2_1p456_1p912_t_0p6_0p8.png
Sp19 Inb,0.118,0.155,1.456,1.912,0.8,1,10,9,1,0.132637050978,0.146061125218,0.949999951776,23.769015271,8,2.97112690887,17.7485710126,9,1.97206344584,2.0620579629,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p2_GeV_Sp19_Inb/bsa_011_10p2_GeV_Sp19_Inb_xB_0p118_0p155_Q2_1p456_1p912_t_0p8_1.png
Sp19 Inb,0.118,0.155,1.912,2.51,0.11,0.15,0,13,0,0,0,0,0,0,,0,0,,0,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p2_GeV_Sp19_Inb/bsa_012_10p2_GeV_Sp19_Inb_xB_0p118_0p155_Q2_1p912_2p51_t_0p11_0p15.png
Sp19 Inb,0.118,0.155,1.912,2.51,0.15,0.25,17,20,1,0.264119567436,0.0247910846931,0.141106688573,33.3451972322,15,2.22301314882,26.4030234684,20,1.32015117342,1.01240690358,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p2_GeV_Sp19_Inb/bsa_013_10p2_GeV_Sp19_Inb_xB_0p118_0p155_Q2_1p912_2p51_t_0p15_0p25.png
Sp19 Inb,0.118,0.155,1.912,2.51,0.25,0.4,15,18,1,0.306172745163,0.024893226267,0.301738582588,36.2285986093,13,2.78681527764,18.2869275345,18,1.01594041858,0.047821255746,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p2_GeV_Sp19_Inb/bsa_014_10p2_GeV_Sp19_Inb_xB_0p118_0p155_Q2_1p912_2p51_t_0p25_0p4.png
Sp19 Inb,0.118,0.155,1.912,2.51,0.4,0.6,10,16,1,0.163065862268,0.0254562547213,-0.181936864579,33.7844996167,8,4.22306245209,30.5775010553,16,1.91109381596,2.57696246225,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p2_GeV_Sp19_Inb/bsa_015_10p2_GeV_Sp19_Inb_xB_0p118_0p155_Q2_1p912_2p51_t_0p4_0p6.png
Sp19 Inb,0.118,0.155,1.912,2.51,0.6,0.8,0,13,0,0,0,0,0,0,,0,0,,0,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p2_GeV_Sp19_Inb/bsa_016_10p2_GeV_Sp19_Inb_xB_0p118_0p155_Q2_1p912_2p51_t_0p6_0p8.png
Sp19 Inb,0.155,0.204,1.456,1.912,0.11,0.15,0,7,0,0,0,0,0,0,,0,0,,0,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p2_GeV_Sp19_Inb/bsa_017_10p2_GeV_Sp19_Inb_xB_0p155_0p204_Q2_1p456_1p912_t_0p11_0p15.png
Sp19 Inb,0.155,0.204,1.456,1.912,0.15,0.25,3,17,1,0.338239623613,0.0458696707252,0.425269158425,1.95852766327,1,1.95852766327,11.6898465934,17,0.687638034907,-0.910683796118,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p2_GeV_Sp19_Inb/bsa_018_10p2_GeV_Sp19_Inb_xB_0p155_0p204_Q2_1p456_1p912_t_0p15_0p25.png
Sp19 Inb,0.155,0.204,1.456,1.912,0.25,0.4,4,14,1,0.0447500461103,0.0192478325428,0.949999951776,7.99642359532,2,3.99821179766,21.24461074,14,1.51747219571,1.36910274024,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p2_GeV_Sp19_Inb/bsa_019_10p2_GeV_Sp19_Inb_xB_0p155_0p204_Q2_1p456_1p912_t_0p25_0p4.png
Sp19 Inb,0.155,0.204,1.456,1.912,0.4,0.6,4,15,1,-0.0313274315874,0.0519600138135,-0.784451267468,0.914311140272,2,0.457155570136,43.3825371528,15,2.89216914352,5.18191861261,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p2_GeV_Sp19_Inb/bsa_020_10p2_GeV_Sp19_Inb_xB_0p155_0p204_Q2_1p456_1p912_t_0p4_0p6.png
Sp19 Inb,0.155,0.204,1.456,1.912,0.6,0.8,0,14,0,0,0,0,0,0,,0,0,,0,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p2_GeV_Sp19_Inb/bsa_021_10p2_GeV_Sp19_Inb_xB_0p155_0p204_Q2_1p456_1p912_t_0p6_0p8.png
Sp19 Inb,0.155,0.204,1.456,1.912,0.8,1,0,5,0,0,0,0,0,0,,0,0,,0,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p2_GeV_Sp19_Inb/bsa_022_10p2_GeV_Sp19_Inb_xB_0p155_0p204_Q2_1p456_1p912_t_0p8_1.png
Sp19 Inb,0.155,0.204,1.912,2.51,0.11,0.15,0,10,0,0,0,0,0,0,,0,0,,0,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p2_GeV_Sp19_Inb/bsa_023_10p2_GeV_Sp19_Inb_xB_0p155_0p204_Q2_1p912_2p51_t_0p11_0p15.png
Sp19 Inb,0.155,0.204,1.912,2.51,0.15,0.25,16,21,1,0.343194820531,0.0261117641109,0.0327628102757,37.966161908,14,2.71186870772,35.2919555118,21,1.68056931009,2.20529661298,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p2_GeV_Sp19_Inb/bsa_024_10p2_GeV_Sp19_Inb_xB_0p155_0p204_Q2_1p912_2p51_t_0p15_0p25.png
Sp19 Inb,0.155,0.204,1.912,2.51,0.25,0.4,17,23,1,0.157133042476,0.0204379385562,-0.613634477609,28.9917484845,15,1.9327832323,25.3182435059,23,1.10079319591,0.341806357356,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p2_GeV_Sp19_Inb/bsa_025_10p2_GeV_Sp19_Inb_xB_0p155_0p204_Q2_1p912_2p51_t_0p25_0p4.png
Sp19 Inb,0.155,0.204,1.912,2.51,0.4,0.6,10,18,1,0.209227946775,0.0453704109951,0.112704590613,16.2373617857,8,2.02967022322,12.7012435929,18,0.705624644049,-0.883126067853,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p2_GeV_Sp19_Inb/bsa_026_10p2_GeV_Sp19_Inb_xB_0p155_0p204_Q2_1p912_2p51_t_0p4_0p6.png
Sp19 Inb,0.155,0.204,1.912,2.51,0.6,0.8,4,13,1,0.259931520394,0.0633158193885,0.534823022919,3.71230130188,2,1.85615065094,26.6654214874,13,2.05118626826,2.68000964714,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p2_GeV_Sp19_Inb/bsa_027_10p2_GeV_Sp19_Inb_xB_0p155_0p204_Q2_1p912_2p51_t_0p6_0p8.png
Sp19 Inb,0.155,0.204,1.912,2.51,0.8,1,9,12,1,0.0496842251473,0.0697127952064,0.949999951776,3.21516204292,7,0.459308863275,12.1896970788,12,1.0158080899,0.0387217540679,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p2_GeV_Sp19_Inb/bsa_028_10p2_GeV_Sp19_Inb_xB_0p155_0p204_Q2_1p912_2p51_t_0p8_1.png
Sp19 Inb,0.155,0.204,2.51,3.295,0.15,0.25,13,20,1,0.255859534837,0.0368186658143,0.359198584871,15.8220824001,11,1.43837112728,29.1816282786,20,1.45908141393,1.45174289947,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p2_GeV_Sp19_Inb/bsa_029_10p2_GeV_Sp19_Inb_xB_0p155_0p204_Q2_2p51_3p295_t_0p15_0p25.png
