target_label,xBmin,xBmax,Q2min,Q2max,t_abs_min,t_abs_max,n_pass1,n_pass2,fit_ok,A,A_err,B,pass1_fit_chi2,pass1_fit_ndf,pass1_fit_chi2_ndf,pass2_vs_pass1_fit_chi2,pass2_vs_pass1_fit_ndf,pass2_vs_pass1_fit_chi2_ndf,pass2_vs_pass1_fit_pseudo_sigma,output_file
10.6 GeV,0.09,0.118,1.2,1.456,0.6,0.8,0,10,0,0,0,0,0,0,,0,0,,0,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_018_10p6_GeV_average_xB_0p09_0p118_Q2_1p2_1p456_t_0p6_0p8.png
10.6 GeV,0.09,0.118,1.456,1.912,0.11,0.15,1,13,0,0,0,0,0,0,,0,0,,0,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_019_10p6_GeV_average_xB_0p09_0p118_Q2_1p456_1p912_t_0p11_0p15.png
10.6 GeV,0.09,0.118,1.456,1.912,0.15,0.25,19,15,1,0.249829181902,0.0149745054279,0.0703728076907,38.1003619354,17,2.2411977609,24.0787751963,15,1.60525167976,1.65754998985,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_020_10p6_GeV_average_xB_0p09_0p118_Q2_1p456_1p912_t_0p15_0p25.png
10.6 GeV,0.09,0.118,1.456,1.912,0.25,0.4,17,13,1,0.207265718278,0.0123717587533,-0.366134618251,20.6701198611,15,1.37800799074,15.6484431918,13,1.20372639937,0.519402442908,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_021_10p6_GeV_average_xB_0p09_0p118_Q2_1p456_1p912_t_0p25_0p4.png
10.6 GeV,0.09,0.118,1.456,1.912,0.4,0.6,14,16,1,0.0431847259184,0.00590190343832,-0.927327379163,31.6656832629,12,2.63880693857,27.2813684451,16,1.70508552782,1.99428303214,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_022_10p6_GeV_average_xB_0p09_0p118_Q2_1p456_1p912_t_0p4_0p6.png
10.6 GeV,0.09,0.118,1.456,1.912,0.6,0.8,1,12,0,0,0,0,0,0,,0,0,,0,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_023_10p6_GeV_average_xB_0p09_0p118_Q2_1p456_1p912_t_0p6_0p8.png
10.6 GeV,0.118,0.155,1.2,1.456,0.11,0.15,0,5,0,0,0,0,0,0,,0,0,,0,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_024_10p6_GeV_average_xB_0p118_0p155_Q2_1p2_1p456_t_0p11_0p15.png
10.6 GeV,0.118,0.155,1.2,1.456,0.15,0.25,6,8,1,0.10549040229,0.0223718818958,0.829549214238,17.6321791184,4,4.4080447796,16.7645241115,8,2.09556551394,2.19113102788,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_025_10p6_GeV_average_xB_0p118_0p155_Q2_1p2_1p456_t_0p15_0p25.png
10.6 GeV,0.118,0.155,1.2,1.456,0.25,0.4,11,8,1,0.253878365734,0.0452095667206,-0.462482461891,10.2207395698,9,1.13563772998,15.2135069489,8,1.90168836862,1.80337673723,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_026_10p6_GeV_average_xB_0p118_0p155_Q2_1p2_1p456_t_0p25_0p4.png
10.6 GeV,0.118,0.155,1.2,1.456,0.4,0.6,2,11,0,0,0,0,0,0,,0,0,,0,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_027_10p6_GeV_average_xB_0p118_0p155_Q2_1p2_1p456_t_0p4_0p6.png
10.6 GeV,0.118,0.155,1.2,1.456,0.6,0.8,0,5,0,0,0,0,0,0,,0,0,,0,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_028_10p6_GeV_average_xB_0p118_0p155_Q2_1p2_1p456_t_0p6_0p8.png
10.6 GeV,0.118,0.155,1.456,1.912,0.11,0.15,2,16,0,0,0,0,0,0,,0,0,,0,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_029_10p6_GeV_average_xB_0p118_0p155_Q2_1p456_1p912_t_0p11_0p15.png
10.6 GeV,0.118,0.155,1.456,1.912,0.15,0.25,10,20,1,0.0591471123369,0.0697400252426,-0.0133743953328,14.8387007353,8,1.85483759192,171.641674667,20,8.58208373336,23.9766540075,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_030_10p6_GeV_average_xB_0p118_0p155_Q2_1p456_1p912_t_0p15_0p25.png
10.6 GeV,0.118,0.155,1.456,1.912,0.25,0.4,11,20,1,0.272973452908,0.0238729238077,-0.116438285585,8.10084086204,9,0.900093429116,12.8861539433,20,0.644307697164,-1.12479782315,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_031_10p6_GeV_average_xB_0p118_0p155_Q2_1p456_1p912_t_0p25_0p4.png
10.6 GeV,0.118,0.155,1.456,1.912,0.4,0.6,5,16,1,0.179046267455,0.0316055820547,-0.382349396055,2.63527743308,3,0.878425811027,22.0671989291,16,1.37919993307,1.0725393764,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_032_10p6_GeV_average_xB_0p118_0p155_Q2_1p456_1p912_t_0p4_0p6.png
10.6 GeV,0.118,0.155,1.456,1.912,0.6,0.8,1,14,0,0,0,0,0,0,,0,0,,0,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_033_10p6_GeV_average_xB_0p118_0p155_Q2_1p456_1p912_t_0p6_0p8.png
10.6 GeV,0.118,0.155,1.456,1.912,0.8,1,30,9,1,0.125140245757,0.0312334506176,-0.0280490513653,52.7080310533,28,1.88242968048,11.029890016,9,1.22554333511,0.478449665123,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_034_10p6_GeV_average_xB_0p118_0p155_Q2_1p456_1p912_t_0p8_1.png
10.6 GeV,0.118,0.155,1.912,2.51,0.11,0.15,0,13,0,0,0,0,0,0,,0,0,,0,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_035_10p6_GeV_average_xB_0p118_0p155_Q2_1p912_2p51_t_0p11_0p15.png
