# phi(rad) q2(GeV2) xb t(GeV2) Eb(GeV) A sigA
2.83519 1.66234 0.152557 -0.542693 10.2 -0.0320458 0.0961508
3.36541 1.66297 0.158661 -0.580834 10.2 0.0476292 0.108338
4.79055 1.68764 0.149002 -0.620516 10.2 -0.166888 0.118065
5.16592 1.65763 0.153349 -0.622786 10.2 -0.0637423 0.107409
5.67886 1.7013 0.144389 -0.558375 10.2 -0.336356 0.115614
5.86768 1.66333 0.14681 -0.578094 10.2 -0.0152803 0.0414831
6.08541 1.67026 0.174675 -0.555064 10.2 0.0542667 0.0553917
0.121889 1.57425 0.114406 -1.13479 10.2 0.198784 0.0601381
0.362203 1.59106 0.113925 -0.983088 10.2 -0.092953 0.0766788
5.81504 1.61403 0.1161 -0.936701 10.2 -0.121317 0.0948042
5.98626 1.57316 0.114075 -0.982745 10.2 0.117809 0.0563316
6.18943 1.58908 0.11479 -1.15331 10.2 0.0558603 0.0723729
0.0963556 2.0234 0.146895 -0.153039 10.2 0.0144519 0.029808
0.288002 2.0326 0.145548 -0.155362 10.2 0.0785324 0.0264633
0.472598 2.04187 0.143273 -0.160538 10.2 0.130264 0.0265379
0.65032 2.02645 0.138996 -0.164275 10.2 0.106946 0.0352559
0.828154 2.01948 0.136613 -0.164282 10.2 0.329336 0.057255
1.0379 1.98712 0.134454 -0.159362 10.2 -0.272546 0.211952
1.96019 1.98966 0.147823 -0.166996 10.2 0.24106 0.0770047
2.36423 1.99981 0.146817 -0.170864 10.2 0.108634 0.0838141
2.7288 1.97886 0.145513 -0.173778 10.2 0.266575 0.0733567
3.20085 1.98431 0.144367 -0.177492 10.2 0.0349802 0.0850855
3.67741 1.98591 0.148928 -0.171245 10.2 -0.127259 0.128856
5.26362 1.93448 0.129211 -0.160286 10.2 -0.0170134 0.154571
5.4523 2.00478 0.135596 -0.163683 10.2 -0.294424 0.0753994
5.62872 2.02773 0.13906 -0.167438 10.2 -0.0965065 0.0347301
5.80937 2.04206 0.142866 -0.163157 10.2 -0.106931 0.0308691
5.99369 2.02331 0.145114 -0.157457 10.2 -0.0187838 0.0312942
6.18606 2.0237 0.146986 -0.154157 10.2 -0.0955899 0.0325955
0.094015 2.18777 0.191893 -0.182097 10.2 0.00293917 0.0443714
