bin 	 bin	 xB 	 xB 	 xB 	 Q2 	 Q2 	 Q2 	 |t| 	 |t| 	 |t| 	 t_min 	 t_col  
number 	name 	 min. 	 max. 	 avg. 	  min. 	 max. 	 avg. 	 min. 	 max. 	 avg. 	  	  
54 	 (3, 1, 3) 	 0.155 	 0.204 	 0.175 	 1.200 	 1.456 	 1.321 	 0.400 	 0.600 	 0.503 	 0.031 	 0.879
55 	 (3, 1, 4) 	 0.155 	 0.204 	 0.175 	 1.200 	 1.456 	 1.314 	 0.600 	 0.800 	 0.712 	 0.031 	 0.875
56 	 (3, 1, 5) 	 0.155 	 0.204 	 0.178 	 1.200 	 1.456 	 1.312 	 0.800 	 1.000 	 0.901 	 0.032 	 0.884
57 	 (3, 2, 0) 	 0.155 	 0.204 	 0.175 	 1.456 	 1.912 	 1.687 	 0.110 	 0.150 	 0.129 	 0.032 	 0.951
58 	 (3, 2, 1) 	 0.155 	 0.204 	 0.175 	 1.456 	 1.912 	 1.686 	 0.150 	 0.250 	 0.196 	 0.032 	 0.952
59 	 (3, 2, 2) 	 0.155 	 0.204 	 0.175 	 1.456 	 1.912 	 1.683 	 0.250 	 0.400 	 0.320 	 0.032 	 0.951
60 	 (3, 2, 3) 	 0.155 	 0.204 	 0.175 	 1.456 	 1.912 	 1.678 	 0.400 	 0.600 	 0.499 	 0.031 	 0.948
61 	 (3, 2, 4) 	 0.155 	 0.204 	 0.174 	 1.456 	 1.912 	 1.667 	 0.600 	 0.800 	 0.706 	 0.031 	 0.942
62 	 (3, 2, 5) 	 0.155 	 0.204 	 0.178 	 1.456 	 1.912 	 1.657 	 0.800 	 1.000 	 0.896 	 0.033 	 0.961
63 	 (3, 3, 0) 	 0.155 	 0.204 	 0.174 	 1.912 	 2.510 	 2.231 	 0.110 	 0.150 	 0.129 	 0.031 	 0.894
64 	 (3, 3, 1) 	 0.155 	 0.204 	 0.174 	 1.912 	 2.510 	 2.231 	 0.150 	 0.250 	 0.196 	 0.031 	 0.894
65 	 (3, 3, 2) 	 0.155 	 0.204 	 0.174 	 1.912 	 2.510 	 2.233 	 0.250 	 0.400 	 0.320 	 0.031 	 0.889
66 	 (3, 3, 3) 	 0.155 	 0.204 	 0.173 	 1.912 	 2.510 	 2.233 	 0.400 	 0.600 	 0.497 	 0.031 	 0.880
