
xB     Q2     -t     phi    sig              stat-err        sys-err
0.125  1.13   0.446  293.1  0.386997         0.0220016       0.0246834
0.125  1.13   0.446  308.2  0.662957         0.0385868       0.0421323
0.125  1.126  0.451  322.5  1.39112          0.0997755       0.0852932
0.125  1.125  0.615  22.9   0.910076         0.0689247       0.0603692
0.126  1.131  0.602  36.7   0.499811         0.0211358       0.0310921
0.125  1.131  0.603  51.8   0.352064         0.0192146       0.0227523
0.125  1.131  0.603  82     0.155004         0.016645        0.0143458
0.125  1.131  0.603  97.1   0.0851452        0.00785534      0.00994675
0.125  1.131  0.603  112.1  0.0902671        0.00872615      0.00895172
0.125  1.132  0.603  127.2  0.0692883        0.00821155      0.0104882
0.125  1.132  0.603  142.3  0.0594447        0.00959979      0.00758292
0.125  1.132  0.603  157.4  0.0694979        0.00836366      0.00453562
0.125  1.132  0.603  172.5  0.0780492        0.012202        0.00543417
0.125  1.132  0.603  187.5  0.0549715        0.0101629       0.00650007
0.125  1.132  0.603  202.6  0.0451041        0.00672662      0.00355275
0.125  1.132  0.603  217.7  0.0612732        0.00656281      0.00646752
0.125  1.132  0.603  232.8  0.06267          0.0068332       0.00651844
0.125  1.131  0.603  262.9  0.0960418        0.00958596      0.00765408
0.125  1.131  0.603  278    0.185771         0.0150603       0.0135877
0.125  1.131  0.603  293.1  0.215698         0.0158616       0.0198476
0.125  1.131  0.603  308.2  0.282977         0.0203607       0.0193214
0.126  1.131  0.602  323.3  0.647805         0.032533        0.0387197
0.125  1.125  0.615  337.1  0.801775         0.052835        0.0502224
0.126  1.13   0.859  7.3    0.329197         0.0188547       0.0208522
0.126  1.13   0.86   21.9   0.255241         0.0145719       0.015907
0.126  1.13   0.862  36.8   0.154395         0.00837983      0.0104128
0.125  1.131  0.863  51.8   0.0900297        0.0060773       0.00786958
0.125  1.131  0.864  66.9   0.067338         0.00630898      0.00555511
0.125  1.131  0.864  82     0.048208         0.00604392      0.00386852
0.125  1.132  0.864  97.1   0.0362127        0.00428624      0.00376946
0.125  1.132  0.864  112.1  0.0291899        0.00392509      0.00276145
0.125  1.132  0.864  127.2  0.0260556        0.00499986      0.00216858
0.125  1.132  0.864  157.4  0.0208541        0.00645693      0.00397682
0.125  1.132  0.864  187.5  0.0135793        0.0131094       0.000791803
0.125  1.132  0.864  202.6  0.0167727        0.00924293      0.00436696
0.125  1.132  0.864  217.7  0.00847254       0.00288071      0.00147468
0.125  1.132  0.864  232.8  0.0256329        0.0046791       0.00187016
0.125  1.132  0.864  262.9  0.0324644        0.0043757       0.00318831
0.125  1.131  0.864  278    0.0495266        0.00453731      0.00526502
0.125  1.131  0.864  293.1  0.0727991        0.00680726      0.00567375
0.125  1.131  0.863  308.2  0.107006         0.0107861       0.0085556
0.126  1.13   0.862  323.2  0.172341         0.0123425       0.0111001
0.126  1.13   0.86   338.1  0.266052         0.0131964       0.0171265
0.126  1.13   0.859  352.7  0.300045         0.0140718       0.0181897
0.126  1.127  1.398  7.3    0.0498203        0.00390924      0.00351328
0.126  1.128  1.39   21.9   0.0447819        0.00497646      0.00420731
0.126  1.13   1.382  36.8   0.0264628        0.00264436      0.00187297
0.125  1.131  1.379  51.8   0.0161826        0.00203871      0.003093
0.125  1.132  1.377  66.9   0.0084851        0.00152066      0.00185801
0.125  1.132  1.376  82     0.0101125        0.00348003      0.00184189
0.125  1.133  1.377  97.1   0.00708365       0.00283992      0.000984961
0.125  1.132  1.377  157.3  0.0191967        0.0170112       0.00205979
0.125  1.133  1.377  172.5  0.00272545       0.00245686      0.000955398
0.125  1.133  1.377  262.9  0.0156057        0.00751085      0.0044364
0.125  1.132  1.376  278    0.00922965       0.00195526      0.000595421
0.125  1.132  1.377  293.1  0.00710834       0.00119029      0.000742781
0.125  1.131  1.379  308.2  0.0142573        0.0026114       0.00217306
0.126  1.13   1.382  323.2  0.0172014        0.00230947      0.0013493
0.126  1.128  1.39   338.1  0.0403827        0.00321457      0.00303246
0.126  1.127  1.398  352.7  0.048442         0.00321058      0.00364823
0.155  1.302  0.108  37.7   8.23678          0.598119        0.578312
0.154  1.298  0.109  52     5.00441          0.266678        0.323862
0.154  1.299  0.109  67     2.64773          0.167406        0.39268
0.154  1.3    0.108  82.1   2.07881          0.117202        0.183145
0.154  1.3    0.108  97.1   1.67811          0.105728        0.12441
0.154  1.301  0.108  112.2  1.40981          0.110559        0.104538
0.154  1.301  0.108  127.3  1.0984           0.12855         0.149692
0.154  1.301  0.108  142.3  0.980573         0.0970792       0.0793515
0.154  1.301  0.108  157.4  1.25728          0.122743        0.0956927
0.154  1.301  0.108  172.5  1.04651          0.124711        0.194367
0.154  1.301  0.108  202.6  1.11702          0.10238         0.0794058
0.154  1.301  0.108  217.7  1.45178          0.137546        0.0997436
0.154  1.301  0.108  232.7  1.36759          0.148592        0.13621
0.154  1.301  0.108  247.8  1.56236          0.136763        0.127669
0.154  1.3    0.108  262.9  2.01608          0.142367        0.262953
0.154  1.3    0.108  277.9  2.17606          0.129938        0.164348
0.154  1.299  0.109  293    3.3178           0.212158        0.66454
0.154  1.298  0.109  308    4.54306          0.231901        0.314016
0.155  1.302  0.108  322.3  5.52355          0.374576        0.408638
0.154  1.299  0.153  51.9   3.04542          0.133277        0.187298
0.154  1.3    0.153  67     2.38881          0.138971        0.147224
0.154  1.301  0.153  82     1.73407          0.0946582       0.133813
0.154  1.301  0.153  97.1   1.20052          0.0765157       0.0765496
0.154  1.301  0.153  112.2  0.794147         0.0541113       0.051129
0.154  1.301  0.153  127.3  0.643021         0.0629005       0.0513932
0.154  1.301  0.152  142.3  0.902898         0.0863848       0.0621506
0.154  1.302  0.152  157.4  0.617603         0.0513603       0.0443181
0.154  1.302  0.152  172.5  0.43107          0.0398198       0.0401371
0.154  1.302  0.152  187.5  0.647892         0.0719001       0.0834562
0.154  1.302  0.152  202.6  0.530371         0.0452344       0.0324491
0.154  1.301  0.152  217.7  0.721772         0.0585051       0.0538252
0.154  1.301  0.153  232.7  0.895296         0.0871091       0.080821
0.154  1.301  0.153  247.8  1.06988          0.0886476       0.0654768
0.154  1.301  0.153  262.9  1.02235          0.0601738       0.0768817
0.154  1.301  0.153  278    1.46553          0.0763453       0.112081
0.154  1.3    0.153  293    2.16854          0.115588        0.146495
0.154  1.299  0.153  308.1  3.50918          0.170362        0.251043
0.154  1.3    0.203  51.8   1.92326          0.0927964       0.120819
0.154  1.301  0.203  66.9   1.27982          0.0835183       0.0814912
0.154  1.301  0.203  82     0.92037          0.0619325       0.0733856
0.154  1.301  0.203  97.1   0.717826         0.0516958       0.0493281
0.154  1.302  0.203  112.2  0.445147         0.0368982       0.028653
0.154  1.302  0.203  127.2  0.378148         0.0437365       0.039268
0.154  1.302  0.203  142.3  0.650709         0.0739084       0.0502457
0.154  1.302  0.203  157.4  0.528961         0.0595839       0.0598631
0.154  1.302  0.203  172.5  0.405984         0.0445942       0.0425617
0.154  1.302  0.203  187.5  0.234842         0.0295124       0.0209214
0.154  1.302  0.203  202.6  0.360737         0.032653        0.0262366
0.154  1.302  0.203  217.7  0.387786         0.0372327       0.0266276
0.154  1.302  0.203  232.8  0.378168         0.0382321       0.0331296
0.154  1.302  0.203  247.8  0.593759         0.0584935       0.0423708
0.154  1.301  0.203  262.9  0.650234         0.0505554       0.0490593
0.154  1.301  0.203  278    0.957218         0.0569282       0.0577243
0.154  1.301  0.203  293.1  1.24123          0.0761994       0.0826356
0.154  1.3    0.203  308.2  2.2424           0.121742        0.141373
0.154  1.301  0.262  51.7   1.53278          0.0695335       0.0926794
0.154  1.301  0.262  66.9   0.913208         0.0606019       0.0783132
0.154  1.302  0.262  82     0.672708         0.0496651       0.0445721
0.154  1.302  0.262  97.1   0.375769         0.0276074       0.0285795
0.154  1.302  0.262  112.2  0.370044         0.033206        0.0239508
0.154  1.302  0.261  127.2  0.24269          0.0268083       0.0335581
0.154  1.302  0.261  142.3  0.30076          0.0355549       0.0395689
0.154  1.302  0.261  157.4  0.200858         0.0207694       0.0192229
0.154  1.302  0.261  187.5  0.312629         0.0389378       0.0350999
