
xB     Q2     -t     phi    sig              stat-err        sys-err
0.214  1.685  0.262  82     0.264824         0.0189996       0.0179901
0.214  1.686  0.262  97.1   0.183517         0.0129894       0.0153081
0.214  1.686  0.262  112.2  0.175903         0.0142905       0.0120065
0.214  1.687  0.262  127.2  0.141554         0.0166015       0.0159522
0.214  1.687  0.262  142.3  0.124429         0.0192191       0.0099575
0.214  1.687  0.262  157.4  0.0948819        0.0116565       0.00727039
0.214  1.687  0.262  172.5  0.0549179        0.00908426      0.00624787
0.214  1.687  0.262  187.5  0.0699279        0.0115496       0.00494512
0.214  1.687  0.262  202.6  0.0910117        0.0125115       0.00766034
0.214  1.687  0.262  217.7  0.101172         0.010604        0.00716295
0.214  1.687  0.262  232.8  0.131614         0.0150431       0.00931658
0.214  1.686  0.262  247.8  0.123723         0.0119306       0.0104832
0.214  1.686  0.262  262.9  0.160835         0.0121793       0.0110954
0.214  1.685  0.262  278    0.262657         0.0161617       0.0210645
0.214  1.684  0.262  293.1  0.354151         0.0230877       0.0282889
0.214  1.684  0.263  308.2  0.588819         0.032919        0.045144
0.214  1.683  0.263  323.2  0.932636         0.0348895       0.0710451
0.214  1.683  0.342  36.6   0.628714         0.023871        0.037655
0.214  1.684  0.341  51.8   0.321769         0.0142399       0.0207702
0.214  1.684  0.341  66.9   0.240912         0.0155363       0.014841
0.214  1.685  0.341  82     0.185527         0.0165716       0.0110454
0.214  1.686  0.341  97.1   0.0978595        0.00827622      0.00793225
0.214  1.686  0.34   112.2  0.0784283        0.0072512       0.0107507
0.214  1.687  0.34   127.2  0.087302         0.0120145       0.0062967
0.214  1.687  0.34   142.3  0.0584146        0.0129788       0.0138927
0.215  1.687  0.34   157.4  0.0753           0.0208094       0.0150112
0.215  1.687  0.34   172.5  0.0537651        0.0159489       0.0132403
0.215  1.687  0.34   187.5  0.0340283        0.0105417       0.00555175
0.215  1.687  0.34   202.6  0.0721205        0.0158678       0.00517051
0.214  1.687  0.34   232.8  0.0925368        0.0124424       0.00734667
0.214  1.686  0.34   247.8  0.0956256        0.0115671       0.0135035
0.214  1.686  0.341  262.9  0.103168         0.00868771      0.00711307
0.214  1.685  0.341  278    0.161536         0.0116433       0.0122073
0.214  1.684  0.341  293.1  0.240113         0.0162539       0.0169394
0.214  1.684  0.341  308.2  0.331657         0.0194443       0.0319422
0.214  1.683  0.342  323.4  0.646993         0.027474        0.0597374
0.214  1.682  0.449  36.5   0.371549         0.0145871       0.0225923
0.214  1.683  0.448  51.7   0.227984         0.0115964       0.0161787
0.214  1.684  0.448  66.8   0.140268         0.00966761      0.0098823
0.215  1.685  0.447  81.9   0.113643         0.0106872       0.00872004
0.215  1.686  0.447  97     0.0632555        0.00634325      0.00800122
0.215  1.686  0.447  112.1  0.0701116        0.0083805       0.00740028
0.215  1.687  0.447  127.2  0.0600614        0.0116662       0.0167989
0.215  1.687  0.447  142.3  0.0822407        0.0490614       0.00580167
0.215  1.687  0.447  217.7  0.0315484        0.0103572       0.00470559
0.215  1.687  0.447  232.8  0.0659971        0.0144133       0.00765883
0.215  1.686  0.447  247.9  0.0657784        0.010039        0.0108708
0.215  1.686  0.447  263    0.0663415        0.00666764      0.00554253
0.215  1.685  0.447  278.1  0.0840383        0.00668978      0.00574194
0.214  1.684  0.448  293.2  0.150575         0.0110044       0.0107372
0.214  1.683  0.448  308.3  0.234145         0.0152161       0.0152628
0.214  1.682  0.449  323.5  0.361553         0.0167318       0.157746
0.215  1.682  0.606  36.3   0.198478         0.00860521      0.0134708
0.215  1.683  0.606  51.6   0.101908         0.00556924      0.00630148
0.215  1.684  0.605  66.8   0.0592238        0.00475871      0.00492689
0.215  1.685  0.605  81.9   0.0554096        0.00708024      0.00959401
0.215  1.686  0.605  97     0.0386733        0.00563008      0.00934305
0.215  1.687  0.604  112.1  0.0141365        0.0035017       0.00514978
0.215  1.687  0.604  127.2  0.0235798        0.0128453       0.00137493
0.215  1.687  0.604  247.9  0.0227315        0.00514977      0.00721235
0.215  1.686  0.605  263    0.0395297        0.00495268      0.00527281
0.215  1.685  0.605  278.1  0.0381358        0.00341255      0.00283868
0.215  1.684  0.605  293.2  0.0671272        0.00539028      0.00467028
0.215  1.683  0.606  308.4  0.108347         0.00749935      0.00784562
0.215  1.682  0.606  323.7  0.219847         0.0108749       0.0251446
0.215  1.673  0.895  22.9   0.187259         0.0126692       0.0161345
0.215  1.681  0.866  36.4   0.0767925        0.00418758      0.0045813
0.215  1.683  0.868  51.6   0.0375907        0.00269574      0.00246474
0.215  1.684  0.868  66.8   0.0314781        0.00310946      0.00238278
0.215  1.685  0.867  81.9   0.0240537        0.00417699      0.00151835
0.215  1.686  0.867  97     0.0108673        0.00373803      0.00063367
0.215  1.688  0.866  172.4  0.0447497        0.0252344       0.00274262
0.215  1.686  0.867  263    0.0113035        0.0033294       0.00179866
0.215  1.685  0.867  278.1  0.0152823        0.00183362      0.00187347
0.215  1.684  0.868  293.2  0.0256656        0.00252389      0.0017796
0.215  1.683  0.868  308.4  0.0381331        0.00320168      0.00281665
0.215  1.681  0.866  323.6  0.0710799        0.00404035      0.00441619
0.215  1.673  0.895  337.1  0.145484         0.00740449      0.158078
0.216  1.673  1.364  7      0.0484962        0.00270339      0.00291063
0.215  1.676  1.376  21.6   0.0291807        0.00254416      0.00183957
0.215  1.68   1.383  36.5   0.014679         0.00138564      0.0017114
0.215  1.682  1.385  51.6   0.0087578        0.00128452      0.000766394
0.215  1.684  1.385  66.7   0.00425004       0.000678198     0.000471426
0.214  1.685  1.384  81.9   0.00331012       0.00173519      0.00185676
0.216  1.689  1.384  142.4  0.0101613        0.00773895      0.00122165
0.214  1.687  1.383  157.4  0.0036738        0.00187265      0.00132023
0.215  1.689  1.386  187.3  0.00379233       0.00146884      0.00147357
0.214  1.687  1.383  202.6  0.00597346       0.00473546      0.00214021
0.215  1.687  1.384  232.9  0.0170907        0.0129106       0.00475819
0.214  1.685  1.384  278.1  0.0144132        0.00664295      0.000926439
0.215  1.684  1.385  293.3  0.00428638       0.000794917     0.000866627
0.215  1.682  1.385  308.4  0.0102989        0.00191212      0.000750243
0.215  1.68   1.383  323.5  0.0194494        0.00206073      0.00230548
0.215  1.676  1.376  338.4  0.0277408        0.00166488      0.00191694
0.216  1.673  1.364  353    0.0488872        0.00248608      0.145585
0.216  1.904  0.108  22.7   2.56932          0.175493        0.18816
0.215  1.925  0.109  37.5   2.11212          0.109168        0.128228
0.214  1.933  0.109  52.1   1.75708          0.0894038       0.11752
0.214  1.933  0.109  67.1   1.23438          0.0823361       0.104368
0.215  1.934  0.109  82.2   0.934208         0.0651539       0.0731701
0.215  1.934  0.109  97.2   0.885336         0.0629343       0.0542668
0.215  1.935  0.109  112.2  0.472914         0.035316        0.0290534
0.215  1.935  0.108  127.3  0.414703         0.0456978       0.0498619
0.215  1.936  0.108  142.4  0.380396         0.0442961       0.034359
0.215  1.936  0.108  157.4  0.364298         0.0367919       0.0264462
0.215  1.936  0.108  172.5  0.338494         0.0371774       0.0274116
0.215  1.936  0.108  187.5  0.274917         0.0329969       0.0408518
0.215  1.936  0.108  202.6  0.44882          0.0415849       0.0301971
0.215  1.936  0.108  217.6  0.526433         0.0489438       0.0376199
0.215  1.935  0.108  232.7  0.424838         0.0408671       0.0333214
0.215  1.935  0.109  247.8  0.698451         0.0610732       0.050373
0.215  1.934  0.109  262.8  0.679389         0.0437487       0.0501947
0.215  1.934  0.109  277.8  0.728318         0.0440689       0.0591711
0.214  1.933  0.109  292.9  1.37492          0.0837459       0.106572
0.214  1.933  0.109  307.9  1.60086          0.0881788       0.132711
0.215  1.925  0.109  322.5  2.04695          0.108625        0.154405
0.216  1.904  0.108  337.3  2.94164          0.185504        0.221983
0.215  1.908  0.153  37.9   2.0197           0.102081        0.122606
0.215  1.934  0.154  52.1   1.38164          0.05725         0.0814672
0.215  1.934  0.153  67.1   0.926364         0.0467571       0.0563249
0.215  1.934  0.153  82.1   0.67866          0.0374081       0.0425013
0.215  1.935  0.153  97.2   0.51694          0.0273903       0.0316124
0.215  1.935  0.153  112.2  0.402278         0.0255446       0.0252607
0.215  1.936  0.153  127.3  0.350552         0.0305246       0.02312
0.215  1.936  0.153  142.3  0.267996         0.0238296       0.0229958
0.215  1.937  0.153  157.4  0.292294         0.0244225       0.0253298
0.215  1.937  0.153  172.5  0.24747          0.0228685       0.018555
0.215  1.937  0.153  187.5  0.241517         0.0244471       0.0172639
0.215  1.937  0.153  202.6  0.306084         0.025776        0.0229889
0.215  1.936  0.153  217.7  0.289761         0.021572        0.0215498
0.215  1.936  0.153  232.7  0.337914         0.0275687       0.0355844
0.215  1.935  0.153  247.8  0.379756         0.026858        0.0249368
0.215  1.935  0.153  262.8  0.614213         0.03244         0.0428177
0.215  1.934  0.153  277.9  0.753723         0.0368553       0.0484682
0.215  1.934  0.153  292.9  1.10269          0.0514893       0.0652832
0.215  1.934  0.154  307.9  1.32993          0.0609901       0.105185
0.215  1.908  0.153  322.1  1.84248          0.0961174       0.21434
0.215  1.933  0.204  52     0.845223         0.0376244       0.0511072
0.215  1.934  0.203  67     0.695719         0.0382835       0.0568325
0.215  1.935  0.203  82.1   0.578473         0.0384148       0.0343567
0.215  1.935  0.203  97.1   0.361316         0.0225472       0.0299738
0.215  1.936  0.203  112.2  0.26638          0.0192297       0.0227904
0.215  1.936  0.203  127.3  0.227379         0.0226558       0.0275008
0.215  1.936  0.203  142.3  0.209424         0.022929        0.0178631
0.215  1.937  0.203  157.4  0.142025         0.0129665       0.0103075
0.215  1.937  0.203  172.5  0.161726         0.0156429       0.012647
0.215  1.937  0.203  187.5  0.111693         0.013667        0.0126213
0.215  1.937  0.203  202.6  0.168108         0.0161694       0.0157707
0.215  1.936  0.203  217.7  0.166353         0.0142323       0.0115636
0.215  1.936  0.203  232.7  0.239414         0.0226418       0.0176833
0.215  1.936  0.203  247.8  0.283647         0.024548        0.0180664
0.215  1.935  0.203  262.9  0.351786         0.0217429       0.0239217
0.215  1.935  0.203  277.9  0.475152         0.0251576       0.0306066
0.215  1.934  0.203  293    0.688784         0.0356161       0.0432615
0.215  1.933  0.204  308    0.866855         0.0443988       0.0619938
0.215  1.934  0.262  51.8   0.654098         0.027771        0.0409618
0.215  1.934  0.262  66.9   0.443696         0.0233385       0.0276218
0.215  1.934  0.262  82     0.244159         0.0157576       0.0186481
0.215  1.935  0.262  97.1   0.203887         0.0129146       0.019166
0.215  1.936  0.262  112.2  0.161523         0.0115176       0.0124878
0.215  1.936  0.262  127.3  0.151207         0.0142677       0.0134679
0.215  1.936  0.262  142.3  0.131107         0.0133821       0.00962988
0.215  1.937  0.262  157.4  0.11372          0.0109845       0.00963593
0.215  1.937  0.262  172.5  0.0808926        0.00812286      0.00734178
0.215  1.937  0.262  187.5  0.123844         0.0150136       0.0208816
0.215  1.937  0.262  202.6  0.0855673        0.00839359      0.00983014
0.215  1.936  0.262  217.7  0.112071         0.0104875       0.0101616
0.215  1.936  0.262  232.7  0.156706         0.0138324       0.0111532
0.215  1.936  0.262  247.8  0.189533         0.0168489       0.0209214
0.215  1.935  0.262  262.9  0.231581         0.0156058       0.0164933
0.215  1.934  0.262  278    0.27617          0.0155166       0.023159
0.215  1.934  0.262  293.1  0.428976         0.0223003       0.0261596
0.215  1.934  0.262  308.2  0.651885         0.031893        0.0508617
0.215  1.933  0.341  51.7   0.450985         0.0206564       0.0294787
0.215  1.933  0.341  66.9   0.262382         0.0152894       0.0159104
0.215  1.934  0.341  82     0.191865         0.01332         0.0127148
0.215  1.935  0.34   97.1   0.102257         0.00781595      0.00672533
0.215  1.935  0.34   112.2  0.111608         0.00895513      0.00774392
0.215  1.936  0.34   127.3  0.0733387        0.00779131      0.0073499
0.215  1.937  0.34   157.4  0.0636118        0.00748619      0.00495166
0.215  1.937  0.34   172.5  0.0453602        0.00541886      0.00358966
0.215  1.937  0.34   187.5  0.0450969        0.00646855      0.00334256
0.215  1.937  0.34   202.6  0.056396         0.0062594       0.00675458
0.215  1.936  0.34   217.7  0.0782286        0.00779181      0.00684593
0.215  1.936  0.34   232.7  0.0914519        0.00895857      0.00755708
0.215  1.935  0.34   247.8  0.09121          0.00850998      0.0069634
0.215  1.935  0.34   262.9  0.133051         0.0100746       0.0106936
0.215  1.934  0.341  278    0.153561         0.00905936      0.0119805
0.215  1.933  0.341  293.1  0.253365         0.0143209       0.0238173
0.215  1.933  0.341  308.3  0.437996         0.0224785       0.0330194
0.215  1.932  0.447  51.7   0.228099         0.0106159       0.0143636
0.215  1.933  0.447  66.9   0.157073         0.0107338       0.0106142
0.215  1.934  0.447  82     0.118357         0.00982837      0.0126686
0.215  1.935  0.447  97.1   0.0602117        0.00574833      0.00426927
0.215  1.935  0.447  112.2  0.0575417        0.00523219      0.00434173
0.215  1.936  0.447  127.2  0.0573184        0.00805424      0.00521115
0.215  1.937  0.447  157.4  0.0298434        0.00395915      0.00271898
0.215  1.937  0.447  187.5  0.0262294        0.00435391      0.00608214
0.215  1.937  0.447  202.6  0.0348609        0.00541083      0.00253287
0.215  1.936  0.447  217.7  0.0343341        0.0037653       0.00309473
0.215  1.936  0.447  232.8  0.0434255        0.00506073      0.0055592
0.215  1.935  0.447  247.8  0.0615419        0.00760514      0.00676245
0.215  1.935  0.447  262.9  0.0747593        0.00688679      0.00618117
0.215  1.934  0.447  278    0.0900246        0.0062324       0.00694168
0.215  1.933  0.447  293.1  0.122882         0.00779784      0.008296
0.215  1.932  0.447  308.3  0.237027         0.0125046       0.026105
0.215  1.923  0.608  36.9   0.202322         0.0107029       0.0126426
0.215  1.93   0.604  51.7   0.118539         0.0063497       0.00761063
0.215  1.932  0.604  66.9   0.0549148        0.00425637      0.00422645
0.215  1.933  0.604  82     0.0380389        0.00393794      0.00528594
0.215  1.934  0.604  97.1   0.0270858        0.00285253      0.00264423
0.215  1.935  0.604  112.2  0.0211591        0.00237287      0.00173647
0.215  1.936  0.604  127.2  0.014052         0.00225201      0.00600872
0.215  1.936  0.604  142.3  0.0100164        0.00324762      1427.17
0.215  1.937  0.604  157.4  0.0150745        0.00332783      0.0133191
0.215  1.937  0.604  172.5  0.0511464        0.0202857       0.0030958
0.215  1.937  0.604  187.5  0.00234716       0.00157308      0.00163464
0.215  1.936  0.604  217.7  0.0131243        0.00228563      0.00234301
0.215  1.936  0.604  232.8  0.0170695        0.0026842       0.00260473
0.215  1.935  0.604  247.8  0.0268295        0.00388834      0.0072927
0.215  1.934  0.604  262.9  0.0370549        0.00404257      0.00408148
0.215  1.933  0.604  278    0.0418602        0.00364311      0.00350019
0.215  1.932  0.604  293.1  0.061127         0.00440777      0.00542267
0.215  1.93   0.604  308.3  0.130651         0.00889226      0.0102679
0.215  1.923  0.608  323.1  0.211618         0.0137257       0.0123431
0.215  1.921  0.892  23     0.123893         0.0102561       0.00790423
0.215  1.925  0.862  36.6   0.0681213        0.00376452      0.00415913
0.215  1.929  0.865  51.8   0.029555         0.00196424      0.00218773
0.215  1.931  0.866  66.9   0.023907         0.00228061      0.00179724
0.215  1.933  0.866  82     0.0137905        0.00181492      0.00173993
0.215  1.934  0.866  97.1   0.0178418        0.00307281      0.0018399
0.215  1.935  0.866  112.2  0.0122252        0.00219944      0.00237761
0.215  1.936  0.866  127.2  0.00744138       0.00215955      0.00251945
0.215  1.937  0.865  202.6  0.00371937       0.00341023      0.00106794
0.215  1.937  0.866  217.7  0.00663648       0.00321867      0.000838316
0.215  1.936  0.866  232.8  0.00571052       0.00220163      0.00223976
0.215  1.935  0.866  247.8  0.0197299        0.00583157      0.00154448
0.215  1.934  0.866  262.9  0.014146         0.00212142      0.0015958
0.215  1.933  0.866  278    0.0173678        0.00202116      0.00164777
0.215  1.931  0.866  293.1  0.0160338        0.00139339      0.00188862
0.215  1.929  0.865  308.2  0.044306         0.00381493      0.00329109
0.215  1.925  0.862  323.4  0.0695941        0.00426987      0.00519049
0.215  1.921  0.892  337    0.107009         0.00675553      0.0247287
0.216  1.917  1.362  7.2    0.0209957        0.001465        0.0015814
0.216  1.92   1.371  21.9   0.0148583        0.00122253      0.00100988
0.215  1.927  1.382  51.8   0.00638261       0.000748031     0.000585715
0.215  1.931  1.384  66.9   0.00558103       0.000983309     0.00072716
0.215  1.933  1.384  82     0.00537137       0.00129955      0.000448396
0.215  1.934  1.384  97.1   0.00227916       0.00091629      0.000132897
0.215  1.934  1.384  262.9  0.0024793        0.00135737      0.000235485
0.215  1.933  1.384  278    0.00211954       0.000385463     0.000340192
0.215  1.931  1.384  293.1  0.00553967       0.000893081     0.000596842
0.215  1.927  1.382  308.2  0.00794383       0.00114037      0.00113209
0.216  1.924  1.378  323.2  0.0135789        0.00156433      0.000957928
0.216  1.92   1.371  338.1  0.0140866        0.00101302      0.0013047
0.216  1.917  1.362  352.8  0.026505         0.00162822      0.0212356
0.243  1.843  0.11   7.4    0.893222         0.0554985       0.0639195
0.244  1.843  0.11   22.3   0.930084         0.0525863       0.0563018
0.244  1.844  0.11   37.3   0.717814         0.0399065       0.0443729
0.244  1.844  0.11   52.2   0.76956          0.0589861       0.062815
0.244  1.845  0.109  67.2   0.443319         0.0419932       0.0387551
0.244  1.846  0.109  82.2   0.36014          0.0443356       0.0229134
0.244  1.847  0.109  97.2   0.331225         0.0324419       0.0248523
0.244  1.847  0.109  112.3  0.229885         0.0208435       0.016449
0.244  1.848  0.109  127.3  0.157032         0.0205092       0.0123267
0.244  1.849  0.109  142.3  0.0581925        0.0154364       0.00370391
0.244  1.849  0.109  157.4  0.0876001        0.0176938       0.00592704
0.244  1.85   0.109  172.5  0.0329614        0.0121705       0.00212287
0.244  1.85   0.109  187.5  0.0145562        0.0118538       0.00255143
0.244  1.849  0.109  202.6  0.0781407        0.0139115       0.00825838
0.244  1.849  0.109  217.7  0.0857628        0.0128166       0.0240663
0.244  1.847  0.109  247.7  0.169332         0.017878        0.0141486
0.244  1.847  0.109  262.8  0.239465         0.019874        0.0191308
0.244  1.846  0.109  277.8  0.435714         0.0396215       0.0332987
0.244  1.845  0.109  292.8  0.575452         0.0583246       0.0394651
0.244  1.844  0.11   307.8  0.674485         0.0485449       0.0516672
0.244  1.844  0.11   322.7  0.811606         0.0448927       0.0514363
0.244  1.843  0.11   337.7  0.841298         0.0424235       0.0541917
0.243  1.843  0.11   352.6  0.860677         0.0460414       0.0537822
0.244  1.844  0.155  7.4    1.00181          0.0426373       0.0816565
0.244  1.845  0.154  37.2   0.748021         0.0310242       0.0465618
0.244  1.846  0.154  52.1   0.588855         0.0277971       0.0359445
0.244  1.846  0.154  67.1   0.370846         0.0233879       0.0260379
0.244  1.847  0.153  82.1   0.391605         0.0376087       0.0305241
0.244  1.848  0.153  97.2   0.285151         0.0242074       0.02327
0.244  1.848  0.153  112.2  0.191532         0.0152418       0.0159044
0.244  1.849  0.153  127.3  0.123298         0.0122099       0.00798608
0.244  1.849  0.153  142.3  0.101559         0.0139184       0.0108575
0.244  1.85   0.153  157.4  0.0826148        0.00958607      0.00682034
0.244  1.85   0.153  187.5  0.085492         0.0157938       0.00937677
0.244  1.85   0.153  202.6  0.180032         0.022921        0.0284071
0.244  1.849  0.153  217.7  0.109343         0.0116336       0.00939986
0.244  1.849  0.153  232.7  0.134122         0.0166483       0.0246627
0.244  1.848  0.153  247.8  0.182668         0.0172459       0.0154939
0.244  1.848  0.153  262.8  0.298544         0.0224342       0.0192478
0.244  1.847  0.153  277.9  0.338813         0.0228972       0.0214263
0.244  1.846  0.154  292.9  0.352318         0.0231786       0.0240668
0.244  1.846  0.154  307.9  0.680724         0.0382102       0.0616638
0.244  1.845  0.154  322.8  0.767843         0.0329835       0.0526238
0.244  1.845  0.155  337.7  0.914767         0.033514        0.0581036
0.244  1.844  0.155  352.6  1.00092          0.0385855       0.0665284
0.244  1.845  0.205  7.4    0.835253         0.0459009       0.0543163
0.244  1.845  0.205  22.1   0.927743         0.0408474       0.0547525
0.244  1.846  0.204  37     0.526343         0.022474        0.0318339
0.244  1.846  0.204  52     0.392679         0.0194292       0.0236017
0.244  1.847  0.204  67.1   0.317747         0.0213536       0.0227294
0.244  1.847  0.203  82.1   0.264131         0.0247026       0.0293117
0.244  1.848  0.203  97.1   0.195903         0.0186411       0.0180914
0.244  1.849  0.203  112.2  0.160309         0.0149276       0.0120321
0.244  1.849  0.203  127.3  0.127422         0.0153149       0.00903035
0.244  1.85   0.203  157.4  0.0770113        0.0135983       0.00545815
0.244  1.85   0.203  172.5  0.0577768        0.00868299      0.00533774
0.244  1.85   0.203  187.5  0.0742946        0.0174894       0.015615
0.244  1.85   0.203  202.6  0.101583         0.0170861       0.0106245
0.244  1.85   0.203  217.7  0.0815464        0.0108522       0.00589966
0.244  1.849  0.203  232.7  0.0909094        0.0128636       0.00973914
0.244  1.849  0.203  247.8  0.170517         0.020115        0.0351696
0.244  1.848  0.203  262.9  0.149518         0.0114367       0.0112715
0.244  1.847  0.203  277.9  0.285865         0.0206707       0.0199742
0.244  1.847  0.204  292.9  0.327628         0.0227625       0.0361576
0.244  1.846  0.204  308    0.531322         0.0324826       0.0350955
0.244  1.846  0.204  323    0.590892         0.0271845       0.0417714
0.244  1.845  0.205  337.9  0.763391         0.0290656       0.0470574
0.244  1.845  0.205  352.6  0.755743         0.0354489       0.0532395
0.245  1.835  0.263  7.5    1.03467          0.053249        0.0712726
0.244  1.845  0.264  22.1   0.783032         0.0310876       0.0508372
0.244  1.846  0.264  36.9   0.370262         0.014189        0.0245118
0.244  1.846  0.263  51.9   0.288381         0.0137708       0.0197494
0.244  1.847  0.263  67     0.225585         0.0142904       0.0170865
0.244  1.848  0.262  82     0.151068         0.0127158       0.0103423
0.244  1.848  0.262  97.1   0.100014         0.00873064      0.00677334
0.244  1.849  0.262  112.2  0.09523          0.00962604      0.010137
0.245  1.849  0.262  127.2  0.0716951        0.00930309      0.00522243
0.245  1.85   0.262  142.3  0.0452858        0.0101691       0.00554937
0.245  1.85   0.262  157.4  0.0453136        0.00908461      0.00647282
0.245  1.85   0.262  172.5  0.0862567        0.0230907       0.0223387
0.245  1.85   0.262  187.5  0.0510274        0.0219017       0.0411214
0.245  1.85   0.262  202.6  0.25624          0.100292        0.015098
0.245  1.85   0.262  217.7  0.0348059        0.00692524      0.00481409
0.245  1.849  0.262  232.8  0.072042         0.0104715       0.00775628
0.244  1.849  0.262  247.8  0.0958707        0.0110707       0.0125447
0.244  1.848  0.262  262.9  0.129881         0.010151        0.00913232
0.244  1.848  0.262  278    0.15873          0.0104777       0.0118879
0.244  1.847  0.263  293    0.195819         0.0129991       0.0141038
0.244  1.846  0.263  308.1  0.30177          0.0170909       0.0210409
0.244  1.846  0.264  323.1  0.431652         0.0180798       0.029968
0.244  1.845  0.264  337.9  0.741574         0.0257249       0.0454469
0.245  1.835  0.263  352.5  0.789696         0.03461         0.0591036
0.245  1.837  0.342  22.4   0.781051         0.0432314       0.0681627
0.244  1.846  0.343  36.7   0.371332         0.0150171       0.0220005
0.244  1.846  0.342  51.8   0.200144         0.010263        0.0130374
0.244  1.847  0.341  66.9   0.135            0.00918419      0.0116916
0.244  1.848  0.341  82     0.106724         0.0103627       0.00733144
0.245  1.848  0.341  97.1   0.104194         0.010497        0.0107597
0.245  1.849  0.341  112.2  0.0679713        0.00852081      0.00486833
0.245  1.85   0.341  127.2  0.0381804        0.00630394      0.0128007
0.245  1.85   0.34   142.3  0.0271098        0.0157133       0.0126377
0.245  1.85   0.34   157.4  0.0222582        0.0203346       0.00129786
0.245  1.85   0.34   202.6  0.0444914        0.0241104       0.0201813
0.245  1.85   0.34   217.7  0.0952829        0.0318957       0.00972962
0.245  1.85   0.341  232.8  0.0415875        0.00763666      0.00609474
0.245  1.849  0.341  247.8  0.0945759        0.0152763       0.00769504
0.245  1.848  0.341  262.9  0.0953607        0.00955649      0.00663038
0.244  1.848  0.341  278    0.0988458        0.00750299      0.00736786
0.244  1.847  0.341  293.1  0.142468         0.0100607       0.015674
0.244  1.846  0.342  308.2  0.27139          0.017233        0.0191696
0.244  1.846  0.343  323.3  0.357976         0.0152461       0.0221725
0.244  1.845  0.45   36.5   0.233539         0.00966697      0.0145066
0.244  1.846  0.449  51.7   0.146507         0.00741094      0.00902462
0.244  1.847  0.448  66.8   0.105277         0.00766696      0.00711758
0.245  1.848  0.448  82     0.0602157        0.00631971      0.00722517
0.245  1.848  0.447  97.1   0.0557121        0.0065851       0.00371847
0.245  1.849  0.447  112.1  0.0391159        0.00633508      0.0044441
0.245  1.85   0.447  232.8  0.0165936        0.00643995      0.00634808
0.245  1.849  0.447  247.9  0.0232402        0.0060191       0.00752806
0.245  1.848  0.447  262.9  0.0335489        0.00391572      0.00396725
0.245  1.848  0.448  278    0.0490947        0.00419203      0.00306679
0.244  1.847  0.448  293.2  0.0756157        0.00566139      0.00569671
0.244  1.846  0.449  308.3  0.155442         0.0101666       0.0100871
0.244  1.845  0.45   323.5  0.249662         0.0110994       0.020568
0.244  1.844  0.608  36.4   0.138233         0.00626061      0.00819272
0.245  1.845  0.607  51.6   0.0785702        0.00472713      0.00490455
0.245  1.846  0.606  66.8   0.0345413        0.00271948      0.00232519
0.245  1.848  0.605  81.9   0.0345549        0.00489199      0.00229473
0.245  1.848  0.605  97     0.0176462        0.00387344      0.00232672
0.245  1.849  0.605  112.1  0.0175086        0.00552311      0.00102092
0.245  1.85   0.604  172.5  0.0214815        0.0198226       0.00228345
0.245  1.848  0.605  263    0.023273         0.00349446      0.0017402
0.245  1.848  0.605  278.1  0.0387065        0.00394549      0.00308609
0.245  1.846  0.606  293.2  0.0357411        0.00328414      0.00401205
0.245  1.845  0.607  308.4  0.0809547        0.00581736      0.00611504
0.244  1.844  0.608  323.6  0.159606         0.00783338      0.0100229
0.245  1.828  0.9    23.4   0.188102         0.0146522       0.0111034
0.245  1.842  0.87   36.3   0.0547553        0.00287978      0.00355183
0.245  1.844  0.87   51.6   0.0249444        0.00188401      0.00173258
0.245  1.846  0.869  66.7   0.0175298        0.00181415      0.00132772
0.245  1.847  0.868  81.9   0.00664878       0.00134035      0.00138492
0.245  1.848  0.867  97     0.00453317       0.00235513      0.000296667
0.245  1.85   0.866  157.3  0.0117171        0.00698383      0.00166475
0.245  1.851  0.866  172.5  0.00473259       0.00144858      0.0103812
0.245  1.851  0.866  187.5  0.0614164        0.0454184       0.00748869
0.245  1.85   0.866  202.7  0.0125862        0.010688        0.000733893
0.245  1.848  0.867  263    0.0061271        0.00381055      0.00140893
0.245  1.847  0.868  278.1  0.0192514        0.00333391      0.00151702
0.245  1.846  0.869  293.3  0.0156508        0.00151788      0.00198104
0.245  1.844  0.87   308.4  0.0409259        0.00375086      0.002806
0.245  1.842  0.87   323.7  0.0713625        0.00420849      0.00502371
0.245  1.828  0.9    336.6  0.12926          0.0074588       0.0093733
0.245  1.828  1.407  7.6    0.0396266        0.00246086      0.0023846
0.245  1.836  1.372  21.4   0.0264994        0.0019876       0.0015995
0.245  1.84   1.386  36.4   0.0146075        0.00134007      0.00137236
0.245  1.844  1.389  51.6   0.0067444        0.000874743     0.000417531
0.245  1.845  1.388  66.7   0.00223966       0.000477861     0.00060076
0.244  1.853  1.387  142.4  0.0060886        0.00542468      0.00190188
0.245  1.854  1.386  157.6  0.00594979       0.00361865      0.000478322
0.242  1.849  1.384  172.1  0.00192476       0.000550082     0.000728162
0.242  1.849  1.384  187.9  0.00339859       0.00116337      0.000255582
0.244  1.853  1.387  217.6  0.0062773        0.00335041      0.000826563
0.245  1.85   1.385  232.8  0.00716907       0.00554926      0.000418025
0.245  1.847  1.387  278.2  0.00627423       0.00550686      0.00043848
0.245  1.845  1.388  293.3  0.00392208       0.000840007     0.00078641
0.245  1.844  1.389  308.4  0.00784127       0.0012036       0.000572186
