beam_energy_MeV,theta_deg,Q2_GeV2,GE,GE_stat,GE_syst,GE_total,beam_energy_GeV,source,normalization_note
1101,1.8935,0.001323,0.99609,0.00095,0.00166,0.0019126160095534076,1.101,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
1101,2.1065,0.001637,0.99374,0.00106,0.00175,0.0020459960899278378,1.101,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
1101,2.3525,0.002041,0.99544,0.00105,0.00196,0.0022235332243976027,1.101,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
1101,2.642,0.002574,0.99272,0.00117,0.00174,0.0020967832506007863,1.101,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
1101,2.942,0.00319,0.99181,0.00137,0.00192,0.002358664876577425,1.101,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
1101,3.242,0.003873,0.98816,0.00152,0.00205,0.002552038400965001,1.101,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
1101,3.542,0.004621,0.9868,0.00179,0.00196,0.002654373749116729,1.101,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
1101,3.842,0.005434,0.98057,0.00202,0.00188,0.0027594927070025027,1.101,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
1101,4.142,0.006313,0.98012,0.00223,0.00261,0.0034329287787543744,1.101,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
1101,4.442,0.007257,0.97768,0.00241,0.00175,0.0029783552508053836,1.101,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
1101,4.742,0.008265,0.97819,0.00259,0.00225,0.003430830803172899,1.101,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
1101,5.046,0.009353,0.96965,0.00283,0.00243,0.0037301206414806476,1.101,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
1101,5.6,0.011506,0.96934,0.00262,0.00188,0.003224717041850339,1.101,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
1101,6.5,0.015468,0.95565,0.0048,0.0025,0.005412023651093923,1.101,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
2143,0.7075,0.0007,0.99715,0.00073,0.00131,0.0014996666296213969,2.143,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
2143,0.723,0.000731,0.9984,0.00073,0.00133,0.0015171684151734771,2.143,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
2143,0.7395,0.000765,0.99844,0.00072,0.00127,0.0014598972566588378,2.143,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
2143,0.757,0.000801,0.99789,0.00072,0.00119,0.0013908630414242807,2.143,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
2143,0.7755,0.000841,0.99617,0.00073,0.00124,0.001438923208513922,2.143,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
2143,0.7955,0.000885,0.99885,0.00073,0.00126,0.001456193668438371,2.143,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
2143,0.817,0.000934,0.99693,0.00074,0.00129,0.001487178536692888,2.143,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
2143,0.84,0.000987,0.99657,0.00074,0.00133,0.001522005256232711,2.143,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
2143,0.8655,0.001048,0.99684,0.00073,0.00123,0.0014303146506975308,2.143,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
2143,0.8935,0.001116,0.99653,0.00074,0.00123,0.0014354441821262155,2.143,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
2143,0.924,0.001194,0.99686,0.00074,0.00126,0.0014612323566086266,2.143,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
2143,0.9575,0.001282,0.99454,0.00073,0.00127,0.0014648549416239139,2.143,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
