# RGC Su22 Inb NH3 runs
16692,37340.77,18126.893,17850.08,0.908,0.024
16693,45177.598,21715.209,21709.598,0.908,0.024
16695,1320.0071,640.188,619.02124,0.908,0.024
16709,12199.503,5823.957,5776.1484,0.908,0.024
16710,15264.302,7330.566,7389.2646,0.908,0.024
16711,48455.68,23423.463,23398.186,0.908,0.024
16712,49724.44,24064.701,23994.703,0.908,0.024
16713,51757.453,25054.662,24939.865,0.908,0.024
16715,26020.072,12567.371,12489.662,0.908,0.024
16716,22356.846,10824.702,10773.125,0.908,0.024
16717,39677.832,19152.85,19111.846,0.908,0.024
