6616,20677.70758008957,10359.518,10310.198,0,0
6618,124637.97198486328,62286.773,62249.027,0,0
6619,550722.8969726562,273539.3,272740.3,0,0
6620,634371.7216796875,314818.22,314468.7,0,0
6631,427994.8515625,155248.58,155107.19,0,0
6632,199870.46875,73721.93,73901.65,0,0
6636,610206.009765625,302747.53,302432.72,0,0
6637,262989.8525390625,130468.98,130363.34,0,0
6638,149233.55102539062,74032.5,73979.81,0,0
6639,170939.78100585938,84757.28,84803.92,0,0
6640,545503.0834960938,270651.2,270388.6,0,0
6642,216768.1690673828,107454.21,107521.61,0,0
6645,384941.828125,191006.75,190741.17,0,0
6647,548578.6494140625,272072.56,272029.22,0,0
6648,158043.5047607422,78229.62,78515.37,0,0
6650,26299.9005279541,13054.2705,13038.988,0,0
6651,371854.2375488281,184266.0,184512.28,0,0
6652,80934.41906738281,40062.277,40205.85,0,0
6654,103348.22412109375,51324.758,51202.234,0,0
6655,477986.3203125,237474.44,236647.62,0,0
6656,614499.0966796875,304649.62,304130.62,0,0
6657,557374.1396484375,276792.94,276069.34,0,0
6658,72910.67755126953,36243.707,36092.16,0,0
6660,527832.5791015625,262112.28,261496.4,0,0
6661,583954.9145507812,289794.88,289393.44,0,0
6662,555085.6870117188,275641.97,274841.72,0,0
6663,382589.67333984375,189993.67,189449.16,0,0
6664,476219.46044921875,236210.19,236005.45,0,0
6665,216867.37841796875,107470.875,107589.06,0,0
6666,270258.2287597656,134222.56,133773.05,0,0
6667,582702.0571289062,289167.9,288708.2,0,0
6668,542083.40625,269113.4,268479.5,0,0
6669,291511.9736328125,144364.44,144734.52,0,0
6670,232478.89379882812,115389.78,115165.73,0,0
6672,628091.9663085938,311993.56,311003.44,0,0
6673,269493.1437988281,134017.98,133291.97,0,0
6675,607272.8666992188,301382.7,300963.28,0,0
6676,207938.94067382812,103424.27,102863.66,0,0
6677,542681.0502929688,269027.0,269271.16,0,0
6678,517012.4248046875,256281.94,256634.03,0,0
6680,433123.41845703125,214659.5,215019.02,0,0
6682,230186.45288085938,114342.125,113971.21,0,0
6683,613082.9497070312,304257.22,303812.62,0,0
6684,327656.90283203125,162787.47,162223.1,0,0
6685,568874.4760742188,282228.97,282031.56,0,0
6687,197925.26623535156,98280.94,98049.484,0,0
6688,529441.9604492188,262471.7,262708.16,0,0
6689,606153.4501953125,300790.75,300438.28,0,0
6691,594545.6333007812,294813.94,294899.7,0,0
6692,590008.83984375,292726.56,292476.16,0,0
6693,212339.30859375,105321.26,105277.18,0,0
6694,616429.9853515625,305645.1,305771.44,0,0
6695,314678.4968261719,156161.73,155952.61,0,0
6696,59153.872009277344,29494.686,29186.111,0,0
6697,630319.826171875,312949.9,312261.0,0,0
6698,491261.46728515625,243931.0,243363.48,0,0
6699,151954.08728027344,75246.97,75500.75,0,0
6704,567319.92578125,281373.84,281425.8,0,0
6705,609632.8984375,302592.75,302157.53,0,0
6706,574030.8369140625,284986.12,284368.16,0,0
6707,159114.9930419922,78878.64,78924.02,0,0
6708,367773.40478515625,182424.17,182296.66,0,0
6709,434796.06591796875,215871.7,215245.17,0,0
6710,499545.8935546875,247941.2,247433.12,0,0
6711,598994.5590820312,297283.84,296735.7,0,0
6712,598874.455078125,296886.97,296979.53,0,0
6713,498279.44287109375,247218.53,246899.02,0,0
6714,303507.8356933594,150884.53,150116.06,0,0
6715,610977.80078125,302865.06,302981.5,0,0
6716,551624.5068359375,273018.75,274004.16,0,0
6717,598272.6640625,296540.44,296701.5,0,0
6718,600142.6206054688,297388.2,297786.78,0,0
6719,227706.26342773438,112958.21,112847.02,0,0
6722,688741.9659423828,343372.5,343701.16,0,0
6723,194482.70515441895,97200.06,97129.07,0,0
6724,1479257.5444335938,737984.3,737681.4,0,0
6725,578714.0704345703,288079.75,289263.53,0,0
6728,559955.7724609375,277833.6,277450.53,0,0
6729,446184.7971191406,221180.06,221294.38,0,0
6730,434403.8542480469,215578.36,215338.73,0,0
6731,491978.369140625,244218.12,243686.94,0,0
6732,198583.458984375,98407.74,98559.92,0,0
6733,583153.5161132812,289631.3,288647.28,0,0
6734,614686.203125,304876.1,304563.84,0,0
6736,581480.5805664062,288449.75,288108.62,0,0
6737,584794.9892578125,290514.3,289340.53,0,0
6738,558515.3134765625,277036.44,276794.84,0,0
6739,522170.50927734375,258847.08,258923.36,0,0
6740,601133.8876953125,298165.47,297945.66,0,0
6741,636442.1943359375,315204.78,315893.06,0,0
6742,53137.611572265625,26424.99,26271.896,0,0
6743,574531.5053710938,284712.4,285082.0,0,0
6744,446246.0078125,221235.6,221254.12,0,0
6746,616775.7661132812,305769.94,305838.44,0,0
6747,601596.5615234375,298146.0,298445.3,0,0
6748,574304.607421875,284829.06,284705.06,0,0
6749,121465.87530517578,60214.5,60227.766,0,0
6750,385511.6611328125,191291.23,191041.89,0,0
6753,161528.59313964844,80038.984,80162.95,0,0
6754,89732.25897216797,44435.13,44527.22,0,0
6755,67325.24462890625,33360.016,33395.01,0,0
6756,360197.49462890625,178663.48,178529.14,0,0
6757,89437.78045654297,44339.164,44392.32,0,0
6759,317177.9904785156,157280.27,157294.73,0,0
6760,546274.650390625,271330.03,270480.66,0,0
6762,616018.0190429688,305699.34,305341.56,0,0
6763,29885.350555419922,14908.558,14745.141,0,0
6764,142974.5672607422,70998.51,70820.35,0,0
6765,562554.3461914062,279108.0,278874.5,0,0
6767,577254.2465820312,286492.06,286076.16,0,0
6768,544241.0068359375,269811.56,269982.4,0,0
6769,231950.9298095703,115077.336,115014.54,0,0
6775,622114.671875,221185.94,221452.64,0,0
6776,525471.765625,181038.1,180294.78,0,0
6777,622387.8125,214204.83,213920.25,0,0
