# phi(rad) q2(GeV2) xb t(GeV2) Eb(GeV) A sigA
282.65383 1.15107 0.0992428 -0.301803 10.6041 -0.326399 0.0710539
294.15940 1.15937 0.0854947 -0.273451 10.6041 -0.187768 0.0500894
304.85423 1.16632 0.0812401 -0.27661 10.6041 -0.192162 0.026398
315.20242 1.17431 0.0835805 -0.291959 10.6041 -0.13929 0.0178284
325.68640 1.1806 0.0941907 -0.297287 10.6041 -0.171694 0.0162628
336.30044 1.18051 0.107313 -0.295745 10.6041 -0.136432 0.0172189
349.75521 1.16429 0.11663 -0.275533 10.6041 -0.0298932 0.0168785
5.22237 1.23047 0.150329 -0.336353 10.6041 0.066987 0.0306045
14.86419 1.2435 0.154073 -0.326971 10.6041 0.112146 0.0454023
37.03061 1.23258 0.17595 -0.309014 10.6041 0.2223 0.0765077
72.85273 1.19053 0.163564 -0.323208 10.6041 0.0895558 0.123115
100.36502 1.21836 0.166943 -0.303842 10.6041 0.133169 0.117604
112.87498 1.18751 0.160472 -0.305723 10.6041 0.229122 0.103194
123.93249 1.19514 0.160234 -0.30405 10.6041 0.151947 0.111326
135.42545 1.21379 0.158525 -0.307527 10.6041 0.0154519 0.112687
146.12830 1.21661 0.153711 -0.310683 10.6041 0.023972 0.0854336
156.63234 1.22663 0.153274 -0.311731 10.6041 0.173589 0.084495
166.87052 1.20748 0.151686 -0.315304 10.6041 -0.180139 0.100208
177.90168 1.20037 0.153405 -0.322646 10.6041 0.0458699 0.0841583
188.99815 1.20439 0.153378 -0.309154 10.6041 -0.0561159 0.107109
200.08832 1.18909 0.154762 -0.320523 10.6041 -0.0842423 0.0887338
210.31619 1.2181 0.155232 -0.309865 10.6041 0.107171 0.0969639
222.98085 1.1904 0.161021 -0.314325 10.6041 -0.0153734 0.109757
241.35618 1.20404 0.160814 -0.312265 10.6041 0.0282101 0.125664
262.55046 1.19125 0.161629 -0.350276 10.6041 -0.231368 0.14966
279.51116 1.19104 0.159915 -0.342031 10.6041 -0.291731 0.125978
297.75299 1.18958 0.157857 -0.32817 10.6041 -0.333396 0.107416
311.78702 1.18489 0.154655 -0.348686 10.6041 -0.308636 0.0955393
327.05405 1.19651 0.153523 -0.369079 10.6041 -0.279221 0.086342
