# phi(deg) q2(GeV2) xb t(GeV2) Eb(GeV) A sigA
352.500000 1.173626 0.143964 1.383541 6.535 0.031032 0.053941
7.500000 1.098293 0.206698 0.219398 6.535 0.084020 0.044456
22.500000 1.098293 0.206698 0.219398 6.535 0.135526 0.050916
37.500000 1.098293 0.206698 0.219398 6.535 0.194030 0.064586
52.500000 1.098293 0.206698 0.219398 6.535 0.296867 0.065124
69.000000 1.098293 0.206698 0.219398 6.535 0.259488 0.043122
87.000000 1.098293 0.206698 0.219398 6.535 0.297873 0.051451
105.000000 1.098293 0.206698 0.219398 6.535 0.115827 0.061265
123.000000 1.098293 0.206698 0.219398 6.535 0.142499 0.091875
144.000000 1.098293 0.206698 0.219398 6.535 0.027823 0.108296
168.000000 1.098293 0.206698 0.219398 6.535 0.323414 0.164290
192.000000 1.098293 0.206698 0.219398 6.535 0.031181 0.160665
216.000000 1.098293 0.206698 0.219398 6.535 -0.047578 0.101700
237.000000 1.098293 0.206698 0.219398 6.535 -0.303742 0.118415
255.000000 1.098293 0.206698 0.219398 6.535 -0.166945 0.081944
273.000000 1.098293 0.206698 0.219398 6.535 -0.335669 0.057040
291.000000 1.098293 0.206698 0.219398 6.535 -0.335854 0.041631
307.500000 1.098293 0.206698 0.219398 6.535 -0.239537 0.050378
322.500000 1.098293 0.206698 0.219398 6.535 -0.231958 0.075961
337.500000 1.098293 0.206698 0.219398 6.535 -0.155886 0.060241
352.500000 1.098293 0.206698 0.219398 6.535 -0.048945 0.021747
7.500000 1.096239 0.213569 0.391252 6.535 0.079638 0.053724
22.500000 1.096239 0.213569 0.391252 6.535 0.189259 0.193485
37.500000 1.096239 0.213569 0.391252 6.535 0.224199 0.139831
52.500000 1.096239 0.213569 0.391252 6.535 0.238190 0.052237
69.000000 1.096239 0.213569 0.391252 6.535 0.236545 0.064437
87.000000 1.096239 0.213569 0.391252 6.535 0.182084 0.082871
105.000000 1.096239 0.213569 0.391252 6.535 0.049460 0.086551
123.000000 1.096239 0.213569 0.391252 6.535 0.128390 0.122560
144.000000 1.096239 0.213569 0.391252 6.535 -0.049919 0.102218
168.000000 1.096239 0.213569 0.391252 6.535 0.002429 0.120018
192.000000 1.096239 0.213569 0.391252 6.535 -0.116700 0.110399
216.000000 1.096239 0.213569 0.391252 6.535 -0.186133 0.142307
237.000000 1.096239 0.213569 0.391252 6.535 0.113594 0.142543
255.000000 1.096239 0.213569 0.391252 6.535 -0.033923 0.078525
273.000000 1.096239 0.213569 0.391252 6.535 -0.188629 0.083438
291.000000 1.096239 0.213569 0.391252 6.535 -0.199155 0.060111
307.500000 1.096239 0.213569 0.391252 6.535 -0.120942 0.055665
322.500000 1.096239 0.213569 0.391252 6.535 -0.168581 0.071113
337.500000 1.096239 0.213569 0.391252 6.535 -0.166585 0.097184
352.500000 1.096239 0.213569 0.391252 6.535 -0.100482 0.037256
7.500000 1.094950 0.217152 0.541946 6.535 0.094211 0.130186
22.500000 1.094950 0.217152 0.541946 6.535 0.133112 0.228713
37.500000 1.094950 0.217152 0.541946 6.535 0.165301 0.081602
52.500000 1.094950 0.217152 0.541946 6.535 0.122006 0.063955
69.000000 1.094950 0.217152 0.541946 6.535 0.205487 0.070300
87.000000 1.094950 0.217152 0.541946 6.535 0.015398 0.087830
105.000000 1.094950 0.217152 0.541946 6.535 0.004091 0.090466
123.000000 1.094950 0.217152 0.541946 6.535 -0.070650 0.186412
144.000000 1.094950 0.217152 0.541946 6.535 0.124596 0.161046
168.000000 1.094950 0.217152 0.541946 6.535 0.031485 0.195997
192.000000 1.094950 0.217152 0.541946 6.535 -0.077411 0.208027
216.000000 1.094950 0.217152 0.541946 6.535 -0.274741 0.397574
237.000000 1.094950 0.217152 0.541946 6.535 0.091217 0.182356
255.000000 1.094950 0.217152 0.541946 6.535 -0.108152 0.137990
273.000000 1.094950 0.217152 0.541946 6.535 0.019102 0.095737
291.000000 1.094950 0.217152 0.541946 6.535 -0.047474 0.069050
307.500000 1.094950 0.217152 0.541946 6.535 -0.124225 0.057960
322.500000 1.094950 0.217152 0.541946 6.535 -0.132249 0.064617
337.500000 1.094950 0.217152 0.541946 6.535 -0.142146 0.135452
352.500000 1.094950 0.217152 0.541946 6.535 -0.004252 0.336864
7.500000 1.096334 0.218940 0.715032 6.535 0.326277 1.379652
22.500000 1.096334 0.218940 0.715032 6.535 0.134175 0.106148
37.500000 1.096334 0.218940 0.715032 6.535 0.070296 0.050346
52.500000 1.096334 0.218940 0.715032 6.535 0.058842 0.071138
69.000000 1.096334 0.218940 0.715032 6.535 0.035226 0.063055
87.000000 1.096334 0.218940 0.715032 6.535 0.051629 0.087742
105.000000 1.096334 0.218940 0.715032 6.535 0.038899 0.134899
123.000000 1.096334 0.218940 0.715032 6.535 0.066617 0.337780
144.000000 1.096334 0.218940 0.715032 6.535 0.018225 0.185548
168.000000 1.096334 0.218940 0.715032 6.535 0.078151 0.181110
192.000000 1.096334 0.218940 0.715032 6.535 -0.197254 0.285660
216.000000 1.096334 0.218940 0.715032 6.535 -0.005465 0.153320
237.000000 1.096334 0.218940 0.715032 6.535 -0.228591 0.597306
255.000000 1.096334 0.218940 0.715032 6.535 -0.198623 0.209199
273.000000 1.096334 0.218940 0.715032 6.535 -0.052763 0.092839
291.000000 1.096334 0.218940 0.715032 6.535 -0.084863 0.069767
307.500000 1.096334 0.218940 0.715032 6.535 0.011404 0.057459
322.500000 1.096334 0.218940 0.715032 6.535 -0.055862 0.047971
337.500000 1.096334 0.218940 0.715032 6.535 -0.109813 0.079000
352.500000 1.096334 0.218940 0.715032 6.535 0.265895 0.773357
7.500000 1.097620 0.214266 1.205624 6.535 -0.021768 0.045823
22.500000 1.097620 0.214266 1.205624 6.535 0.037928 0.078648
37.500000 1.097620 0.214266 1.205624 6.535 -0.078291 0.052875
52.500000 1.097620 0.214266 1.205624 6.535 -0.048852 0.088813
69.000000 1.097620 0.214266 1.205624 6.535 -0.149356 0.303745
87.000000 1.097620 0.214266 1.205624 6.535 0.136490 1.274667
105.000000 1.097620 0.214266 1.205624 6.535 -0.674250 14.070510
123.000000 1.097620 0.214266 1.205624 6.535 -0.023160 0.319211
144.000000 1.097620 0.214266 1.205624 6.535 0.191141 0.227658
168.000000 1.097620 0.214266 1.205624 6.535 -0.034009 0.155673
192.000000 1.097620 0.214266 1.205624 6.535 0.215866 0.559737
216.000000 1.097620 0.214266 1.205624 6.535 -0.272708 0.366880
237.000000 1.097620 0.214266 1.205624 6.535 -0.161893 0.572139
255.000000 1.097620 0.214266 1.205624 6.535 0.508021 11.123598
273.000000 1.097620 0.214266 1.205624 6.535 0.081336 0.375558
291.000000 1.097620 0.214266 1.205624 6.535 0.051320 0.128694
307.500000 1.097620 0.214266 1.205624 6.535 0.014689 0.068363
322.500000 1.097620 0.214266 1.205624 6.535 0.021157 0.049992
337.500000 1.097620 0.214266 1.205624 6.535 0.034213 0.073804
352.500000 1.097620 0.214266 1.205624 6.535 -0.040171 0.032131
7.500000 1.295510 0.211076 0.222190 6.535 -0.021919 0.086624
22.500000 1.295510 0.211076 0.222190 6.535 0.133928 0.035409
37.500000 1.295510 0.211076 0.222190 6.535 0.245914 0.045507
52.500000 1.295510 0.211076 0.222190 6.535 0.305327 0.071035
69.000000 1.295510 0.211076 0.222190 6.535 0.299540 0.049010
87.000000 1.295510 0.211076 0.222190 6.535 0.236714 0.048736
105.000000 1.295510 0.211076 0.222190 6.535 0.269262 0.068980
123.000000 1.295510 0.211076 0.222190 6.535 0.223336 0.080827
144.000000 1.295510 0.211076 0.222190 6.535 0.107151 0.093951
168.000000 1.295510 0.211076 0.222190 6.535 0.004513 0.132301
192.000000 1.295510 0.211076 0.222190 6.535 -0.052448 0.106019
216.000000 1.295510 0.211076 0.222190 6.535 -0.095421 0.081919
237.000000 1.295510 0.211076 0.222190 6.535 -0.159546 0.073944
255.000000 1.295510 0.211076 0.222190 6.535 -0.325899 0.073172
273.000000 1.295510 0.211076 0.222190 6.535 -0.271002 0.046100
291.000000 1.295510 0.211076 0.222190 6.535 -0.322833 0.043484
307.500000 1.295510 0.211076 0.222190 6.535 -0.280820 0.057645
322.500000 1.295510 0.211076 0.222190 6.535 -0.187254 0.043060
337.500000 1.295510 0.211076 0.222190 6.535 -0.141294 0.053741
352.500000 1.295510 0.211076 0.222190 6.535 -0.063390 0.036871
7.500000 1.293622 0.219209 0.404482 6.535 0.003522 0.176943
22.500000 1.293622 0.219209 0.404482 6.535 0.109002 0.045744
37.500000 1.293622 0.219209 0.404482 6.535 0.158190 0.067237
52.500000 1.293622 0.219209 0.404482 6.535 0.234769 0.054661
69.000000 1.293622 0.219209 0.404482 6.535 0.249108 0.059214
87.000000 1.293622 0.219209 0.404482 6.535 0.312092 0.075979
105.000000 1.293622 0.219209 0.404482 6.535 0.127215 0.091038
123.000000 1.293622 0.219209 0.404482 6.535 0.012410 0.092701
144.000000 1.293622 0.219209 0.404482 6.535 0.018607 0.091296
168.000000 1.293622 0.219209 0.404482 6.535 0.184895 0.111909
