# phi(deg) q2(GeV2) xb t(GeV2) Eb(GeV) A sigA
314.37 1.09 0.14 -0.33 10.59 -0.39 0.44
14.41 1.10 0.14 -0.50 10.59 0.61 0.22
44.97 1.10 0.14 -0.50 10.59 0.23 0.26
76.72 1.09 0.14 -0.50 10.59 0.15 0.29
135.23 1.09 0.14 -0.50 10.59 -0.28 0.50
163.95 1.10 0.14 -0.49 10.59 -0.16 0.42
195.26 1.09 0.14 -0.49 10.59 -0.04 0.44
254.92 1.09 0.14 -0.50 10.59 -0.21 0.26
283.30 1.09 0.14 -0.50 10.59 -0.58 0.36
311.91 1.09 0.14 -0.50 10.59 -0.28 0.54
346.35 1.10 0.14 -0.50 10.59 -0.40 0.54
76.51 1.10 0.14 -0.70 10.59 0.12 0.29
133.92 1.09 0.14 -0.70 10.59 0.10 0.53
283.69 1.09 0.14 -0.71 10.59 -0.13 0.33
310.37 1.09 0.14 -0.71 10.59 -0.35 0.28
48.68 1.10 0.14 -0.90 10.59 -0.01 0.40
75.43 1.09 0.14 -0.90 10.59 0.28 0.41
104.95 1.09 0.14 -0.89 10.59 0.13 0.90
133.69 1.10 0.14 -0.89 10.59 0.08 0.35
164.31 1.10 0.14 -0.89 10.59 -0.39 0.84
194.39 1.09 0.14 -0.89 10.59 0.25 0.35
256.56 1.09 0.14 -0.90 10.59 -0.32 0.65
284.20 1.09 0.14 -0.90 10.59 0.03 0.46
311.24 1.09 0.14 -0.91 10.59 -0.27 0.26
282.15 1.33 0.14 -0.13 10.59 0.16 0.51
76.42 1.32 0.14 -0.20 10.59 0.42 0.25
105.90 1.32 0.14 -0.20 10.59 0.25 0.21
164.32 1.32 0.14 -0.20 10.59 -0.22 0.30
253.89 1.31 0.14 -0.20 10.59 0.19 0.71
283.10 1.32 0.14 -0.20 10.59 0.21 0.49
15.42 1.33 0.14 -0.33 10.59 0.38 0.51
44.21 1.32 0.14 -0.32 10.59 0.62 0.16
76.17 1.33 0.14 -0.32 10.59 0.81 0.62
105.40 1.31 0.14 -0.32 10.59 0.49 0.63
135.69 1.32 0.14 -0.32 10.59 -0.08 0.18
195.21 1.31 0.14 -0.32 10.59 -0.04 0.26
224.90 1.32 0.14 -0.32 10.59 -0.51 0.52
254.58 1.32 0.14 -0.32 10.59 0.02 0.38
283.96 1.31 0.14 -0.33 10.59 -0.57 0.29
315.62 1.32 0.14 -0.33 10.59 -0.27 0.47
15.59 1.33 0.14 -0.50 10.59 0.25 0.13
44.29 1.32 0.14 -0.49 10.59 0.14 0.19
76.59 1.32 0.14 -0.50 10.59 0.29 0.27
105.65 1.31 0.14 -0.50 10.59 0.50 0.82
135.28 1.32 0.14 -0.50 10.59 0.58 0.41
163.89 1.32 0.14 -0.50 10.59 0.08 0.51
194.81 1.32 0.14 -0.49 10.59 0.20 0.26
225.61 1.31 0.14 -0.50 10.59 0.22 0.52
254.89 1.31 0.14 -0.50 10.59 -0.58 0.55
345.44 1.33 0.13 -0.50 10.59 -0.03 0.18
44.47 1.32 0.14 -0.69 10.59 0.65 0.26
105.39 1.31 0.14 -0.69 10.59 0.11 0.38
134.58 1.32 0.14 -0.70 10.59 0.30 0.41
164.16 1.32 0.14 -0.70 10.59 0.05 0.91
255.42 1.31 0.14 -0.70 10.59 -0.15 0.38
284.77 1.31 0.14 -0.70 10.59 -0.01 0.25
45.49 1.33 0.14 -0.91 10.59 0.09 0.23
75.10 1.31 0.14 -0.90 10.59 0.18 0.45
164.26 1.32 0.14 -0.89 10.59 -0.72 0.84
225.78 1.32 0.14 -0.90 10.59 -0.33 0.55
76.46 1.69 0.14 -0.13 10.59 0.73 0.80
105.59 1.67 0.14 -0.13 10.59 0.34 0.45
136.88 1.67 0.14 -0.13 10.59 0.03 0.30
75.12 1.68 0.14 -0.20 10.59 0.06 0.17
106.15 1.66 0.14 -0.20 10.59 0.27 0.27
136.04 1.67 0.14 -0.20 10.59 0.03 0.28
163.79 1.67 0.14 -0.20 10.59 -0.17 0.20
194.48 1.66 0.14 -0.20 10.59 0.32 0.26
222.64 1.64 0.14 -0.20 10.59 -0.46 0.66
286.89 1.69 0.13 -0.20 10.59 0.23 0.47
15.69 1.74 0.13 -0.33 10.59 0.02 0.08
41.58 1.75 0.13 -0.33 10.59 0.34 0.10
74.38 1.68 0.14 -0.32 10.59 0.40 0.11
105.57 1.67 0.14 -0.32 10.59 0.62 0.44
135.78 1.68 0.14 -0.32 10.59 0.20 0.10
163.89 1.67 0.14 -0.32 10.59 0.09 0.10
194.95 1.65 0.14 -0.32 10.59 -0.24 0.20
223.88 1.65 0.14 -0.32 10.59 0.42 0.31
254.92 1.65 0.14 -0.33 10.59 0.00 0.24
318.37 1.77 0.13 -0.33 10.59 -0.15 0.06
344.31 1.73 0.13 -0.33 10.59 -0.02 0.07
16.13 1.73 0.13 -0.50 10.59 0.11 0.05
41.26 1.76 0.13 -0.50 10.59 0.20 0.07
74.18 1.69 0.14 -0.49 10.59 0.41 0.12
105.23 1.67 0.14 -0.50 10.59 0.39 0.17
135.96 1.68 0.13 -0.50 10.59 -0.02 0.13
164.09 1.68 0.14 -0.50 10.59 -0.12 0.12
194.73 1.66 0.14 -0.49 10.59 0.37 0.21
224.28 1.64 0.14 -0.50 10.59 -0.16 0.17
255.20 1.67 0.14 -0.50 10.59 -0.47 0.20
286.08 1.69 0.13 -0.51 10.59 -0.12 0.22
343.89 1.73 0.13 -0.50 10.59 -0.09 0.04
16.89 1.72 0.14 -0.70 10.59 0.09 0.04
40.77 1.76 0.13 -0.70 10.59 0.19 0.05
74.07 1.67 0.14 -0.69 10.59 0.72 0.42
105.24 1.66 0.14 -0.69 10.59 0.14 0.32
135.94 1.68 0.14 -0.69 10.59 0.19 0.19
194.45 1.66 0.14 -0.70 10.59 0.05 0.33
225.16 1.65 0.14 -0.69 10.59 -0.48 0.24
255.92 1.67 0.14 -0.70 10.59 -0.27 0.22
285.13 1.68 0.13 -0.70 10.59 -0.83 0.97
318.88 1.76 0.13 -0.70 10.59 -0.21 0.04
343.47 1.72 0.14 -0.70 10.59 -0.08 0.06
17.52 1.70 0.14 -0.90 10.59 0.06 0.06
39.82 1.76 0.13 -0.90 10.59 0.06 0.07
136.44 1.67 0.14 -0.89 10.59 -0.62 0.70
164.19 1.67 0.14 -0.89 10.59 -0.02 0.25
225.54 1.65 0.14 -0.90 10.59 0.79 0.88
257.09 1.68 0.14 -0.90 10.59 -0.26 0.15
284.84 1.67 0.14 -0.90 10.59 -0.22 0.38
319.48 1.75 0.13 -0.90 10.59 -0.23 0.05
342.75 1.70 0.14 -0.90 10.59 -0.03 0.05
135.74 2.08 0.14 -0.19 10.59 0.59 0.34
317.18 2.11 0.14 -0.20 10.59 -0.18 0.09
15.86 2.09 0.14 -0.33 10.59 0.14 0.06
164.30 2.07 0.14 -0.32 10.59 0.56 0.86
193.92 2.07 0.14 -0.32 10.59 0.03 0.47
317.75 2.10 0.14 -0.33 10.59 -0.08 0.05
16.92 2.08 0.14 -0.50 10.59 0.10 0.03
41.78 2.10 0.14 -0.50 10.59 0.20 0.06
69.39 2.09 0.14 -0.49 10.59 0.13 0.15
105.63 2.08 0.14 -0.50 10.59 0.20 0.25
135.51 2.08 0.14 -0.50 10.59 0.41 0.26
163.26 2.08 0.14 -0.49 10.59 0.01 0.28
289.95 2.09 0.14 -0.49 10.59 -0.21 0.22
343.18 2.08 0.14 -0.50 10.59 -0.15 0.03
41.41 2.10 0.14 -0.70 10.59 0.15 0.05
68.82 2.09 0.14 -0.69 10.59 0.11 0.34
135.77 2.08 0.14 -0.69 10.59 0.11 0.42
164.03 2.08 0.14 -0.69 10.59 0.60 0.45
256.17 2.09 0.14 -0.70 10.59 0.01 0.38
288.03 2.08 0.14 -0.70 10.59 -0.33 0.17
318.77 2.10 0.14 -0.70 10.59 -0.13 0.03
341.90 2.06 0.15 -0.69 10.59 -0.08 0.04
20.02 2.05 0.15 -0.89 10.59 0.18 0.10
136.34 2.06 0.14 -0.89 10.59 -0.02 0.23
256.95 2.09 0.14 -0.90 10.59 -0.13 0.22
285.27 2.07 0.14 -0.90 10.59 -0.47 0.15
318.99 2.09 0.14 -0.90 10.59 -0.22 0.04
164.95 1.10 0.17 -0.13 10.59 0.03 0.27
225.39 1.10 0.17 -0.13 10.59 0.13 0.64
45.00 1.10 0.18 -0.20 10.59 -0.41 0.59
77.45 1.10 0.18 -0.20 10.59 0.58 0.47
134.10 1.10 0.17 -0.20 10.59 -0.10 0.56
194.94 1.10 0.17 -0.20 10.59 -0.12 0.24
15.06 1.10 0.18 -0.33 10.59 -0.43 0.23
44.79 1.10 0.18 -0.33 10.59 0.27 0.66
76.42 1.10 0.18 -0.32 10.59 -0.98 0.52
105.63 1.10 0.18 -0.32 10.59 -0.11 0.67
134.40 1.10 0.18 -0.32 10.59 -0.13 0.33
226.34 1.10 0.17 -0.32 10.59 -0.23 0.31
254.54 1.10 0.18 -0.32 10.59 -0.27 0.62
283.69 1.10 0.18 -0.33 10.59 -0.33 0.75
315.46 1.10 0.18 -0.33 10.59 0.35 0.38
14.60 1.10 0.18 -0.50 10.59 0.11 0.20
44.10 1.10 0.18 -0.50 10.59 -0.09 0.43
76.55 1.10 0.18 -0.50 10.59 0.69 0.43
134.27 1.11 0.18 -0.49 10.59 0.75 0.39
227.25 1.10 0.17 -0.49 10.59 -0.36 0.81
346.78 1.10 0.18 -0.50 10.59 -0.43 0.23
14.11 1.11 0.18 -0.69 10.59 0.09 0.27
104.45 1.10 0.18 -0.70 10.59 -0.19 0.36
134.48 1.11 0.17 -0.69 10.59 -0.33 0.29
163.64 1.11 0.17 -0.69 10.59 -0.14 0.24
227.27 1.11 0.17 -0.69 10.59 -0.14 0.34
283.98 1.10 0.18 -0.70 10.59 0.33 0.34
312.32 1.10 0.18 -0.70 10.59 0.02 0.36
347.72 1.10 0.18 -0.69 10.59 0.07 0.39
13.04 1.10 0.18 -0.90 10.59 -0.28 0.39
46.83 1.10 0.18 -0.90 10.59 0.42 0.64
312.76 1.10 0.18 -0.90 10.59 0.01 0.32
45.19 1.34 0.18 -0.13 10.59 0.52 0.52
194.78 1.31 0.18 -0.13 10.59 0.31 0.30
14.47 1.33 0.18 -0.20 10.59 -0.03 0.27
44.45 1.32 0.18 -0.20 10.59 0.03 0.40
134.16 1.32 0.18 -0.20 10.59 0.39 0.24
163.50 1.32 0.18 -0.20 10.59 -0.42 0.83
194.82 1.32 0.18 -0.20 10.59 0.19 0.23
225.54 1.32 0.18 -0.20 10.59 -0.65 0.78
254.15 1.32 0.18 -0.20 10.59 -0.00 0.82
283.56 1.32 0.18 -0.20 10.59 0.24 0.44
314.01 1.33 0.18 -0.20 10.59 0.42 0.44
346.04 1.33 0.18 -0.20 10.59 -0.37 0.34
14.97 1.33 0.18 -0.33 10.59 0.21 0.14
44.15 1.32 0.18 -0.33 10.59 0.29 0.17
76.57 1.32 0.18 -0.33 10.59 -0.03 0.34
105.66 1.32 0.18 -0.32 10.59 0.31 0.54
134.12 1.32 0.18 -0.32 10.59 -0.57 0.73
194.97 1.32 0.18 -0.32 10.59 0.03 0.35
