campaign_key,campaign_label,iq2,ixb,it,iphi,Q2_low_GeV2,Q2_high_GeV2,Q2_flux_coordinate_GeV2,xB_low,xB_high,xB_flux_coordinate,beam_energy_GeV,virtual_photon_epsilon,minus_t_low_GeV2,minus_t_high_GeV2,minus_t_center_GeV2,phi_low_deg,phi_high_deg,phi_center_deg,reduced_cross_section_nb_per_GeV2_rad,propagated_statistical_and_finite_MC_uncertainty_nb_per_GeV2_rad,relative_uncertainty,combination_contributor_count,torus_plus1_BLUE_weight,torus_minus1_BLUE_weight
torus_minus1,RGA Fall 2018 torus-1,1,0,5,17,1.5,2,1.536904761904762,0.05,0.1,0.09761904761904762,10.604,0.3910526191938313,0.6,1,0.8,306,324,315,3.241984914155068,5.769105644389364,1.779497991863086,,,
torus_minus1,RGA Fall 2018 torus-1,1,0,6,3,1.5,2,1.536904761904762,0.05,0.1,0.09761904761904762,10.604,0.3910526191938313,1,1.5,1.25,54,72,63,4.966145717425671,4.155624485397762,0.8367906867525299,,,
torus_minus1,RGA Fall 2018 torus-1,1,0,6,5,1.5,2,1.536904761904762,0.05,0.1,0.09761904761904762,10.604,0.3910526191938313,1,1.5,1.25,90,108,99,2.025128525905565,3.153769731109834,1.557318308821698,,,
torus_minus1,RGA Fall 2018 torus-1,1,0,6,7,1.5,2,1.536904761904762,0.05,0.1,0.09761904761904762,10.604,0.3910526191938313,1,1.5,1.25,126,144,135,3.996158078673278,3.628661111301326,0.9080374299171965,,,
torus_minus1,RGA Fall 2018 torus-1,1,0,6,9,1.5,2,1.536904761904762,0.05,0.1,0.09761904761904762,10.604,0.3910526191938313,1,1.5,1.25,162,180,171,0.9758040395697657,1.655906026144765,1.696965742091884,,,
torus_minus1,RGA Fall 2018 torus-1,1,0,7,5,1.5,2,1.536904761904762,0.05,0.1,0.09761904761904762,10.604,0.3910526191938313,1.5,2,1.75,90,108,99,1.139017448675494,1.769017744553232,1.553108555633045,,,
torus_minus1,RGA Fall 2018 torus-1,1,0,7,12,1.5,2,1.536904761904762,0.05,0.1,0.09761904761904762,10.604,0.3910526191938313,1.5,2,1.75,216,234,225,2.327350492975062,1.858527342512935,0.7985592836673139,,,
torus_minus1,RGA Fall 2018 torus-1,1,1,0,0,1.5,2,1.722596371882086,0.1,0.15,0.1288219954648526,10.604,0.5813536032047781,0.09,0.15,0.12,0,18,9,28.69112903520324,13.89185306436554,0.4841863506772636,,,
torus_minus1,RGA Fall 2018 torus-1,1,1,0,2,1.5,2,1.722596371882086,0.1,0.15,0.1288219954648526,10.604,0.5813536032047781,0.09,0.15,0.12,36,54,45,23.89696950931364,10.94758066490031,0.4581158569346452,,,
torus_minus1,RGA Fall 2018 torus-1,1,1,0,6,1.5,2,1.722596371882086,0.1,0.15,0.1288219954648526,10.604,0.5813536032047781,0.09,0.15,0.12,108,126,117,17.7751299639011,6.989112253476216,0.3931961267045677,,,
