period,sample,quantity,n_finite,n_weighted,mean,std,rms_about_mean,rms_over_mean_percent,min_label,min_value,max_label,max_value,max_over_min,weighted_mean,weighted_mean_stat,reference_mean,reference_mean_type,chi2,ndf,chi2_ndf,p_value,max_pair_pull,max_pair_pull_a,max_pair_pull_b
Sp18 Inb,data,current_efficiency_factor,6,6,0.6308960314096668,0.02346215164275804,0.021417916170575778,3.394840846077259,S3,0.584011197103,S2,0.643557370333,1.1019606704895044,0.627356397392941,0.011332486694522501,0.627356397392941,weighted,4.37262187073077,5,0.8745243741461539,0.49710487079775934,1.5637555870853506,S2,S3
Sp18 Inb,data,slope_percent_per_nA,6,6,-0.755312595586,0.04830806791511198,0.04409903084433066,5.838513895047251,S3,-0.851852396698,S2,-0.729250415615,0.8560760273044522,-0.7625647455656006,0.023190939090957992,-0.7625647455656006,weighted,4.422733603387022,5,0.8845467206774045,0.49028749291304596,1.57314543641575,S2,S3
Sp18 Inb,mc,current_efficiency_factor,6,6,0.865151909017,0.0012619999216193925,0.0011520430410678216,0.13316078125248457,S3,0.863346492122,S2,0.866242061583,1.0033538903411572,0.8651128724416073,0.0010606176120769402,0.8651128724416073,weighted,1.2072932519562247,5,0.24145865039124495,0.9441757650868352,0.7967932269744232,S2,S3
Sp18 Inb,mc,slope_percent_per_nA,6,6,-0.2696961819656512,0.0025239998432814944,0.0023040860821746307,0.8543265482594342,S3,-0.2733070157554099,S2,-0.2675158768334752,0.9788108662123869,-0.2697742551163936,0.0021212352241520667,-0.2697742551163936,weighted,1.207293251971077,5,0.2414586503942154,0.9441757650854026,0.7967932269656512,S2,S3
Sp18 Out,data,current_efficiency_factor,6,6,0.7173245722135001,0.09490311031409689,0.08663429049405343,12.077418486685847,S3,0.542716611407,S4,0.834413971569,1.5374763809159457,0.6556833318976877,0.034881124477649635,0.6556833318976877,weighted,9.050671067247414,5,1.8101342134494829,0.10706004816193766,2.187298732057408,S3,S4
Sp18 Out,data,slope_percent_per_nA,6,6,-0.6319424340368334,0.21245182999250756,0.19394109945024832,30.689678205553808,S3,-1.0229176008,S4,-0.369998056979,0.3617085644920306,-0.7697583874427978,0.07799076376924256,-0.7697583874427978,weighted,9.075937201359359,5,1.8151874402718717,0.10607334383292492,2.190715294178094,S3,S4
Sp18 Out,mc,current_efficiency_factor,6,6,0.7741025235713334,0.0018552646671733488,0.0016936171805885959,0.21878460914648204,S2,0.77262948314,S1,0.777184606084,1.0058956110831905,0.7741416889730961,0.0007265454430884102,0.7741416889730961,weighted,5.189674066689435,5,1.0379348133378872,0.3931735774554908,1.757374770766647,S1,S2
Sp18 Out,mc,slope_percent_per_nA,6,6,-0.5019943920636594,0.004122810372170007,0.003763593735256303,0.7497282429360348,S2,-0.5052678152446655,S1,-0.4951453198116297,0.9799660791215562,-0.5019073578375489,0.0016145454290859423,-0.5019073578375489,weighted,5.18967406835302,5,1.0379348136706041,0.3931735772602273,1.7573747710987206,S1,S2
Fa18 Inb,data,current_efficiency_factor,6,6,0.8375672579331668,0.06733787033918447,0.061470784265215635,7.339205739358148,S1,0.756457093141,S4,0.936569290352,1.2380996871390668,0.8239841138486499,0.01657399765462962,0.8239841138486499,weighted,12.218442218762014,5,2.4436884437524027,0.031914162320985616,2.999144745767734,S1,S4
Fa18 Inb,data,slope_percent_per_nA,6,6,-0.34406390036533335,0.14280846280564033,0.13036569413547786,37.88996578747528,S1,-0.516232487344,S4,-0.134189400117,0.2599398592820074,-0.3727210533560389,0.03510337717146945,-0.3727210533560389,weighted,12.26495399336322,5,2.452990798672644,0.0313322354170512,3.0051459431805343,S1,S4
Fa18 Inb,mc,current_efficiency_factor,6,6,0.8316819598098335,0.0026953797706334424,0.002460533835698395,0.2958503315691738,S2,0.829974567266,S4,0.836085042374,1.0073622437951664,0.8318715773359556,0.00094990952344905,0.8318715773359556,weighted,7.001200212873734,5,1.4002400425747468,0.22055106188732426,1.8600195411709923,S2,S4
Fa18 Inb,mc,slope_percent_per_nA,6,6,-0.33663608038052356,0.005390759541051333,0.0049210676712000195,1.4618360769996457,S2,-0.340050865468361,S4,-0.327829915252703,0.964061405346445,-0.33625684532829225,0.0018998190468968242,-0.33625684532829225,weighted,7.001200212311197,5,1.4002400424622394,0.22055106192914656,1.8600195411192038,S2,S4
Fa18 Out,data,current_efficiency_factor,6,6,0.8337937890385,0.019955241733828448,0.018216560063477237,2.18478001431072,S4,0.80857603626,S2,0.850926940092,1.0523771444277406,0.8318506071933289,0.009152281740882692,0.8318506071933289,weighted,4.080804209680761,5,0.8161608419361522,0.5378418144940735,1.3450131385769024,S2,S4
Fa18 Out,data,slope_percent_per_nA,6,6,-0.3589100241666667,0.043205904784534184,0.039441414446516256,10.989220637705255,S4,-0.413517024345,S2,-0.321816515313,0.77824248184884,-0.3630943213829272,0.01976365812439226,-0.3630943213829272,weighted,4.102252682262872,5,0.8204505364525744,0.5347900653431583,1.3486499861588686,S2,S4
Fa18 Out,mc,current_efficiency_factor,6,6,0.8329273210488335,0.003359696351629468,0.00306696913025878,0.36821569574603585,S1,0.829241171188,S3,0.838539851288,1.0112134809788549,0.8330902289804495,0.000528037415265831,0.8330902289804495,weighted,35.0607052895766,5,7.01214105791532,1.4632553139596477e-06,5.1398609309226755,S1,S3
Fa18 Out,mc,slope_percent_per_nA,6,6,-0.3341453579022136,0.0067193927041572215,0.0061339382613375786,1.8357095546222288,S1,-0.3415176576247081,S3,-0.32292029742246553,0.9455449526926684,-0.3338195420389566,0.0010560748305293774,-0.3338195420389566,weighted,35.060705298998336,5,7.012141059799667,1.4632553076236492e-06,5.1398609315511266,S1,S3
Sp19 Inb,data,current_efficiency_factor,6,6,0.8375672579331668,0.06733787033918447,0.061470784265215635,7.339205739358148,S1,0.756457093141,S4,0.936569290352,1.2380996871390668,0.8239841138486499,0.01657399765462962,0.8239841138486499,weighted,12.218442218762014,5,2.4436884437524027,0.031914162320985616,2.999144745767734,S1,S4
Sp19 Inb,data,slope_percent_per_nA,6,0,0.0,0.0,0.0,,S1,0.0,S1,0.0,,,,0.0,unweighted,,0,,,,,
Sp19 Inb,mc,current_efficiency_factor,6,6,0.8316819598098335,0.0026953797706334424,0.002460533835698395,0.2958503315691738,S2,0.829974567266,S4,0.836085042374,1.0073622437951664,0.8318715773359556,0.00094990952344905,0.8318715773359556,weighted,7.001200212873734,5,1.4002400425747468,0.22055106188732426,1.8600195411709923,S2,S4
Sp19 Inb,mc,slope_percent_per_nA,6,6,-0.3404330509547298,0.012335114164832734,0.011260367129133976,3.307659787307596,S4,-0.3650609655317446,S2,-0.33341653693104556,0.9133174138335879,-0.34123176860073334,0.0018592484974709826,-0.34123176860073334,weighted,39.753089480375586,5,7.9506178960751175,1.6747347085196434e-07,4.94618878265837,S2,S4
