#binNum,Mx2min,Mx2max,numEvents,fracfromMCbins0-6
0,-inf,0.81,23547,0.334905,0.367902,0.161804,0.0586911,0.0238672,0.0133775,0.039453
1,0.81,1,31452,0.323445,0.412788,0.150769,0.0501717,0.0216838,0.0121455,0.0289966
2,1,1.15,19765,0.295826,0.349254,0.152694,0.0663294,0.0410321,0.0249937,0.069871
3,1.15,1.3,13992,0.213908,0.253431,0.135435,0.0934105,0.0789737,0.0609634,0.163879
4,1.3,1.45,12050,0.13278,0.149959,0.100498,0.10639,0.113776,0.101494,0.295104
5,1.45,1.6,11837,0.079581,0.0981668,0.0697812,0.0902256,0.114472,0.124187,0.423587
6,1.6,inf,339113,0.00894392,0.010669,0.00734563,0.00895572,0.0131814,0.0187076,0.932197
