bin_number,xBmin,xBmax,Q2min,Q2max,t_abs_min,t_abs_max,phi_pass2,phi_pass1,pass1_normalized_y,pass1_yerr_stat_plus_31percent_norm,pass2_over_pass1,pass2_yerr_stat_plus_s_comb,pass1_xs,pass1_stat,pass1_norm_frac,pass2_xs,pass2_stat,pass2_s_comb,pass2_n_good_periods
28,0.062,0.09,1,1.2,0.6,0.8,270,271.47647442,1,0.381946812232,0.869294426356,0.101495425883,0.142315674815,0.0317537390173,0.31,0.1237142229,0.0128556483,0.0532339445214,2
29,0.062,0.09,1,1.2,0.6,0.8,337.5,338.547818753,1,0.352614902353,0.797241545024,0.134217592918,1.39554009816,0.234505842889,0.31,1.112582544,0.04514925027,0.163388415618,2
30,0.062,0.09,1,1.2,0.6,0.8,352.5,353.229055847,1,0.38675266816,0.820730470423,0.0545774595677,4.33228078905,1.0018498974,0.31,3.55563485,0.2364448796,0,2
31,0.062,0.09,1.2,1.456,0.15,0.25,120,119.06617343,1,0.3666047821,1.21289131468,0.136793773649,1.12404610165,0.219977477021,0.31,1.363345754,0.153762508,0,2
32,0.062,0.09,1.2,1.456,0.15,0.25,142.5,142.388806086,1,0.341109942697,1.19755190447,0.125744466715,1.04344430278,0.148506697846,0.31,1.249578712,0.1312073474,0,2
33,0.062,0.09,1.2,1.456,0.15,0.25,157.5,157.401160017,1,0.33890867431,1.35676933623,0.137076884303,0.843430212817,0.115519428573,0.31,1.14434025,0.1156147857,0,2
34,0.062,0.09,1.2,1.456,0.15,0.25,180,179.984058302,1,0.347523232374,1.27667919252,0.113006772514,0.980302084765,0.1539804551,0.31,1.251531274,0.1071125554,0.0225895670193,2
35,0.062,0.09,1.2,1.456,0.25,0.4,120,119.118072012,1,0.3878474644,1.28171792945,0.144954850284,0.43051073081,0.100342858614,0.31,0.5517933225,0.06240461853,0,1
36,0.062,0.09,1.2,1.456,0.25,0.4,142.5,142.409745758,1,0.348996800554,1.45709327264,0.325260845843,0.342154586779,0.0548502369496,0.31,0.4985511466,0.05738416603,0.191262461911,2
37,0.062,0.09,1.2,1.456,0.25,0.4,157.5,157.406150688,1,0.336738324826,0.808890264335,0.352828836008,0.423720198415,0.0557199301278,0.31,0.3427431433,0.1495007044,0,2
38,0.062,0.09,1.2,1.456,0.25,0.4,180,180.016115121,1,0.354111421573,1.45823369131,0.354036838864,0.323872779661,0.0554332638777,0.31,0.472282199,0.04178543387,0.226089558234,2
39,0.062,0.09,1.2,1.456,0.25,0.4,255,256.236658473,1,0.360710133973,1.17509046467,0.135468882635,0.515136237508,0.0950029114229,0.31,0.6053316807,0.0697849305,0,2
40,0.062,0.09,1.2,1.456,0.4,0.6,37.5,36.5926075893,1,0.32768423327,0.95800989731,0.0482190805789,1.40829601321,0.14955120164,0.31,1.349161519,0.06790673894,0,2
41,0.062,0.09,1.2,1.456,0.4,0.6,52.5,51.7655293127,1,0.332932462817,1.20410650716,0.089468584164,0.741467551824,0.0900326796875,0.31,0.892805904,0.05075146951,0.0478495011327,2
42,0.062,0.09,1.2,1.456,0.4,0.6,135,134.387272988,1,0.366937156837,0.649026270058,0.180893826246,0.21892041918,0.0429792008446,0.31,0.1420851031,0.02331502749,0.22529152844,2
43,0.062,0.09,1.2,1.456,0.4,0.6,157.5,157.407663787,1,0.367691699865,0.745465855898,0.15230993695,0.183387194488,0.0362611653852,0.31,0.1367088919,0.02793169203,0,2
44,0.062,0.09,1.2,1.456,0.4,0.6,180,179.964850674,1,0.371220337143,0.81450145481,0.110265101178,0.198772425689,0.0405926868584,0.31,0.1619004299,0.02191766163,0,2
45,0.062,0.09,1.2,1.456,0.4,0.6,240,240.823814947,1,0.407372063534,0.857146310597,0.115534228046,0.196615467764,0.0519645412647,0.31,0.1685282228,0.02271581629,0,2
46,0.062,0.09,1.2,1.456,0.4,0.6,262.5,262.799592953,1,0.381885894071,1.06952891061,0.521852881274,0.261353863582,0.0582865033093,0.31,0.279525513,0.04819993811,0.456442500476,2
47,0.062,0.09,1.2,1.456,0.4,0.6,307.5,308.204977862,1,0.340294979047,1.21110669545,0.0698933717815,0.647070459147,0.0908222176284,0.31,0.7836713655,0.04522593617,0,2
