xBmin,xBmax,Q2min,Q2max,t_abs_min,t_abs_max,phi,pass2_xs,n_valid_periods,ref_value,ref_stat,s_obs,s_stat,s_comb,s_obs_percent,s_stat_percent,s_comb_percent,min_ratio,max_ratio,half_width
0.062,0.09,1.2,1.456,0.4,0.6,135,0.1420851031,2,0.157313045078,0.0204659061145,0.38271345507,0.30937568732,0.22529152844,38.271345507,30.937568732,22.529152844,0.461929651632,1.05847629939,0.29827332388
0.062,0.09,1.2,1.456,0.4,0.6,157.5,0.1367088919,2,0.147402618279,0.0234967354475,0.266397129398,0.408600884198,0,26.6397129398,40.8600884198,0,0.624790782994,1.03395444857,0.204581832786
0.062,0.09,1.2,1.456,0.4,0.6,180,0.1619004299,2,0.16603285784,0.0213137545792,0.165473174771,0.241537734388,0,16.5473174771,24.1537734388,0,0.770757981069,1.04701956927,0.138130794099
0.062,0.09,1.2,1.456,0.4,0.6,240,0.1685282228,2,0.171098490326,0.0223087490375,0.118895602345,0.237105095826,0,11.8895602345,23.7105095826,0,0.836063530585,1.03737863707,0.100657553244
0.062,0.09,1.2,1.456,0.4,0.6,262.5,0.279525513,2,0.310300074306,0.0459924352233,0.543228567911,0.294546296452,0.456442500476,54.3228567911,29.4546296452,45.6442500476,0.243222906629,1.13222323902,0.444500166197
0.062,0.09,1.2,1.456,0.4,0.6,285,0.4144154845,2,0.415654040609,0.0359255911832,0.0621448619946,0.144545888099,0,6.21448619946,14.4545888099,0,0.915913022384,1.02556067174,0.0548238246803
0.062,0.09,1.2,1.456,0.4,0.6,307.5,0.7836713655,2,0.788927020147,0.0449823975486,0.0890392547209,0.0977574690307,0,8.90392547209,9.77574690307,0,0.878669599719,1.03368845099,0.0775094256356
0.09,0.118,1,1.2,0.11,0.15,127.5,0.7923689098,2,0.792380781447,0.0703777977767,0.0337943144686,0.143172304138,0,3.37943144686,14.3172304138,0,0.954910994456,1.01584591303,0.0304674592888
0.09,0.118,1,1.2,0.11,0.15,180,0.7790127755,2,0.74011124073,0.0592531947581,0.393364026733,0.120318166141,0.374511410272,39.3364026733,12.0318166141,37.4511410272,0.501312387087,1.24653839413,0.372613003524
0.09,0.118,1,1.2,0.15,0.25,120,0.4613067248,2,0.46527333726,0.0430707521413,0.265618472418,0.152781998882,0.217280541483,26.5618472418,15.2781998882,21.7280541483,0.642196395047,1.11438061926,0.236092112105
0.09,0.118,1,1.2,0.15,0.25,142.5,0.4075397584,2,0.465835883857,0.043694463642,0.481159879657,0.228879785694,0.423236191141,48.1159879657,22.8879785694,42.3236191141,0.323047687855,1.06903062121,0.372991466676
0.09,0.118,1,1.2,0.15,0.25,157.5,0.4559681169,2,0.44226392574,0.0410498036767,0.327162056716,0.141792985138,0.294838533303,32.7162056716,14.1792985138,29.4838533303,0.578266687866,1.19029197604,0.306012644087
0.09,0.118,1,1.2,0.15,0.25,172.5,0.386399975,2,0.385221714035,0.0413997564628,0.0451692596635,0.182990772257,0,4.51692596635,18.2990772257,0,0.982515292908,1.06143947473,0.0394620909106
0.09,0.118,1,1.2,0.15,0.25,195,0.4530388186,2,0.454445332072,0.0368654935502,0.0491951191501,0.137502840827,0,4.91951191501,13.7502840827,0,0.933167768423,1.01933319215,0.0430827118649
0.09,0.118,1,1.2,0.25,0.4,135,0.2704676469,2,0.285093923951,0.0239118109276,0.340551598677,0.157870005394,0.301748989655,34.0551598677,15.7870005394,30.1748989655,0.528188387227,1.09666739251,0.284239502641
0.09,0.118,1,1.2,0.25,0.4,157.5,0.2239086613,2,0.210235333089,0.0229128687936,0.261390155135,0.158164592282,0.208107604257,26.1390155135,15.8164592282,20.8107604257,0.687717861102,1.19781175933,0.255046949113
0.09,0.118,1,1.2,0.25,0.4,172.5,0.1986909658,2,0.199198046773,0.0244000775,0.057094150739,0.204261315902,0,5.7094150739,20.4261315902,0,0.922818663022,1.02371761623,0.0504494766027
0.09,0.118,1,1.2,0.25,0.4,195,0.1951172911,2,0.207589366732,0.0230536765139,0.351687152507,0.216033269955,0.277513025841,35.1687152507,21.6033269955,27.7513025841,0.511006739747,1.09084766318,0.289920461714
0.09,0.118,1,1.2,0.25,0.4,270,0.3372517275,2,0.341179916988,0.0303359785587,0.0613310844718,0.178462503909,0,6.13310844718,17.8462503909,0,0.914489582078,1.01452488457,0.0500176512458
0.09,0.118,1,1.2,0.4,0.6,60,0.2582594698,2,0.260400893951,0.0273769219575,0.254835583233,0.173540411459,0.186614308327,25.4835583233,17.3540411459,18.6614308327,0.656704364971,1.10968343509,0.226489535059
0.09,0.118,1,1.2,0.4,0.6,142.5,0.1268585367,2,0.127811665462,0.0127031830266,0.203381526725,0.164645103506,0.119398640295,20.3381526725,16.4645103506,11.9398640295,0.725674418801,1.08644979078,0.180387685988
