Bin	xB	xB	xB	Q2	Q2	Q2	|t|	|t|	|t|	phi	phi	phi	|t_min|	|t_col|	P1	P2	max(|P1*P2|)	min(|P1*P2|)	ep->epg (all heli.)	ep->epg (all heli.)	ep->epg (all heli.)	ep->epg (all heli.)	ep->epg (all heli.)	ep->epg (all heli.)	DVπ0P (all heli.) 	DVπ0P (all heli.) 	DVπ0P (all heli.) 	DVπ0P (all heli.) 	DVπ0P (all heli.) 	DVπ0P (all heli.) 	cont. ratio (all heli.)	cont. ratio (all heli.)	cont. ratio (all heli.)	cont. ratio (all heli.)	cont. ratio (all heli.)	cont. ratio (all heli.)	Acceptance (all heli.)	Acceptance (all heli.)	Acceptance (all heli.)	Acceptance (all heli.)	Acceptance (all heli.)	Acceptance (all heli.)	Acceptance (all heli.)	Acceptance (all heli.)	RC factor	Finite bin factor	Total RC factor	ep->epg (+ heli.)	ep->epg (+ heli.)	ep->epg (+ heli.)	ep->epg (+ heli.)	ep->epg (+ heli.)	ep->epg (+ heli.)	DVπ0P (+ heli.)	DVπ0P (+ heli.)	DVπ0P (+ heli.)	DVπ0P (+ heli.)	DVπ0P (+ heli.)	DVπ0P (+ heli.)	Acceptance (+ heli.)	Acceptance (+ heli.)	Acceptance (+ heli.)	Acceptance (+ heli.)	Acceptance (+ heli.)	Acceptance (+ heli.)	Acceptance (+ heli.)	Acceptance (+ heli.)	RC factor	Finite bin factor	Total RC factor	ep->epg (- heli.)	ep->epg (- heli.)	ep->epg (- heli.)	ep->epg (- heli.)	ep->epg (- heli.)	ep->epg (- heli.)	DVπ0P (- heli.)	DVπ0P (- heli.)	DVπ0P (- heli.)	DVπ0P (- heli.)	DVπ0P (- heli.)	DVπ0P (- heli.)	Acceptance (- heli.)	Acceptance (- heli.)	Acceptance (- heli.)	Acceptance (- heli.)	Acceptance (- heli.)	Acceptance (- heli.)	Acceptance (- heli.)	Acceptance (- heli.)	RC factor	Finite bin factor	Total RC factor	Nominal Bin Volume	Filled Bin Volume	Unpolarized cross section	Unpolarized cross section	Unpolarized cross section	Polarized cross section	Polarized cross section	BH2 	BH2 	BH2 	BH2 	Int.	Int.	Int.	Int.	Int.	Int.	Int.	DVCS2	DVCS2	DVCS2	DVCS2
(0, 0, 4, 22)	0.062	0.090	0.080	1.000	1.200	1.084	0.600	0.800	0.680	330	345	338.77	0.006	0.364	-0.146	0.519	0.099	0.011	0	0	0	0	0	108	0	0	0	0	0	17	0.0	0.0	0.0	0.0	0.0	0.2	0.0000	0.0000	0.0000	0.0000	0.0107	0.0074	0.0066	0.0077	1.0838	0.8715	0.9446	0	0	0	0	0	57	0	0	0	0	0	8	0.0000	0.0000	0.0000	0.0000	0.0100	0.0072	0.0063	0.0073	1.0838	0.8710	0.9440	0	0	0	0	0	47	0	0	0	0	0	9	0.0000	0.0000	0.0000	0.0000	0.0114	0.0077	0.0069	0.0080	1.0839	0.8719	0.9451	0.0003	0.0002	1.5071e+00	1.4857e+00	1.6480e+00	3.1675e-01	-3.7462e-02	1.1813e+00	1.1755e+00	8.5347e-02	3.5473e-03	1.4389e-01	5.2958e+00	4.4972e+00	0.0000e+00	0.0000e+00	-7.189713e-01	0.000000e+00	3.7342e-04	5.3193e+01	0.0000e+00	0.000000e+00
(0, 1, 1, 4)	0.062	0.090	0.084	1.200	1.456	1.286	0.150	0.250	0.197	60	75	66.88	0.007	0.322	-0.290	1.137	0.058	0.000	0	0	13	0	0	51	0	0	0	0	0	4	0.0	0.0	0.0	0.0	0.0	0.7	0.0037	0.0024	0.0024	0.0022	0.0091	0.0065	0.0059	0.0066	0.9912	1.0115	1.0026	0	0	7	0	0	29	0	0	0	0	0	2	0.0033	0.0021	0.0025	0.0023	0.0096	0.0062	0.0055	0.0065	0.9913	1.0107	1.0019	0	0	6	0	0	22	0	0	0	0	0	2	0.0040	0.0027	0.0023	0.0022	0.0085	0.0068	0.0064	0.0067	0.9911	1.0123	1.0033	0.0002	0.0001	4.5102e+00	2.4710e+00	2.6360e+00	6.6797e-01	4.4190e-01	6.3326e-01	3.8240e+00	1.8931e-01	-5.3731e-03	7.2555e-02	3.1636e+00	3.8294e+00	0.0000e+00	0.0000e+00	-6.622328e+00	0.000000e+00	2.3685e-04	2.8634e+02	0.0000e+00	0.000000e+00
(0, 1, 1, 5)	0.062	0.090	0.084	1.200	1.456	1.286	0.150	0.250	0.197	75	90	81.99	0.007	0.322	-0.405	1.252	0.041	0.001	0	0	9	0	0	73	0	0	0	0	0	2	0.0	0.0	0.0	0.0	0.0	0.1	0.0081	0.0046	0.0049	0.0038	0.0180	0.0126	0.0115	0.0124	0.9850	1.0181	1.0029	0	0	7	0	0	40	0	0	0	0	0	2	0.0081	0.0045	0.0049	0.0036	0.0159	0.0127	0.0109	0.0123	0.9850	1.0191	1.0038	0	0	2	0	0	32	0	0	0	0	0	0	0.0080	0.0047	0.0049	0.0041	0.0200	0.0125	0.0122	0.0125	0.9850	1.0172	1.0019	0.0002	0.0001	3.1427e+00	1.5897e+00	1.7666e+00	4.4134e-01	3.0977e-01	4.1230e-01	3.8240e+00	1.8931e-01	-5.3731e-03	4.7239e-02	3.1636e+00	3.8294e+00	0.0000e+00	0.0000e+00	-6.622328e+00	0.000000e+00	2.3685e-04	2.8634e+02	0.0000e+00	0.000000e+00
(0, 1, 1, 7)	0.062	0.090	0.084	1.200	1.456	1.286	0.150	0.250	0.197	105	120	112.16	0.007	0.322	-0.639	1.486	0.045	0.001	0	0	0	0	34	1	0	0	0	0	1	1	0.0	0.0	0.0	0.0	3.0	0.0	0.0004	0.0001	0.0001	0.0001	0.0293	0.0186	0.0155	0.0186	0.9744	1.0274	1.0012	0	0	0	0	20	0	0	0	0	0	1	0	0.0004	0.0000	0.0001	0.0001	0.0294	0.0203	0.0160	0.0182	0.9748	1.0286	1.0027	0	0	0	0	13	1	0	0	0	0	0	1	0.0004	0.0002	0.0001	0.0001	0.0291	0.0169	0.0150	0.0191	0.9741	1.0263	0.9997	0.0002	0.0001	1.0768e+00	8.2698e-01	1.0031e+00	-3.3268e-01	1.5469e-01	2.2015e-01	3.8240e+00	1.8931e-01	-5.3731e-03	2.5223e-02	3.1636e+00	3.8294e+00	0.0000e+00	0.0000e+00	-6.622328e+00	0.000000e+00	2.3685e-04	2.8634e+02	0.0000e+00	0.000000e+00
(0, 1, 1, 8)	0.062	0.090	0.084	1.200	1.456	1.286	0.150	0.250	0.197	120	135	127.27	0.007	0.322	-0.742	1.589	0.066	0.000	0	5	0	0	96	0	0	1	0	0	5	0	0.0	6.2	0.0	0.0	2.8	0.0	0.0089	0.0053	0.0044	0.0055	0.0755	0.0526	0.0493	0.0510	0.9706	1.0289	0.9986	0	3	0	0	53	0	0	1	0	0	2	0	0.0070	0.0060	0.0045	0.0056	0.0802	0.0536	0.0511	0.0495	0.9702	1.0271	0.9965	0	2	0	0	42	0	0	0	0	0	3	0	0.0108	0.0046	0.0043	0.0054	0.0706	0.0516	0.0474	0.0526	0.9709	1.0308	1.0008	0.0002	0.0001	9.8141e-01	6.5735e-01	8.3013e-01	1.0583e-01	1.0696e-01	1.7714e-01	3.8240e+00	1.8931e-01	-5.3731e-03	2.0296e-02	3.1636e+00	3.8294e+00	0.0000e+00	0.0000e+00	-6.622328e+00	0.000000e+00	2.3685e-04	2.8634e+02	0.0000e+00	0.000000e+00
(0, 1, 1, 9)	0.062	0.090	0.084	1.200	1.456	1.286	0.150	0.250	0.197	135	150	142.29	0.007	0.322	-0.826	1.673	0.074	0.001	0	21	0	0	116	0	0	2	0	0	8	0	0.0	0.0	0.0	0.0	3.1	0.0	0.0281	0.0156	0.0174	0.0175	0.1058	0.0736	0.0647	0.0694	0.9672	1.0290	0.9953	0	15	0	0	59	0	0	0	0	0	4	0	0.0262	0.0146	0.0164	0.0178	0.0962	0.0747	0.0689	0.0675	0.9674	1.0294	0.9958	0	6	0	0	56	0	0	2	0	0	4	0	0.0299	0.0165	0.0184	0.0173	0.1160	0.0726	0.0606	0.0713	0.9671	1.0287	0.9949	0.0002	0.0001	9.2073e-01	5.5511e-01	7.2482e-01	-7.0771e-03	7.0141e-02	1.5114e-01	3.8240e+00	1.8931e-01	-5.3731e-03	1.7316e-02	3.1636e+00	3.8294e+00	0.0000e+00	0.0000e+00	-6.622328e+00	0.000000e+00	2.3685e-04	2.8634e+02	0.0000e+00	0.000000e+00
(0, 1, 1, 10)	0.062	0.090	0.084	1.200	1.456	1.286	0.150	0.250	0.197	150	165	157.37	0.007	0.322	-0.886	1.733	0.056	0.001	0	20	0	0	113	0	0	2	0	0	4	0	0.0	3.9	0.0	0.0	1.2	0.0	0.0263	0.0178	0.0192	0.0169	0.1044	0.0814	0.0747	0.0784	0.9653	1.0352	0.9993	0	11	0	0	54	0	0	1	0	0	2	0	0.0255	0.0193	0.0171	0.0177	0.0977	0.0853	0.0755	0.0800	0.9651	1.0360	0.9998	0	9	0	0	57	0	0	1	0	0	2	0	0.0270	0.0163	0.0213	0.0161	0.1112	0.0777	0.0739	0.0768	0.9656	1.0345	0.9989	0.0002	0.0001	7.8525e-01	4.9611e-01	6.6357e-01	-3.7024e-02	3.9727e-02	1.3609e-01	3.8240e+00	1.8931e-01	-5.3731e-03	1.5592e-02	3.1636e+00	3.8294e+00	0.0000e+00	0.0000e+00	-6.622328e+00	0.000000e+00	2.3685e-04	2.8634e+02	0.0000e+00	0.000000e+00
(0, 1, 1, 11)	0.062	0.090	0.084	1.200	1.456	1.286	0.150	0.250	0.197	165	180	172.46	0.007	0.322	-0.917	1.764	0.062	0.001	0	5	0	0	101	0	0	0	0	0	2	0	0.0	0.0	0.0	0.0	1.3	0.0	0.0129	0.0066	0.0062	0.0053	0.0900	0.0661	0.0629	0.0643	0.9641	1.0359	0.9987	0	2	0	0	41	0	0	0	0	0	2	0	0.0135	0.0069	0.0065	0.0052	0.0959	0.0645	0.0675	0.0648	0.9641	1.0372	1.0000	0	3	0	0	60	0	0	0	0	0	0	0	0.0123	0.0063	0.0059	0.0054	0.0846	0.0678	0.0583	0.0638	0.9641	1.0348	0.9976	0.0002	0.0001	7.7379e-01	4.6911e-01	6.3540e-01	-2.6997e-01	1.2866e-02	1.2919e-01	3.8240e+00	1.8931e-01	-5.3731e-03	1.4802e-02	3.1636e+00	3.8294e+00	0.0000e+00	0.0000e+00	-6.622328e+00	0.000000e+00	2.3685e-04	2.8634e+02	0.0000e+00	0.000000e+00
(0, 1, 1, 12)	0.062	0.090	0.084	1.200	1.456	1.286	0.150	0.250	0.197	180	195	187.51	0.007	0.322	-0.917	1.764	0.041	0.001	0	0	0	0	38	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010	0.0010	0.0011	0.0008	0.0484	0.0330	0.0328	0.0307	0.9645	1.0376	1.0008	0	0	0	0	17	0	0	0	0	0	0	0	0.0004	0.0010	0.0011	0.0004	0.0520	0.0315	0.0353	0.0267	0.9645	1.0363	0.9995	0	0	0	0	21	0	0	0	0	0	0	0	0.0016	0.0010	0.0010	0.0011	0.0447	0.0345	0.0303	0.0347	0.9645	1.0389	1.0020	0.0002	0.0001	6.1651e-01	4.6908e-01	6.3537e-01	-1.5700e-01	-1.2806e-02	1.2918e-01	3.8240e+00	1.8931e-01	-5.3731e-03	1.4801e-02	3.1636e+00	3.8294e+00	0.0000e+00	0.0000e+00	-6.622328e+00	0.000000e+00	2.3685e-04	2.8634e+02	0.0000e+00	0.000000e+00
(0, 1, 1, 13)	0.062	0.090	0.084	1.200	1.456	1.286	0.150	0.250	0.197	195	210	202.62	0.007	0.322	-0.886	1.733	0.061	0.004	0	0	0	0	31	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0000	0.0001	0.0000	0.0000	0.0367	0.0273	0.0219	0.0259	0.9656	1.0344	0.9988	0	0	0	0	17	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	0.0000	0.0372	0.0277	0.0224	0.0266	0.9658	1.0341	0.9987	0	0	0	0	13	0	0	0	0	0	0	0	0.0000	0.0002	0.0000	0.0000	0.0362	0.0270	0.0214	0.0253	0.9653	1.0349	0.9990	0.0002	0.0001	7.9263e-01	4.9609e-01	6.6355e-01	7.1967e-02	-3.9713e-02	1.3608e-01	3.8240e+00	1.8931e-01	-5.3731e-03	1.5591e-02	3.1636e+00	3.8294e+00	0.0000e+00	0.0000e+00	-6.622328e+00	0.000000e+00	2.3685e-04	2.8634e+02	0.0000e+00	0.000000e+00
(0, 1, 1, 15)	0.062	0.090	0.084	1.200	1.456	1.286	0.150	0.250	0.197	225	240	232.73	0.007	0.322	-0.742	1.589	0.045	0.002	0	0	0	0	27	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0000	0.0000	0.0001	0.0183	0.0117	0.0093	0.0104	0.9705	1.0297	0.9994	0	0	0	0	13	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	0.0000	0.0171	0.0110	0.0090	0.0096	0.9700	1.0284	0.9975	0	0	0	0	14	0	0	0	0	0	0	0	0.0003	0.0000	0.0000	0.0001	0.0195	0.0124	0.0096	0.0112	0.9711	1.0310	1.0012	0.0002	0.0001	1.5509e+00	6.5735e-01	8.3012e-01	-1.0378e-02	-1.0696e-01	1.7714e-01	3.8240e+00	1.8931e-01	-5.3731e-03	2.0296e-02	3.1636e+00	3.8294e+00	0.0000e+00	0.0000e+00	-6.622328e+00	0.000000e+00	2.3685e-04	2.8634e+02	0.0000e+00	0.000000e+00
(0, 1, 1, 17)	0.062	0.090	0.084	1.200	1.456	1.286	0.150	0.250	0.197	255	270	262.92	0.007	0.322	-0.524	1.371	0.069	0.004	0	0	5	0	17	18	0	0	1	0	0	0	0.0	0.0	8.3	0.0	0.0	0.0	0.0023	0.0011	0.0016	0.0012	0.0177	0.0107	0.0092	0.0106	0.9789	1.0261	1.0045	0	0	2	0	8	7	0	0	0	0	0	0	0.0024	0.0012	0.0015	0.0014	0.0184	0.0105	0.0091	0.0109	0.9789	1.0257	1.0040	0	0	3	0	9	11	0	0	1	0	0	0	0.0022	0.0010	0.0018	0.0011	0.0171	0.0108	0.0093	0.0103	0.9790	1.0267	1.0051	0.0002	0.0001	2.0641e+00	1.1075e+00	1.2860e+00	-3.8802e-01	-2.1911e-01	2.9101e-01	3.8240e+00	1.8931e-01	-5.3731e-03	3.3341e-02	3.1636e+00	3.8294e+00	0.0000e+00	0.0000e+00	-6.622328e+00	0.000000e+00	2.3685e-04	2.8634e+02	0.0000e+00	0.000000e+00
(0, 1, 1, 18)	0.062	0.090	0.084	1.200	1.456	1.286	0.150	0.250	0.197	270	285	278.00	0.007	0.322	-0.405	1.252	0.036	0.003	0	0	13	0	3	47	0	0	0	0	0	2	0.0	0.0	0.0	0.0	0.0	0.2	0.0069	0.0031	0.0036	0.0041	0.0158	0.0119	0.0115	0.0109	0.9851	1.0187	1.0035	0	0	6	0	2	19	0	0	0	0	0	2	0.0071	0.0026	0.0035	0.0042	0.0133	0.0130	0.0111	0.0105	0.9851	1.0183	1.0031	0	0	7	0	1	27	0	0	0	0	0	0	0.0066	0.0036	0.0038	0.0040	0.0183	0.0108	0.0118	0.0112	0.9851	1.0191	1.0039	0.0002	0.0001	2.0083e+00	1.5893e+00	1.7663e+00	5.7534e-01	-3.0971e-01	4.1221e-01	3.8240e+00	1.8931e-01	-5.3731e-03	4.7228e-02	3.1636e+00	3.8294e+00	0.0000e+00	0.0000e+00	-6.622328e+00	0.000000e+00	2.3685e-04	2.8634e+02	0.0000e+00	0.000000e+00
(0, 1, 1, 19)	0.062	0.090	0.084	1.200	1.456	1.286	0.150	0.250	0.197	285	300	293.09	0.007	0.322	-0.290	1.137	0.045	0.002	0	0	11	0	0	32	0	0	0	0	0	5	0.0	0.0	0.0	0.0	0.0	0.6	0.0030	0.0019	0.0019	0.0019	0.0084	0.0060	0.0058	0.0061	0.9913	1.0098	1.0010	0	0	4	0	0	13	0	0	0	0	0	3	0.0028	0.0016	0.0017	0.0019	0.0079	0.0055	0.0059	0.0058	0.9913	1.0107	1.0020	0	0	7	0	0	19	0	0	0	0	0	2	0.0032	0.0023	0.0020	0.0019	0.0090	0.0066	0.0057	0.0064	0.9913	1.0089	1.0001	0.0002	0.0001	2.9776e+00	2.4689e+00	2.6339e+00	-7.1231e-01	-4.4162e-01	6.3273e-01	3.8240e+00	1.8931e-01	-5.3731e-03	7.2494e-02	3.1636e+00	3.8294e+00	0.0000e+00	0.0000e+00	-6.622328e+00	0.000000e+00	2.3685e-04	2.8634e+02	0.0000e+00	0.000000e+00
(0, 1, 2, 2)	0.062	0.090	0.085	1.200	1.456	1.281	0.250	0.400	0.318	30	45	36.39	0.007	0.326	-0.114	0.866	0.011	0.000	0	0	14	0	0	59	0	0	0	0	0	2	0.0	0.0	0.0	0.0	0.0	0.3	0.0024	0.0014	0.0014	0.0014	0.0049	0.0039	0.0037	0.0038	1.0185	0.9753	0.9933	0	0	8	0	0	31	0	0	0	0	0	1	0.0026	0.0014	0.0015	0.0012	0.0053	0.0038	0.0040	0.0036	1.0186	0.9747	0.9928	0	0	5	0	0	27	0	0	0	0	0	1	0.0022	0.0013	0.0014	0.0017	0.0046	0.0040	0.0035	0.0040	1.0184	0.9759	0.9938	0.0003	0.0001	5.5677e+00	3.6886e+00	3.8208e+00	2.0836e-01	3.9031e-01	1.3138e+00	2.6972e+00	1.3743e-01	-6.9275e-04	1.5157e-01	4.0555e+00	4.0469e+00	0.0000e+00	0.0000e+00	-4.340602e+00	0.000000e+00	2.3952e-04	1.6857e+02	0.0000e+00	0.000000e+00
(0, 1, 2, 3)	0.062	0.090	0.085	1.200	1.456	1.281	0.250	0.400	0.318	45	60	51.68	0.007	0.326	-0.222	0.974	0.010	0.000	0	0	25	0	0	114	0	0	1	0	0	4	0.0	0.0	0.3	0.0	0.0	0.2	0.0078	0.0047	0.0044	0.0047	0.0218	0.0148	0.0145	0.0161	1.0054	0.9969	1.0023	0	0	13	0	0	61	0	0	1	0	0	1	0.0086	0.0042	0.0045	0.0051	0.0225	0.0154	0.0146	0.0158	1.0054	0.9958	1.0012	0	0	12	0	0	53	0	0	0	0	0	3	0.0070	0.0052	0.0043	0.0042	0.0210	0.0142	0.0144	0.0164	1.0055	0.9980	1.0034	0.0003	0.0001	2.7373e+00	1.6682e+00	1.8022e+00	2.1284e-01	2.3553e-01	5.9951e-01	2.6972e+00	1.3743e-01	-6.9275e-04	6.9163e-02	4.0555e+00	4.0469e+00	0.0000e+00	0.0000e+00	-4.340602e+00	0.000000e+00	2.3952e-04	1.6857e+02	0.0000e+00	0.000000e+00
(0, 1, 2, 4)	0.062	0.090	0.085	1.200	1.456	1.281	0.250	0.400	0.318	60	75	66.85	0.007	0.326	-0.355	1.107	0.011	0.000	0	0	25	0	0	113	0	0	0	0	0	4	0.0	0.0	0.0	0.0	0.0	0.5	0.0098	0.0068	0.0058	0.0057	0.0378	0.0274	0.0252	0.0279	0.9948	1.0097	1.0045	0	0	16	0	0	69	0	0	0	0	0	2	0.0111	0.0059	0.0055	0.0055	0.0420	0.0282	0.0247	0.0294	0.9947	1.0116	1.0063	0	0	9	0	0	41	0	0	0	0	0	2	0.0084	0.0077	0.0062	0.0059	0.0334	0.0267	0.0258	0.0264	0.9949	1.0078	1.0027	0.0003	0.0001	1.5001e+00	9.0907e-01	1.0361e+00	5.1020e-01	1.5211e-01	3.3037e-01	2.6972e+00	1.3743e-01	-6.9275e-04	3.8113e-02	4.0555e+00	4.0469e+00	0.0000e+00	0.0000e+00	-4.340602e+00	0.000000e+00	2.3952e-04	1.6857e+02	0.0000e+00	0.000000e+00
(0, 1, 2, 5)	0.062	0.090	0.085	1.200	1.456	1.281	0.250	0.400	0.318	75	90	81.96	0.007	0.326	-0.504	1.255	0.008	0.000	0	0	8	0	1	25	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0051	0.0032	0.0027	0.0036	0.0138	0.0108	0.0108	0.0108	0.9863	1.0194	1.0054	0	0	3	0	1	17	0	0	0	0	0	0	0.0064	0.0035	0.0027	0.0032	0.0165	0.0110	0.0102	0.0106	0.9866	1.0184	1.0047	0	0	5	0	0	7	0	0	0	0	0	0	0.0038	0.0030	0.0028	0.0039	0.0109	0.0107	0.0114	0.0110	0.9860	1.0204	1.0061	0.0003	0.0001	8.1894e-01	5.5850e-01	6.7706e-01	6.6737e-01	1.0192e-01	2.0555e-01	2.6972e+00	1.3743e-01	-6.9275e-04	2.3714e-02	4.0555e+00	4.0469e+00	0.0000e+00	0.0000e+00	-4.340602e+00	0.000000e+00	2.3952e-04	1.6857e+02	0.0000e+00	0.000000e+00
(0, 1, 2, 7)	0.062	0.090	0.085	1.200	1.456	1.281	0.250	0.400	0.318	105	120	112.14	0.007	0.326	-0.806	1.558	0.012	0.000	0	0	0	0	32	0	0	0	0	0	3	0	0.0	0.0	0.0	0.0	7.0	0.0	0.0007	0.0003	0.0002	0.0000	0.0459	0.0264	0.0225	0.0263	0.9739	1.0313	1.0044	0	0	0	0	18	0	0	0	0	0	0	0	0.0004	0.0002	0.0004	0.0000	0.0496	0.0263	0.0219	0.0247	0.9741	1.0308	1.0041	0	0	0	0	14	0	0	0	0	0	3	0	0.0009	0.0004	0.0000	0.0000	0.0424	0.0265	0.0232	0.0278	0.9737	1.0318	1.0047	0.0003	0.0001	4.6973e-01	2.7380e-01	3.7848e-01	8.9258e-02	4.7999e-02	1.0348e-01	2.6972e+00	1.3743e-01	-6.9275e-04	1.1938e-02	4.0555e+00	4.0469e+00	0.0000e+00	0.0000e+00	-4.340602e+00	0.000000e+00	2.3952e-04	1.6857e+02	0.0000e+00	0.000000e+00
(0, 1, 2, 8)	0.062	0.090	0.085	1.200	1.456	1.281	0.250	0.400	0.318	120	135	127.25	0.007	0.326	-0.940	1.692	0.013	0.000	0	2	0	0	84	0	0	0	0	0	4	0	0.0	0.0	0.0	0.0	1.4	0.0	0.0102	0.0063	0.0069	0.0051	0.1195	0.0741	0.0672	0.0711	0.9687	1.0335	1.0012	0	2	0	0	50	0	0	0	0	0	4	0	0.0108	0.0055	0.0062	0.0053	0.1057	0.0775	0.0639	0.0671	0.9689	1.0357	1.0034	0	0	0	0	33	0	0	0	0	0	0	0	0.0096	0.0071	0.0075	0.0048	0.1328	0.0707	0.0705	0.0749	0.9686	1.0316	0.9992	0.0003	0.0001	4.2697e-01	2.1368e-01	3.1354e-01	9.5063e-02	3.2579e-02	8.1738e-02	2.6972e+00	1.3743e-01	-6.9275e-04	9.4298e-03	4.0555e+00	4.0469e+00	0.0000e+00	0.0000e+00	-4.340602e+00	0.000000e+00	2.3952e-04	1.6857e+02	0.0000e+00	0.000000e+00
(0, 1, 2, 9)	0.062	0.090	0.085	1.200	1.456	1.281	0.250	0.400	0.318	135	150	142.37	0.007	0.326	-1.049	1.801	0.018	0.000	0	18	0	0	88	0	0	1	0	0	6	0	0.0	1.9	0.0	0.0	1.8	0.0	0.0267	0.0221	0.0189	0.0195	0.1646	0.1136	0.1015	0.1075	0.9654	1.0324	0.9968	0	8	0	0	47	0	0	1	0	0	4	0	0.0262	0.0204	0.0179	0.0205	0.1701	0.1115	0.0990	0.1090	0.9657	1.0326	0.9972	0	10	0	0	39	0	0	0	0	0	2	0	0.0273	0.0238	0.0200	0.0185	0.1588	0.1157	0.1040	0.1060	0.9652	1.0324	0.9965	0.0003	0.0001	2.9870e-01	1.7803e-01	2.7445e-01	3.4261e-02	2.1032e-02	6.8786e-02	2.6972e+00	1.3743e-01	-6.9275e-04	7.9356e-03	4.0555e+00	4.0469e+00	0.0000e+00	0.0000e+00	-4.340602e+00	0.000000e+00	2.3952e-04	1.6857e+02	0.0000e+00	0.000000e+00
(0, 1, 2, 10)	0.062	0.090	0.085	1.200	1.456	1.281	0.250	0.400	0.318	150	165	157.38	0.007	0.326	-1.126	1.878	0.022	0.000	0	16	0	0	127	0	0	1	0	0	8	0	0.0	2.5	0.0	0.0	2.5	0.0	0.0395	0.0269	0.0232	0.0259	0.1765	0.1208	0.1083	0.1149	0.9631	1.0397	1.0013	0	5	0	0	64	0	0	0	0	0	4	0	0.0335	0.0232	0.0265	0.0263	0.1779	0.1122	0.1138	0.1160	0.9628	1.0459	1.0070	0	11	0	0	61	0	0	1	0	0	4	0	0.0451	0.0304	0.0199	0.0256	0.1753	0.1297	0.1028	0.1138	0.9633	1.0338	0.9959	0.0003	0.0001	4.1100e-01	1.5798e-01	2.5220e-01	-6.4375e-03	1.1840e-02	6.1475e-02	2.6972e+00	1.3743e-01	-6.9275e-04	7.0922e-03	4.0555e+00	4.0469e+00	0.0000e+00	0.0000e+00	-4.340602e+00	0.000000e+00	2.3952e-04	1.6857e+02	0.0000e+00	0.000000e+00
(0, 1, 2, 11)	0.062	0.090	0.085	1.200	1.456	1.281	0.250	0.400	0.318	165	180	172.45	0.007	0.326	-1.166	1.918	0.015	0.000	0	7	0	0	83	0	0	0	0	0	10	0	0.0	0.0	0.0	0.0	2.8	0.0	0.0311	0.0154	0.0115	0.0106	0.1423	0.1016	0.0913	0.1012	0.9623	1.0409	1.0017	0	4	0	0	43	0	0	0	0	0	3	0	0.0280	0.0147	0.0124	0.0121	0.1308	0.0989	0.0789	0.1037	0.9621	1.0395	1.0001	0	3	0	0	38	0	0	0	0	0	7	0	0.0343	0.0161	0.0107	0.0093	0.1532	0.1043	0.1033	0.0987	0.9625	1.0427	1.0036	0.0003	0.0001	3.0873e-01	1.4883e-01	2.4197e-01	5.7872e-02	3.8264e-03	5.8132e-02	2.6972e+00	1.3743e-01	-6.9275e-04	6.7065e-03	4.0555e+00	4.0469e+00	0.0000e+00	0.0000e+00	-4.340602e+00	0.000000e+00	2.3952e-04	1.6857e+02	0.0000e+00	0.000000e+00
(0, 1, 2, 12)	0.062	0.090	0.085	1.200	1.456	1.281	0.250	0.400	0.318	180	195	187.57	0.007	0.326	-1.166	1.918	0.013	0.001	0	0	0	0	31	0	0	0	0	0	5	0	0.0	0.0	0.0	0.0	3.6	0.0	0.0028	0.0026	0.0024	0.0014	0.0796	0.0469	0.0459	0.0495	0.9618	1.0364	0.9968	0	0	0	0	15	0	0	0	0	0	3	0	0.0016	0.0036	0.0016	0.0024	0.0691	0.0468	0.0518	0.0480	0.9621	1.0368	0.9976	0	0	0	0	16	0	0	0	0	0	2	0	0.0040	0.0016	0.0033	0.0004	0.0902	0.0470	0.0399	0.0510	0.9614	1.0362	0.9962	0.0003	0.0001	2.1688e-01	1.4884e-01	2.4197e-01	-4.2892e-02	-3.8358e-03	5.8134e-02	2.6972e+00	1.3743e-01	-6.9275e-04	6.7067e-03	4.0555e+00	4.0469e+00	0.0000e+00	0.0000e+00	-4.340602e+00	0.000000e+00	2.3952e-04	1.6857e+02	0.0000e+00	0.000000e+00
