Bin	xB	xB	xB	Q2	Q2	Q2	|t|	|t|	|t|	phi	phi	phi	|t_min|	|t_col|	P1	P2	max(|P1*P2|)	min(|P1*P2|)	ep->epg (all heli.)	ep->epg (all heli.)	ep->epg (all heli.)	ep->epg (all heli.)	ep->epg (all heli.)	ep->epg (all heli.)	DVπ0P (all heli.) 	DVπ0P (all heli.) 	DVπ0P (all heli.) 	DVπ0P (all heli.) 	DVπ0P (all heli.) 	DVπ0P (all heli.) 	cont. ratio (all heli.)	cont. ratio (all heli.)	cont. ratio (all heli.)	cont. ratio (all heli.)	cont. ratio (all heli.)	cont. ratio (all heli.)	Acceptance (all heli.)	Acceptance (all heli.)	Acceptance (all heli.)	Acceptance (all heli.)	Acceptance (all heli.)	Acceptance (all heli.)	Acceptance (all heli.)	Acceptance (all heli.)	RC factor	Finite bin factor	Total RC factor	ep->epg (+ heli.)	ep->epg (+ heli.)	ep->epg (+ heli.)	ep->epg (+ heli.)	ep->epg (+ heli.)	ep->epg (+ heli.)	DVπ0P (+ heli.)	DVπ0P (+ heli.)	DVπ0P (+ heli.)	DVπ0P (+ heli.)	DVπ0P (+ heli.)	DVπ0P (+ heli.)	Acceptance (+ heli.)	Acceptance (+ heli.)	Acceptance (+ heli.)	Acceptance (+ heli.)	Acceptance (+ heli.)	Acceptance (+ heli.)	Acceptance (+ heli.)	Acceptance (+ heli.)	RC factor	Finite bin factor	Total RC factor	ep->epg (- heli.)	ep->epg (- heli.)	ep->epg (- heli.)	ep->epg (- heli.)	ep->epg (- heli.)	ep->epg (- heli.)	DVπ0P (- heli.)	DVπ0P (- heli.)	DVπ0P (- heli.)	DVπ0P (- heli.)	DVπ0P (- heli.)	DVπ0P (- heli.)	Acceptance (- heli.)	Acceptance (- heli.)	Acceptance (- heli.)	Acceptance (- heli.)	Acceptance (- heli.)	Acceptance (- heli.)	Acceptance (- heli.)	Acceptance (- heli.)	RC factor	Finite bin factor	Total RC factor	Nominal Bin Volume	Filled Bin Volume	Unpolarized cross section	Unpolarized cross section	Unpolarized cross section	Polarized cross section	Polarized cross section	BH2 	BH2 	BH2 	BH2 	Int.	Int.	Int.	Int.	Int.	Int.	Int.	DVCS2	DVCS2	DVCS2	DVCS2
(0, 0, 1, 6)	0.062	0.090	0.077	1.000	1.200	1.089	0.150	0.250	0.197	90	105	97.07	0.006	0.332	-0.687	1.506	0.133	0.001	0	0	0	0	31	6	0	0	0	0	4	1	0.0	0.0	0.0	0.0	4.3	5.7	0.0000	0.0000	0.0000	0.0000	0.0050	0.0032	0.0025	0.0028	0.9742	1.0236	0.9972	0	0	0	0	16	2	0	0	0	0	2	0	0.0000	0.0000	0.0000	0.0000	0.0049	0.0035	0.0025	0.0026	0.9744	1.0241	0.9979	0	0	0	0	15	4	0	0	0	0	2	1	0.0000	0.0000	0.0000	0.0000	0.0050	0.0029	0.0026	0.0030	0.9741	1.0231	0.9966	0.0001	0.0001	2.6191e+00	1.2153e+00	1.4939e+00	-7.1669e-01	2.1429e-01	3.0863e-01	3.9579e+00	2.1531e-01	-6.5817e-03	3.4641e-02	4.9703e+00	5.9781e+00	0.0000e+00	0.0000e+00	-6.233409e+00	0.000000e+00	3.5473e-04	2.6042e+02	0.0000e+00	0.000000e+00
(0, 0, 1, 7)	0.062	0.090	0.077	1.000	1.200	1.089	0.150	0.250	0.197	105	120	112.17	0.006	0.332	-0.837	1.657	0.130	0.001	0	0	0	0	101	0	0	0	0	0	9	0	0.0	0.0	0.0	0.0	3.7	0.0	0.0000	0.0000	0.0000	0.0000	0.0218	0.0141	0.0124	0.0138	0.9695	1.0293	0.9979	0	0	0	0	59	0	0	0	0	0	7	0	0.0000	0.0000	0.0000	0.0000	0.0223	0.0134	0.0134	0.0143	0.9695	1.0273	0.9960	0	0	0	0	40	0	0	0	0	0	2	0	0.0000	0.0000	0.0000	0.0000	0.0214	0.0148	0.0114	0.0133	0.9696	1.0312	0.9999	0.0001	0.0001	1.6837e+00	8.9349e-01	1.1640e+00	2.7850e-01	1.4915e-01	2.3020e-01	3.9579e+00	2.1531e-01	-6.5817e-03	2.5838e-02	4.9703e+00	5.9781e+00	0.0000e+00	0.0000e+00	-6.233409e+00	0.000000e+00	3.5473e-04	2.6042e+02	0.0000e+00	0.000000e+00
(0, 0, 1, 8)	0.062	0.090	0.077	1.000	1.200	1.089	0.150	0.250	0.197	120	135	127.26	0.006	0.332	-0.973	1.792	0.120	0.000	0	0	0	0	244	0	0	0	0	0	21	0	0.0	0.0	0.0	0.0	2.3	0.0	0.0000	0.0000	0.0000	0.0000	0.0727	0.0445	0.0395	0.0454	0.9656	1.0341	0.9986	0	0	0	0	143	0	0	0	0	0	14	0	0.0000	0.0000	0.0000	0.0000	0.0741	0.0435	0.0385	0.0430	0.9657	1.0345	0.9990	0	0	0	0	100	0	0	0	0	0	7	0	0.0000	0.0000	0.0000	0.0000	0.0712	0.0455	0.0405	0.0479	0.9656	1.0338	0.9982	0.0001	0.0001	1.3793e+00	7.0185e-01	9.6421e-01	3.3287e-01	1.0206e-01	1.8328e-01	3.9579e+00	2.1531e-01	-6.5817e-03	2.0572e-02	4.9703e+00	5.9781e+00	0.0000e+00	0.0000e+00	-6.233409e+00	0.000000e+00	3.5473e-04	2.6042e+02	0.0000e+00	0.000000e+00
(0, 0, 1, 9)	0.062	0.090	0.077	1.000	1.200	1.089	0.150	0.250	0.197	135	150	142.33	0.006	0.332	-1.083	1.902	0.137	0.000	0	1	0	0	378	0	0	0	0	0	38	0	0.0	0.0	0.0	0.0	2.9	0.0	0.0000	0.0000	0.0000	0.0000	0.1079	0.0734	0.0660	0.0747	0.9629	1.0404	1.0018	0	1	0	0	204	0	0	0	0	0	17	0	0.0000	0.0000	0.0000	0.0000	0.1010	0.0731	0.0675	0.0748	0.9628	1.0397	1.0011	0	0	0	0	170	0	0	0	0	0	21	0	0.0000	0.0000	0.0000	0.0000	0.1149	0.0737	0.0646	0.0745	0.9630	1.0411	1.0026	0.0001	0.0001	1.2537e+00	5.8719e-01	8.4282e-01	8.1841e-02	6.6319e-02	1.5510e-01	3.9579e+00	2.1531e-01	-6.5817e-03	1.7409e-02	4.9703e+00	5.9781e+00	0.0000e+00	0.0000e+00	-6.233409e+00	0.000000e+00	3.5473e-04	2.6042e+02	0.0000e+00	0.000000e+00
(0, 0, 1, 10)	0.062	0.090	0.077	1.000	1.200	1.089	0.150	0.250	0.197	150	165	157.41	0.006	0.332	-1.161	1.980	0.124	0.000	0	0	0	0	382	0	0	0	0	0	34	0	0.0	0.0	0.0	0.0	2.8	0.0	0.0000	0.0000	0.0000	0.0000	0.1336	0.0870	0.0778	0.0867	0.9602	1.0387	0.9974	0	0	0	0	204	0	0	0	0	0	18	0	0.0000	0.0000	0.0000	0.0000	0.1295	0.0874	0.0798	0.0877	0.9602	1.0362	0.9950	0	0	0	0	173	0	0	0	0	0	16	0	0.0000	0.0000	0.0000	0.0000	0.1379	0.0866	0.0757	0.0857	0.9603	1.0411	0.9998	0.0001	0.0001	1.1320e+00	5.2179e-01	7.7277e-01	7.7210e-02	3.7350e-02	1.3898e-01	3.9579e+00	2.1531e-01	-6.5817e-03	1.5599e-02	4.9703e+00	5.9781e+00	0.0000e+00	0.0000e+00	-6.233409e+00	0.000000e+00	3.5473e-04	2.6042e+02	0.0000e+00	0.000000e+00
(0, 0, 1, 11)	0.062	0.090	0.077	1.000	1.200	1.089	0.150	0.250	0.197	165	180	172.46	0.006	0.332	-1.201	2.020	0.115	0.001	0	0	0	0	276	0	0	0	0	0	17	0	0.0	0.0	0.0	0.0	1.4	0.0	0.0000	0.0000	0.0000	0.0000	0.1062	0.0724	0.0662	0.0726	0.9598	1.0456	1.0035	0	0	0	0	121	0	0	0	0	0	7	0	0.0000	0.0000	0.0000	0.0000	0.1083	0.0705	0.0642	0.0725	0.9599	1.0442	1.0024	0	0	0	0	149	0	0	0	0	0	9	0	0.0000	0.0000	0.0000	0.0000	0.1041	0.0743	0.0683	0.0727	0.9597	1.0470	1.0048	0.0001	0.0001	9.9476e-01	4.9207e-01	7.4069e-01	-2.8302e-02	1.2082e-02	1.3164e-01	3.9579e+00	2.1531e-01	-6.5817e-03	1.4775e-02	4.9703e+00	5.9781e+00	0.0000e+00	0.0000e+00	-6.233409e+00	0.000000e+00	3.5473e-04	2.6042e+02	0.0000e+00	0.000000e+00
(0, 0, 1, 12)	0.062	0.090	0.077	1.000	1.200	1.089	0.150	0.250	0.197	180	195	187.52	0.006	0.332	-1.201	2.020	0.107	0.001	0	0	0	0	171	0	0	0	0	0	14	0	0.0	0.0	0.0	0.0	2.5	0.0	0.0000	0.0000	0.0000	0.0000	0.0620	0.0411	0.0376	0.0392	0.9594	1.0420	0.9996	0	0	0	0	90	0	0	0	0	0	8	0	0.0000	0.0000	0.0000	0.0000	0.0676	0.0396	0.0386	0.0397	0.9594	1.0401	0.9979	0	0	0	0	79	0	0	0	0	0	6	0	0.0000	0.0000	0.0000	0.0000	0.0564	0.0426	0.0365	0.0387	0.9593	1.0439	1.0014	0.0001	0.0001	1.0497e+00	4.9205e-01	7.4067e-01	3.2295e-02	-1.2054e-02	1.3163e-01	3.9579e+00	2.1531e-01	-6.5817e-03	1.4775e-02	4.9703e+00	5.9781e+00	0.0000e+00	0.0000e+00	-6.233409e+00	0.000000e+00	3.5473e-04	2.6042e+02	0.0000e+00	0.000000e+00
(0, 0, 1, 13)	0.062	0.090	0.077	1.000	1.200	1.089	0.150	0.250	0.197	195	210	202.63	0.006	0.332	-1.161	1.980	0.109	0.001	0	0	0	0	128	0	0	0	0	0	9	0	0.0	0.0	0.0	0.0	2.7	0.0	0.0000	0.0000	0.0000	0.0000	0.0440	0.0341	0.0283	0.0327	0.9607	1.0412	1.0003	0	0	0	0	54	0	0	0	0	0	3	0	0.0000	0.0000	0.0000	0.0000	0.0451	0.0335	0.0270	0.0332	0.9606	1.0433	1.0022	0	0	0	0	72	0	0	0	0	0	6	0	0.0000	0.0000	0.0000	0.0000	0.0429	0.0347	0.0296	0.0322	0.9608	1.0392	0.9984	0.0001	0.0001	1.0523e+00	5.2191e-01	7.7289e-01	-1.4777e-01	-3.7415e-02	1.3901e-01	3.9579e+00	2.1531e-01	-6.5817e-03	1.5602e-02	4.9703e+00	5.9781e+00	0.0000e+00	0.0000e+00	-6.233409e+00	0.000000e+00	3.5473e-04	2.6042e+02	0.0000e+00	0.000000e+00
(0, 0, 1, 14)	0.062	0.090	0.077	1.000	1.200	1.089	0.150	0.250	0.197	210	225	217.68	0.006	0.332	-1.083	1.902	0.115	0.004	0	0	0	0	67	0	0	0	0	0	3	0	0.0	0.0	0.0	0.0	1.4	0.0	0.0000	0.0000	0.0000	0.0000	0.0221	0.0153	0.0146	0.0141	0.9626	1.0363	0.9976	0	0	0	0	33	0	0	0	0	0	1	0	0.0000	0.0000	0.0000	0.0000	0.0213	0.0154	0.0151	0.0142	0.9625	1.0368	0.9979	0	0	0	0	31	0	0	0	0	0	2	0	0.0000	0.0000	0.0000	0.0000	0.0230	0.0152	0.0141	0.0141	0.9628	1.0359	0.9973	0.0001	0.0001	1.0485e+00	5.8725e-01	8.4288e-01	6.8146e-02	-6.6340e-02	1.5512e-01	3.9579e+00	2.1531e-01	-6.5817e-03	1.7411e-02	4.9703e+00	5.9781e+00	0.0000e+00	0.0000e+00	-6.233409e+00	0.000000e+00	3.5473e-04	2.6042e+02	0.0000e+00	0.000000e+00
(0, 0, 1, 15)	0.062	0.090	0.077	1.000	1.200	1.089	0.150	0.250	0.197	225	240	232.77	0.006	0.332	-0.972	1.792	0.121	0.001	0	0	0	0	52	0	0	0	0	0	1	0	0.0	0.0	0.0	0.0	1.5	0.0	0.0000	0.0000	0.0000	0.0000	0.0109	0.0070	0.0066	0.0069	0.9657	1.0370	1.0015	0	0	0	0	22	0	0	0	0	0	1	0	0.0000	0.0000	0.0000	0.0000	0.0117	0.0072	0.0066	0.0072	0.9657	1.0358	1.0003	0	0	0	0	29	0	0	0	0	0	0	0	0.0000	0.0000	0.0000	0.0000	0.0101	0.0068	0.0065	0.0067	0.9657	1.0383	1.0027	0.0001	0.0001	1.5908e+00	7.0214e-01	9.6451e-01	-3.2580e-01	-1.0214e-01	1.8335e-01	3.9579e+00	2.1531e-01	-6.5817e-03	2.0580e-02	4.9703e+00	5.9781e+00	0.0000e+00	0.0000e+00	-6.233409e+00	0.000000e+00	3.5473e-04	2.6042e+02	0.0000e+00	0.000000e+00
