campaign_key,campaign_label,iq2,ixb,it,iphi,Q2_low_GeV2,Q2_high_GeV2,Q2_flux_coordinate_GeV2,xB_low,xB_high,xB_flux_coordinate,beam_energy_GeV,virtual_photon_epsilon,minus_t_low_GeV2,minus_t_high_GeV2,minus_t_center_GeV2,phi_low_deg,phi_high_deg,phi_center_deg,reduced_cross_section_nb_per_GeV2_rad,propagated_statistical_and_finite_MC_uncertainty_nb_per_GeV2_rad,relative_uncertainty,combination_contributor_count,torus_plus1_BLUE_weight,torus_minus1_BLUE_weight
rgk6535,"RGK Fall 2018, 6.535 GeV, torus+1",0,1,1,6,1,1.5,1.183757062146893,0.1,0.15,0.1321327683615819,6.535,0.4832631687963477,0.15,0.2,0.175,108,126,117,46.19498813557348,6.606039291128119,0.1430033767243462,,,
rgk6535,"RGK Fall 2018, 6.535 GeV, torus+1",0,1,1,7,1,1.5,1.183757062146893,0.1,0.15,0.1321327683615819,6.535,0.4832631687963477,0.15,0.2,0.175,126,144,135,48.592169524445,5.99735096983979,0.1234221692205518,,,
rgk6535,"RGK Fall 2018, 6.535 GeV, torus+1",0,1,1,8,1,1.5,1.183757062146893,0.1,0.15,0.1321327683615819,6.535,0.4832631687963477,0.15,0.2,0.175,144,162,153,31.3975114202726,4.314227220432221,0.1374066613969485,,,
rgk6535,"RGK Fall 2018, 6.535 GeV, torus+1",0,1,1,9,1,1.5,1.183757062146893,0.1,0.15,0.1321327683615819,6.535,0.4832631687963477,0.15,0.2,0.175,162,180,171,27.47127430650099,4.073928137750808,0.1482977488520336,,,
rgk6535,"RGK Fall 2018, 6.535 GeV, torus+1",0,1,1,10,1,1.5,1.183757062146893,0.1,0.15,0.1321327683615819,6.535,0.4832631687963477,0.15,0.2,0.175,180,198,189,26.75382784737181,5.403539825000517,0.201972587093975,,,
rgk6535,"RGK Fall 2018, 6.535 GeV, torus+1",0,1,1,11,1,1.5,1.183757062146893,0.1,0.15,0.1321327683615819,6.535,0.4832631687963477,0.15,0.2,0.175,198,216,207,27.85141666889036,6.017184175387575,0.2160458926352814,,,
rgk6535,"RGK Fall 2018, 6.535 GeV, torus+1",0,1,1,12,1,1.5,1.183757062146893,0.1,0.15,0.1321327683615819,6.535,0.4832631687963477,0.15,0.2,0.175,216,234,225,41.48559438990421,7.908709342190525,0.1906374841314835,,,
rgk6535,"RGK Fall 2018, 6.535 GeV, torus+1",0,1,1,13,1,1.5,1.183757062146893,0.1,0.15,0.1321327683615819,6.535,0.4832631687963477,0.15,0.2,0.175,234,252,243,49.32569008318797,7.343266958445765,0.148873070930408,,,
rgk6535,"RGK Fall 2018, 6.535 GeV, torus+1",0,1,1,14,1,1.5,1.183757062146893,0.1,0.15,0.1321327683615819,6.535,0.4832631687963477,0.15,0.2,0.175,252,270,261,51.99369114586295,8.325104084736072,0.1601175816000608,,,
rgk6535,"RGK Fall 2018, 6.535 GeV, torus+1",0,1,1,15,1,1.5,1.183757062146893,0.1,0.15,0.1321327683615819,6.535,0.4832631687963477,0.15,0.2,0.175,270,288,279,110.5317717010438,18.03780705395095,0.1631911510722724,,,
