group,period,stage,stage label,valid bins,median ratio,median ratio stat unc,p16,p84,median abs frac dev,frac outside 10pct,frac outside 20pct,all-period valid bins,median ratio to all periods,median ratio to all periods stat unc,all-period p16,all-period p84
inbending,Fa18 Inb,current_eff_epg,curr. eff. epγ,1445,1.0991755449982663,0.0,1.0991755449982663,1.0991755449982663,0.09917554499826631,0.0,0.0,1445,1.046344074598164,0.0,1.046344074598164,1.046344074598164
inbending,Sp18 Inb,current_eff_epg,curr. eff. epγ,1445,0.8835195453879365,0.0,0.8835195453879365,0.8835195453879365,0.11648045461206347,1.0,0.0,1445,0.8410535017041242,0.0,0.8410535017041242,0.8410535017041242
inbending,Sp19 Inb,current_eff_epg,curr. eff. epγ,1445,1.0991755449982663,0.0,1.0991755449982663,1.0991755449982663,0.09917554499826631,0.0,0.0,1445,1.046344074598164,0.0,1.046344074598164,1.046344074598164
inbending,Fa18 Inb,current_eff_eppi0,curr. eff. epπ0,1445,1.076404836556821,0.0,1.076404836556821,1.076404836556821,0.07640483655682107,0.0,0.0,1445,1.416435077295886,0.0,1.416435077295886,1.416435077295886
inbending,Sp18 Inb,current_eff_eppi0,curr. eff. epπ0,1445,0.8972050136336264,0.0,0.8972050136336264,0.8972050136336264,0.10279498636637363,1.0,0.0,1445,1.1806270370370244,0.0,1.1806270370370244,1.1806270370370244
inbending,Sp19 Inb,current_eff_eppi0,curr. eff. epπ0,1445,1.076404836556821,0.0,1.076404836556821,1.076404836556821,0.07640483655682107,0.0,0.0,1445,1.416435077295886,0.0,1.416435077295886,1.416435077295886
outbending,Fa18 Out,raw_epg_over_lumi,raw epγ / L,1415,1.10989645771691,0.0032144666433495906,1.0243728923123991,1.2173767848514596,0.11097005942933125,0.5519434628975265,0.1971731448763251,1415,1.5175519210586073,0.03431189477649415,1.0794720014362122,3.1396362485765468
outbending,Sp18 Out,raw_epg_over_lumi,raw epγ / L,1401,0.7786247935728997,0.004489207940046213,0.6629781016823681,0.9311836233938547,0.2255185510292932,0.8244111349036403,0.5902926481084939,1401,1.0755490268314207,0.02428448285128441,0.7292697727534277,2.180134263685282
outbending,Fa18 Out,current_eff_epg,curr. eff. epγ,1445,1.0074781165752391,0.0,1.0074781165752391,1.0074781165752391,0.007478116575239113,0.0,0.0,1445,1.0616102806480812,0.0,1.0616102806480812,1.0616102806480812
outbending,Sp18 Out,current_eff_epg,curr. eff. epγ,1445,0.8696358065510845,0.0,0.8696358065510845,0.8696358065510845,0.13036419344891548,1.0,0.0,1445,0.9163616533852239,0.0,0.9163616533852239,0.9163616533852239
outbending,Fa18 Out,normalized_raw_epg,eff. corr. raw epγ / L,1415,1.0470268041034776,0.0023037452741378,0.9895649153780623,1.1278870243496888,0.051742322149253894,0.24734982332155478,0.06501766784452297,1415,1.3784029092894536,0.029655321534509924,1.019066785152785,2.799639777720426
outbending,Sp18 Out,normalized_raw_epg,eff. corr. raw epγ / L,1401,0.850850406990685,0.005517657247329774,0.709530100883937,1.039179820925645,0.17261540737153636,0.7309064953604568,0.4125624553890079,1401,1.1446794949036072,0.025255990119329857,0.772064481752589,2.280971196870197
outbending,Fa18 Out,raw_eppi0_over_lumi,raw epπ0 / L,1408,0.9915886836175681,0.0032609014599422467,0.9107730247683289,1.106080077907283,0.060283520191387385,0.30042613636363635,0.08806818181818182,1408,1.3132095705351117,0.038282782800928165,0.8730344868836263,3.1659272917279466
outbending,Sp18 Out,raw_eppi0_over_lumi,raw epπ0 / L,1368,1.0310718746193905,0.010271282209559461,0.7858238548194711,1.392206321357902,0.18326252923932285,0.7090643274853801,0.47514619883040937,1368,1.4105994937144786,0.044075401522618664,0.8313957962446707,3.4334614530604153
outbending,Fa18 Out,current_eff_eppi0,curr. eff. epπ0,1445,1.4925360950213182,0.0,1.4925360950213182,1.4925360950213182,0.49253609502131823,1.0,1.0,1445,1.3946344974691416,0.0,1.3946344974691416,1.3946344974691416
outbending,Sp18 Out,current_eff_eppi0,curr. eff. epπ0,1445,0.8661302392048416,0.0,0.8661302392048416,0.8661302392048416,0.13386976079515844,1.0,0.0,1445,0.8093171849750264,0.0,0.8093171849750264,0.8093171849750264
outbending,Fa18 Out,normalized_raw_eppi0,eff. corr. raw epπ0 / L,1408,0.9245939470994251,0.0014430868724284683,0.8944058503952748,0.98083748530966,0.07798374832610677,0.24928977272727273,0.014204545454545454,1408,1.2339349104105541,0.035413356389501986,0.8430778849325371,2.9641104776548213
outbending,Sp18 Out,normalized_raw_eppi0,eff. corr. raw epπ0 / L,1368,1.6581979736046801,0.019863012733565215,1.1859073825375435,2.3585538358745635,0.6581979736046801,0.9312865497076024,0.8640350877192983,1368,2.338091769247985,0.07293215404517457,1.3257882527361233,5.631460958205537
outbending,Fa18 Out,contamination_ratio,π0 contam.,1391,0.9867826446908652,0.004842291273874811,0.9180219721078305,1.2062879571262084,0.0643816303131639,0.2695902228612509,0.16247304097771387,1391,1.0,0.014277033993706287,0.7842265532345317,1.6341513170629807
outbending,Fa18 Out,signal_over_lumi,signal / L,1414,1.0528054929580202,0.002493926513341517,0.9882917965102535,1.1379798985115486,0.058768717863752484,0.28995756718529,0.086987270155587,1414,1.3993589203570846,0.030678662252490517,1.0229859042579232,2.8643515980534184
outbending,Sp18 Out,signal_over_lumi,signal / L,1383,0.8260382175022685,0.006539566242448367,0.6594877002021245,1.0476728864732499,0.19933256586263026,0.7816341287057122,0.4967462039045553,1383,1.1402584916087246,0.021834186836438074,0.7599375375336397,2.056003296324397
outbending,Fa18 Out,acceptance,acceptance,1427,1.0960004998073936,0.0020020949092043635,1.0266852964176005,1.1474042806704143,0.09948407939030224,0.49614576033637003,0.039243167484232656,1427,1.2421980696276689,0.011842030929640755,1.0644120384489242,1.7784430959899202
outbending,Sp18 Out,acceptance,acceptance,1424,0.9061907363400232,0.0016808569673119732,0.8678928363031193,0.9691357599443454,0.09867106920795515,0.4824438202247191,0.03441011235955056,1424,1.0483729948034053,0.010917994770851376,0.8782229313554742,1.5358456395317204
outbending,Fa18 Out,acceptance_corrected_over_lumi,acc.-corr. / L,1414,1.0115391662918307,0.002347633608575309,0.9576410015239052,1.0985484489495492,0.039457143970918596,0.17114568599717114,0.0785007072135785,1414,1.1091624514901186,0.010086179976883124,0.9552948625695963,1.5606780320841636
outbending,Sp18 Out,acceptance_corrected_over_lumi,acc.-corr. / L,1383,0.9453305105846241,0.008500014573306017,0.7275078542538471,1.2320642144338974,0.16632492290343692,0.6825741142443963,0.4244396240057845,1383,1.0733726593238067,0.011510051972402747,0.7866056548729673,1.4698362397847724
outbending,Fa18 Out,cross_section,cross section,1414,1.0115391663190916,0.0023476336085526336,0.9576410015220297,1.0985484489463127,0.03945714398858058,0.17114568599717114,0.0785007072135785,1414,1.0863651079869872,0.010158772456224461,0.9380788614729766,1.5478191082286106
outbending,Sp18 Out,cross_section,cross section,1383,0.9453305104295989,0.008500014573812175,0.7275078541634298,1.2320642143735252,0.16632492282380396,0.6825741142443963,0.4244396240057845,1383,1.0536679045074382,0.011370114943676277,0.7760383997563491,1.450962396807661
outbending,Fa18 Out,normed_cross_section,normed xsec,1414,1.0115391663190916,0.0023476336085526336,0.9576410015220297,1.0985484489463127,0.03945714398858058,0.17114568599717114,0.0785007072135785,1414,1.0863651079869872,0.010158772456224461,0.9380788614729766,1.5478191082286106
outbending,Sp18 Out,normed_cross_section,normed xsec,1383,0.9453305104295989,0.008500014573812175,0.7275078541634298,1.2320642143735252,0.16632492282380396,0.6825741142443963,0.4244396240057845,1383,1.0536679045074382,0.011370114943676277,0.7760383997563491,1.450962396807661
inbending,Fa18 Inb,raw_epg_over_lumi,raw epγ / L,1272,0.9998189613646626,0.006479301489284912,0.8102584433477876,1.17910919172904,0.12100280769724919,0.574685534591195,0.27908805031446543,1272,0.9151294840819824,0.007515122059646292,0.7052632620209767,1.1330807359355792
inbending,Sp18 Inb,raw_epg_over_lumi,raw epγ / L,1271,0.853494224820979,0.006273435706930394,0.7151898500789702,1.0721807547876268,0.17786925778556262,0.7403619197482297,0.43823760818253343,1271,0.7770156050673693,0.007581490268805515,0.6081152381598554,1.0395412057697258
inbending,Sp19 Inb,raw_epg_over_lumi,raw epγ / L,1271,1.2584330421156091,0.012056679592351061,1.0300312809386478,1.716118643036094,0.26079697752744013,0.7734067663257278,0.5892997639653816,1271,1.1662633548442918,0.011158864444754462,0.9545908189034796,1.5895878603577143
inbending,Fa18 Inb,normalized_raw_epg,eff. corr. raw epγ / L,1272,0.9059843467023053,0.005317015934554483,0.7605599571613305,1.063244638505262,0.12338736443622078,0.589622641509434,0.27358490566037735,1272,0.8358700632110938,0.0065573943109683164,0.6533633378685597,1.0266597191268687
inbending,Sp18 Inb,normalized_raw_epg,eff. corr. raw epγ / L,1271,0.9663998120387653,0.008382224852118456,0.7852704313435015,1.2622623339023196,0.16211909895651166,0.6907946498819827,0.3949645948072384,1271,0.8871903411362375,0.00976114211989103,0.6701231962428941,1.2255826157951053
inbending,Sp19 Inb,normalized_raw_epg,eff. corr. raw epγ / L,1271,1.1451988512815565,0.009948505233203946,0.9629150532235428,1.5290364019729747,0.16375513488231008,0.6546026750590087,0.44689221085759245,1271,1.0675327092768259,0.009588881081205576,0.8909148936883188,1.4365717701175587
inbending,Fa18 Inb,raw_eppi0_over_lumi,raw epπ0 / L,1245,0.980722739494651,0.008316624095798825,0.7837888178172219,1.2521821160666093,0.1457191741920405,0.62570281124498,0.3686746987951807,1245,0.9255224177414151,0.011064173583391384,0.6949946751200414,1.3181303005171705
inbending,Sp18 Inb,raw_eppi0_over_lumi,raw epπ0 / L,1245,0.929408653346932,0.007156150478240321,0.7393512246955176,1.142386505196549,0.14793707177418525,0.6457831325301204,0.35582329317269074,1245,0.861086462263553,0.009496659521155575,0.6358593004694159,1.170712339903111
inbending,Sp19 Inb,raw_eppi0_over_lumi,raw epπ0 / L,1265,1.1574076554055266,0.013161454676841915,0.9350150700801826,1.6821999587514427,0.200552790221038,0.6996047430830039,0.5011857707509881,1265,1.1079519979191135,0.014087613719351898,0.8769584294561937,1.6767220077982334
inbending,Fa18 Inb,normalized_raw_eppi0,eff. corr. raw epπ0 / L,1245,0.9172845563728053,0.007231928354656203,0.7446201731413673,1.1519232730195783,0.14576918343123002,0.6578313253012048,0.36305220883534134,1245,0.8643977599627294,0.009837917370749528,0.6537769583914229,1.2078496821445706
inbending,Sp18 Inb,normalized_raw_eppi0,eff. corr. raw epπ0 / L,1245,1.0438006397145911,0.009232022968014054,0.7986766484160027,1.318625324428256,0.1743733143251216,0.6947791164658634,0.43855421686746987,1245,0.9630526698350683,0.011522532060277212,0.6947375490381793,1.343687980574926
