group,period,stage,stage label,ratio_to_group,ratio_to_all,abs_frac_dev,abs_frac_dev_all,bin index,xB index,Q2 index,t_abs index,phi index,xBavg,Q2avg,t_abs_avg,phiavg
inbending,Sp18 Inb,contamination_ratio,π0 contam.,131.870373010722,44.26898167937544,130.870373010722,43.26898167937544,1081,,,,,,,,
inbending,Sp18 Inb,contamination_ratio,π0 contam.,54.08360621167169,25.8104385996501,53.08360621167169,24.8104385996501,1080,,,,,,,,
inbending,Sp19 Inb,contamination_ratio,π0 contam.,45.690881235532196,29.131970458798403,44.690881235532196,28.131970458798403,344,,,,,,,,
inbending,Fa18 Inb,contamination_ratio,π0 contam.,36.70756961783892,20.60456521807119,35.70756961783892,19.60456521807119,1209,,,,,,,,
outbending,Sp18 Out,contamination_ratio,π0 contam.,33.84735644524323,32.21964434933657,32.84735644524323,31.21964434933657,360,,,,,,,,
outbending,Sp18 Out,contamination_ratio,π0 contam.,33.32202867431212,22.487207646678232,32.32202867431212,21.487207646678232,743,,,,,,,,
inbending,Sp18 Inb,contamination_ratio,π0 contam.,31.652198534461824,19.84892958181754,30.652198534461824,18.84892958181754,663,,,,,,,,
outbending,Fa18 Out,contamination_ratio,π0 contam.,31.078458278129066,16.64002407912255,30.078458278129066,15.64002407912255,2366,,,,,,,,
inbending,Sp18 Inb,contamination_ratio,π0 contam.,30.363765425284946,41.964349594550754,29.363765425284946,40.964349594550754,776,,,,,,,,
outbending,Sp18 Out,contamination_ratio,π0 contam.,29.150077725342623,25.02553471833502,28.150077725342623,24.02553471833502,314,,,,,,,,
inbending,Sp18 Inb,contamination_ratio,π0 contam.,26.593660081164614,59.317107530483746,25.593660081164614,58.317107530483746,1591,,,,,,,,
inbending,Sp18 Inb,contamination_ratio,π0 contam.,26.34772220652487,22.446265793012078,25.34772220652487,21.446265793012078,1714,,,,,,,,
outbending,Sp18 Out,contamination_ratio,π0 contam.,24.577091172231256,27.282282283931803,23.577091172231256,26.282282283931803,1113,,,,,,,,
inbending,Fa18 Inb,contamination_ratio,π0 contam.,24.405298016990802,18.134184845544915,23.405298016990802,17.134184845544915,1742,,,,,,,,
outbending,Sp18 Out,contamination_ratio,π0 contam.,23.761776713115527,23.761776713115527,22.761776713115527,22.761776713115527,1096,,,,,,,,
inbending,Fa18 Inb,contamination_ratio,π0 contam.,23.503491473762526,16.297037751466153,22.503491473762526,15.297037751466153,1879,,,,,,,,
inbending,Sp18 Inb,contamination_ratio,π0 contam.,23.11462109376397,16.90937467337788,22.11462109376397,15.90937467337788,1812,,,,,,,,
inbending,Fa18 Inb,contamination_ratio,π0 contam.,21.429426788569508,15.676579993837855,20.429426788569508,14.676579993837855,1812,,,,,,,,
inbending,Sp18 Inb,contamination_ratio,π0 contam.,20.25018018608061,26.70155941655842,19.25018018608061,25.70155941655842,632,,,,,,,,
inbending,Sp18 Inb,contamination_ratio,π0 contam.,19.90190585937724,17.070988933985138,18.90190585937724,16.070988933985138,1201,,,,,,,,
inbending,Fa18 Inb,contamination_ratio,π0 contam.,19.66853353166256,14.85128148778394,18.66853353166256,13.85128148778394,1892,,,,,,,,
inbending,Sp19 Inb,contamination_ratio,π0 contam.,19.48609167565954,16.67921799781481,18.48609167565954,15.67921799781481,1284,,,,,,,,
outbending,Sp18 Out,contamination_ratio,π0 contam.,18.708176340115546,36.604874962904766,17.708176340115546,35.604874962904766,1081,,,,,,,,
inbending,Sp18 Inb,contamination_ratio,π0 contam.,18.48997946411421,13.33886811844103,17.48997946411421,12.33886811844103,404,,,,,,,,
inbending,Sp19 Inb,contamination_ratio,π0 contam.,17.74702315269735,11.750826505554823,16.74702315269735,10.750826505554823,410,,,,,,,,
inbending,Sp18 Inb,contamination_ratio,π0 contam.,16.596369205566617,12.531557085853796,15.596369205566617,11.531557085853796,1892,,,,,,,,
outbending,Sp18 Out,contamination_ratio,π0 contam.,16.124932081553773,10.640542693247014,15.124932081553773,9.640542693247014,1824,,,,,,,,
outbending,Sp18 Out,contamination_ratio,π0 contam.,15.928998602374795,11.0280568224572,14.928998602374795,10.0280568224572,771,,,,,,,,
outbending,Sp18 Out,contamination_ratio,π0 contam.,15.39472360618424,23.662764596253783,14.39472360618424,22.662764596253783,1099,,,,,,,,
outbending,Fa18 Out,contamination_ratio,π0 contam.,15.086612141338335,7.896772831519729,14.086612141338335,6.896772831519729,2072,,,,,,,,
outbending,Sp18 Out,contamination_ratio,π0 contam.,14.804929801902892,18.691689014839383,13.804929801902892,17.691689014839383,802,,,,,,,,
outbending,Sp18 Out,contamination_ratio,π0 contam.,14.727417672239612,14.727417672239612,13.727417672239612,13.727417672239612,317,,,,,,,,
inbending,Sp18 Inb,contamination_ratio,π0 contam.,14.437485161329068,10.274680173050445,13.437485161329068,9.274680173050445,724,,,,,,,,
inbending,Sp18 Inb,contamination_ratio,π0 contam.,14.177936520160225,11.591388042029596,13.177936520160225,10.591388042029596,2562,,,,,,,,
inbending,Sp18 Inb,acceptance_corrected_over_lumi,acc.-corr. / L,13.767733712917206,9.492667801650645,12.767733712917206,8.492667801650645,2642,,,,,,,,
inbending,Sp18 Inb,cross_section,cross section,13.767733706689354,9.492667795442074,12.767733706689354,8.492667795442074,2642,,,,,,,,
inbending,Sp18 Inb,normed_cross_section,normed xsec,13.767733706689354,9.492667795442074,12.767733706689354,8.492667795442074,2642,,,,,,,,
inbending,Sp18 Inb,contamination_ratio,π0 contam.,13.705496223086488,12.716361137496337,12.705496223086488,11.716361137496337,1827,,,,,,,,
inbending,Sp18 Inb,contamination_ratio,π0 contam.,13.694539958958254,12.262307873495192,12.694539958958254,11.262307873495192,1813,,,,,,,,
outbending,Sp18 Out,contamination_ratio,π0 contam.,13.245132391498586,13.245132391498586,12.245132391498586,12.245132391498586,625,,,,,,,,
outbending,Sp18 Out,contamination_ratio,π0 contam.,13.193315362504823,15.977177830038539,12.193315362504823,14.977177830038539,1102,,,,,,,,
inbending,Sp18 Inb,contamination_ratio,π0 contam.,12.61398363305563,4.591969586405339,11.61398363305563,3.591969586405339,624,,,,,,,,
inbending,Fa18 Inb,contamination_ratio,π0 contam.,12.597355420016955,7.899736265612157,11.597355420016955,6.899736265612157,663,,,,,,,,
outbending,Sp18 Out,contamination_ratio,π0 contam.,12.55991506258796,73.71733982588704,11.55991506258796,72.71733982588704,615,,,,,,,,
inbending,Sp18 Inb,contamination_ratio,π0 contam.,12.401599413252828,20.79304010891125,11.401599413252828,19.79304010891125,1824,,,,,,,,
outbending,Sp18 Out,normalized_raw_eppi0,eff. corr. raw epπ0 / L,12.371112665654708,5.983385577258245,11.371112665654708,4.983385577258245,315,,,,,,,,
outbending,Sp18 Out,normalized_raw_eppi0,eff. corr. raw epπ0 / L,12.371112665654708,3.6166247166154664,11.371112665654708,2.6166247166154664,2216,,,,,,,,
outbending,Sp18 Out,contamination_ratio,π0 contam.,12.203866288403296,11.719398681622364,11.203866288403296,10.719398681622364,1611,,,,,,,,
outbending,Sp18 Out,contamination_ratio,π0 contam.,11.83631527531328,10.788192187380755,10.83631527531328,9.788192187380755,1633,,,,,,,,
inbending,Sp18 Inb,contamination_ratio,π0 contam.,11.637045965678633,8.08281793400803,10.637045965678633,7.08281793400803,1223,,,,,,,,
inbending,Sp18 Inb,contamination_ratio,π0 contam.,11.545770889086857,8.327875009732708,10.545770889086857,7.327875009732708,1674,,,,,,,,
outbending,Sp18 Out,contamination_ratio,π0 contam.,11.461903302116607,24.324325878049596,10.461903302116607,23.324325878049596,1200,,,,,,,,
outbending,Sp18 Out,contamination_ratio,π0 contam.,11.08317083842841,10.62168323820886,10.08317083842841,9.62168323820886,1132,,,,,,,,
outbending,Fa18 Out,contamination_ratio,π0 contam.,11.024956861580167,4.175894768620945,10.024956861580167,3.175894768620945,2518,,,,,,,,
outbending,Sp18 Out,contamination_ratio,π0 contam.,11.015307541193069,8.767419238536478,10.015307541193069,7.767419238536478,1833,,,,,,,,
outbending,Sp18 Out,contamination_ratio,π0 contam.,10.982552032085842,12.019701955903829,9.982552032085842,11.019701955903829,1584,,,,,,,,
inbending,Sp19 Inb,contamination_ratio,π0 contam.,10.930755388098506,5.21650848665904,9.930755388098506,4.21650848665904,1080,,,,,,,,
inbending,Sp19 Inb,contamination_ratio,π0 contam.,10.699943299775033,8.841723009722351,9.699943299775033,7.841723009722351,1832,,,,,,,,
inbending,Fa18 Inb,contamination_ratio,π0 contam.,10.675143497801054,6.283620385741845,9.675143497801054,5.283620385741845,1198,,,,,,,,
inbending,Sp18 Inb,contamination_ratio,π0 contam.,10.610586644263218,7.900372893653833,9.610586644263218,6.900372893653833,1079,,,,,,,,
outbending,Sp18 Out,contamination_ratio,π0 contam.,10.561023811015424,12.12268039214735,9.561023811015424,11.12268039214735,1994,,,,,,,,
outbending,Sp18 Out,contamination_ratio,π0 contam.,10.447783510282575,35.99466788773078,9.447783510282575,34.99466788773078,1812,,,,,,,,
inbending,Sp18 Inb,contamination_ratio,π0 contam.,10.373087009275713,11.212508548290758,9.373087009275713,10.212508548290758,2205,,,,,,,,
inbending,Sp18 Inb,contamination_ratio,π0 contam.,10.360250420346778,6.393506004608839,9.360250420346778,5.393506004608839,1997,,,,,,,,
inbending,Sp18 Inb,contamination_ratio,π0 contam.,10.34975912835246,7.596897498741372,9.34975912835246,6.596897498741372,715,,,,,,,,
outbending,Sp18 Out,normalized_raw_eppi0,eff. corr. raw epπ0 / L,10.338025623672968,6.489063200158421,9.338025623672968,5.489063200158421,1277,,,,,,,,
outbending,Fa18 Out,contamination_ratio,π0 contam.,10.27502898585617,5.836209376904792,9.27502898585617,4.836209376904792,2436,,,,,,,,
outbending,Fa18 Out,contamination_ratio,π0 contam.,10.265181182645495,5.459861330091678,9.265181182645495,4.459861330091678,2435,,,,,,,,
inbending,Sp18 Inb,contamination_ratio,π0 contam.,10.18071719152507,7.595286579188801,9.18071719152507,6.595286579188801,1694,,,,,,,,
inbending,Sp18 Inb,contamination_ratio,π0 contam.,10.157070359068697,8.007501241375985,9.157070359068697,7.007501241375985,1711,,,,,,,,
outbending,Sp18 Out,contamination_ratio,π0 contam.,10.070229024872678,9.744013199257456,9.070229024872678,8.744013199257456,1610,,,,,,,,
outbending,Sp18 Out,contamination_ratio,π0 contam.,9.988073237462691,16.655962117740053,8.988073237462691,15.655962117740053,634,,,,,,,,
outbending,Sp18 Out,contamination_ratio,π0 contam.,9.983478719353307,7.793312684242466,8.983478719353307,6.793312684242466,1878,,,,,,,,
outbending,Sp18 Out,contamination_ratio,π0 contam.,9.954135661589666,13.65318152558731,8.954135661589666,12.65318152558731,1137,,,,,,,,
outbending,Sp18 Out,contamination_ratio,π0 contam.,9.911645755331966,9.026592651423822,8.911645755331966,8.026592651423822,1133,,,,,,,,
outbending,Fa18 Out,contamination_ratio,π0 contam.,9.78396865608739,3.6955321951911446,8.78396865608739,2.6955321951911446,2151,,,,,,,,
inbending,Sp18 Inb,contamination_ratio,π0 contam.,9.774370632054527,6.470795996163157,8.774370632054527,5.470795996163157,670,,,,,,,,
inbending,Sp18 Inb,contamination_ratio,π0 contam.,9.751230341055035,13.979759078332977,8.751230341055035,12.979759078332977,2308,,,,,,,,
outbending,Sp18 Out,contamination_ratio,π0 contam.,9.71220738184998,9.05125374449345,8.71220738184998,8.05125374449345,1604,,,,,,,,
inbending,Sp18 Inb,contamination_ratio,π0 contam.,9.66608841137089,8.501722116232164,8.66608841137089,7.501722116232164,2269,,,,,,,,
outbending,Sp18 Out,contamination_ratio,π0 contam.,9.662438619106084,10.160036078467522,8.662438619106084,9.160036078467522,2010,,,,,,,,
outbending,Sp18 Out,normalized_raw_eppi0,eff. corr. raw epπ0 / L,9.660600622977432,8.718147717927476,8.660600622977432,7.718147717927476,771,,,,,,,,
outbending,Sp18 Out,contamination_ratio,π0 contam.,9.596615672712367,6.684623015455237,8.596615672712367,5.684623015455237,2492,,,,,,,,
inbending,Sp19 Inb,contamination_ratio,π0 contam.,9.581977597295692,7.358457347976479,8.581977597295692,6.358457347976479,1858,,,,,,,,
outbending,Fa18 Out,contamination_ratio,π0 contam.,9.569210688054948,10.264643045828594,8.569210688054948,9.264643045828594,1285,,,,,,,,
