row,bin index,group,period,stage,stage label,value,stat,sys,group_reference,all_period_reference,ratio_to_group,ratio_to_all,abs_frac_dev,abs_frac_dev_all,xB index,Q2 index,t_abs index,phi index,xBavg,Q2avg,t_abs_avg,phiavg
0,4,inbending,Fa18 Inb,current_eff_epg,curr. eff. epγ,0.822480651502,0.0159180463509,,0.7482705153372906,0.7860518078796058,1.0991755449982663,1.046344074598164,0.09917554499826631,0.04634407459816403,,,,,,,,
0,4,inbending,Sp18 Inb,current_eff_epg,curr. eff. epγ,0.661111625538,0.0121982912296,,0.7482705153372906,0.7860518078796058,0.8835195453879365,0.8410535017041242,0.11648045461206347,0.15894649829587582,,,,,,,,
0,4,inbending,Sp19 Inb,current_eff_epg,curr. eff. epγ,0.822480651502,0.0159180463509,,0.7482705153372906,0.7860518078796058,1.0991755449982663,1.046344074598164,0.09917554499826631,0.04634407459816403,,,,,,,,
0,4,inbending,Fa18 Inb,current_eff_eppi0,curr. eff. epπ0,0.784645036111,0.033926520756,,0.728949749632215,0.5539576424561333,1.076404836556821,1.416435077295886,0.07640483655682107,0.416435077295886,,,,,,,,
0,4,inbending,Sp18 Inb,current_eff_eppi0,curr. eff. epπ0,0.654017370057,0.0278259414712,,0.728949749632215,0.5539576424561333,0.8972050136336264,1.1806270370370244,0.10279498636637363,0.18062703703702443,,,,,,,,
0,4,inbending,Sp19 Inb,current_eff_eppi0,curr. eff. epπ0,0.784645036111,0.033926520756,,0.728949749632215,0.5539576424561333,1.076404836556821,1.416435077295886,0.07640483655682107,0.416435077295886,,,,,,,,
0,4,outbending,Fa18 Out,raw_epg_over_lumi,raw epγ / L,8.429444825838987e-06,4.85060042954045e-07,0.0,6.974898322137045e-06,6.974898322137045e-06,1.2085401731356396,1.2085401731356396,0.20854017313563955,0.20854017313563955,,,,,,,,
0,4,outbending,Sp18 Out,raw_epg_over_lumi,raw epγ / L,4.679965705116127e-06,6.092796385765684e-07,0.0,6.974898322137045e-06,6.974898322137045e-06,0.6709726061902259,0.6709726061902259,0.3290273938097741,0.3290273938097741,,,,,,,,
0,4,outbending,Fa18 Out,current_eff_epg,curr. eff. epγ,0.834480680367,0.00899351984041,,0.8282866561942643,0.7860518078796058,1.0074781165752391,1.0616102806480812,0.007478116575239113,0.06161028064808116,,,,,,,,
0,4,outbending,Sp18 Out,current_eff_epg,curr. eff. epγ,0.720307734315,0.0375502422031,,0.8282866561942643,0.7860518078796058,0.8696358065510845,0.9163616533852239,0.13036419344891548,0.0836383466147761,,,,,,,,
0,4,outbending,Fa18 Out,normalized_raw_epg,eff. corr. raw epγ / L,1.0101425981638674e-05,5.909248369530264e-07,0.0,9.027443372152574e-06,9.027443372152574e-06,1.1189686343310743,1.1189686343310743,0.1189686343310743,0.1189686343310743,,,,,,,,
0,4,outbending,Sp18 Out,normalized_raw_epg,eff. corr. raw epγ / L,6.49717541845491e-06,9.070200283892056e-07,0.0,9.027443372152574e-06,9.027443372152574e-06,0.7197137828077755,0.7197137828077755,0.28028621719222446,0.28028621719222446,,,,,,,,
0,4,outbending,Fa18 Out,raw_eppi0_over_lumi,raw epπ0 / L,4.4659310335570795e-07,1.1164827583899679e-07,0.0,4.324077150616343e-07,4.324077150616343e-07,1.032805585561885,1.032805585561885,0.03280558556188495,0.03280558556188495,,,,,,,,
0,4,outbending,Sp18 Out,raw_eppi0_over_lumi,raw epπ0 / L,3.966072631454345e-07,1.7736816015258142e-07,0.0,4.324077150616343e-07,4.324077150616343e-07,0.9172067225694692,0.9172067225694692,0.08279327743053078,0.08279327743053078,,,,,,,,
0,4,outbending,Fa18 Out,current_eff_eppi0,curr. eff. epπ0,0.772568438306,0.0179097565415,,0.5176212762177556,0.5539576424561333,1.4925360950213182,1.3946344974691416,0.49253609502131823,0.3946344974691416,,,,,,,,
0,4,outbending,Sp18 Out,current_eff_eppi0,curr. eff. epπ0,0.448327439788,0.00933709751483,,0.5176212762177556,0.5539576424561333,0.8661302392048416,0.8093171849750264,0.13386976079515844,0.19068281502497364,,,,,,,,
0,4,outbending,Fa18 Out,normalized_raw_eppi0,eff. corr. raw epπ0 / L,5.780628371719664e-07,1.4506317525626273e-07,0.0,6.143601024386027e-07,6.143601024386027e-07,0.9409185832176273,0.9409185832176273,0.059081416782372664,0.059081416782372664,,,,,,,,
0,4,outbending,Sp18 Out,normalized_raw_eppi0,eff. corr. raw epπ0 / L,8.846374947133342e-07,3.9584492991740065e-07,0.0,6.143601024386027e-07,6.143601024386027e-07,1.4399331779552567,1.4399331779552567,0.43993317795525666,0.43993317795525666,,,,,,,,
0,4,outbending,Fa18 Out,contamination_ratio,π0 contam.,0.01602324,0.00639043,0.0,0.01602324,0.01602324,1.0,1.0,0.0,0.0,,,,,,,,
0,4,outbending,Fa18 Out,signal_over_lumi,signal / L,9.939568408762855e-06,5.85028594008255e-07,0.0,8.928199344185544e-06,8.928199344185544e-06,1.1132780559201965,1.1132780559201965,0.11327805592019646,0.11327805592019646,,,,,,,,
0,4,outbending,Sp18 Out,signal_over_lumi,signal / L,6.497175418200288e-06,9.070200285930198e-07,0.0,8.928199344185544e-06,8.928199344185544e-06,0.7277139731911956,0.7277139731911956,0.2722860268088044,0.2722860268088044,,,,,,,,
0,4,outbending,Fa18 Out,acceptance,acceptance,0.0482264188738,0.000858918347252,0.0,0.04093975239331665,0.04093975239331665,1.1779851136000734,1.1779851136000734,0.1779851136000734,0.1779851136000734,,,,,,,,
0,4,outbending,Sp18 Out,acceptance,acceptance,0.0347245712372,0.00079325776082,0.0,0.04093975239331665,0.04093975239331665,0.8481871337079393,0.8481871337079393,0.1518128662920607,0.1518128662920607,,,,,,,,
0,4,outbending,Fa18 Out,acceptance_corrected_over_lumi,acc.-corr. / L,0.00020610214568844067,1.267407449338985e-05,0.0,0.00020255886625248704,0.00020255886625248704,1.017492591173654,1.017492591173654,0.017492591173654093,0.017492591173654093,,,,,,,,
