# phi(deg) q2(GeV2) xb t(GeV2) Eb(GeV) A sigA
323.057761 1.180155 0.144821 -1.304109 6.535 0.059831 0.054456
337.897769 1.149634 0.144126 -1.402617 6.535 0.018706 0.036036
351.967947 1.153588 0.144893 -1.573777 6.535 0.031032 0.053941
6.931184 1.096841 0.208679 -0.212002 6.535 0.084020 0.044456
22.463890 1.096764 0.209444 -0.214949 6.535 0.135526 0.050916
37.480452 1.098059 0.206038 -0.222627 6.535 0.194030 0.064586
52.080754 1.100900 0.206690 -0.227320 6.535 0.296867 0.065124
68.346891 1.098177 0.206055 -0.225449 6.535 0.259488 0.043122
86.186920 1.096395 0.207133 -0.230679 6.535 0.297873 0.051451
104.010932 1.097122 0.203785 -0.242260 6.535 0.115827 0.061265
121.112579 1.095461 0.192834 -0.250082 6.535 0.142499 0.091875
141.223117 1.104830 0.183926 -0.254930 6.535 0.027823 0.108296
168.150336 1.107273 0.180551 -0.261383 6.535 0.323414 0.164290
193.261057 1.102389 0.179017 -0.261606 6.535 0.031181 0.160665
217.496368 1.103219 0.182239 -0.257065 6.535 -0.047578 0.101700
238.428757 1.103842 0.191709 -0.247132 6.535 -0.303742 0.118415
256.144132 1.098383 0.200876 -0.236636 6.535 -0.166945 0.081944
273.534186 1.098013 0.205411 -0.231003 6.535 -0.335669 0.057040
291.456088 1.099737 0.206251 -0.224037 6.535 -0.335854 0.041631
308.078295 1.099636 0.209349 -0.215048 6.535 -0.239537 0.050378
323.070219 1.098919 0.206618 -0.209402 6.535 -0.231958 0.075961
337.995162 1.100629 0.205554 -0.214107 6.535 -0.155886 0.060241
352.239726 1.095253 0.207941 -0.214363 6.535 -0.048945 0.021747
6.303820 1.099644 0.229193 -0.379862 6.535 0.079638 0.053724
23.764599 1.091809 0.211420 -0.395592 6.535 0.189259 0.193485
37.047020 1.095894 0.204186 -0.395575 6.535 0.224199 0.139831
51.772797 1.097955 0.208393 -0.391376 6.535 0.238190 0.052237
68.433966 1.097425 0.212497 -0.388241 6.535 0.236545 0.064437
87.163939 1.095622 0.213989 -0.390722 6.535 0.182084 0.082871
104.116117 1.094863 0.216834 -0.387437 6.535 0.049460 0.086551
122.767649 1.095077 0.215764 -0.408338 6.535 0.128390 0.122560
141.846138 1.092185 0.205282 -0.405567 6.535 -0.049919 0.102218
167.882583 1.094054 0.195496 -0.403452 6.535 0.002429 0.120018
193.221622 1.106016 0.191709 -0.405573 6.535 -0.116700 0.110399
215.626708 1.095427 0.195727 -0.401929 6.535 -0.186133 0.142307
238.253375 1.083413 0.211244 -0.405952 6.535 0.113594 0.142543
255.157587 1.101439 0.216809 -0.392503 6.535 -0.033923 0.078525
273.708593 1.097501 0.212141 -0.390982 6.535 -0.188629 0.083438
291.215112 1.099155 0.210233 -0.389551 6.535 -0.199155 0.060111
307.907746 1.094514 0.211938 -0.392933 6.535 -0.120942 0.055665
