# phi(deg) q2(GeV2) xb t(GeV2) Eb(GeV) A sigA
250.4897 1.1914 0.0938232 -0.313982 10.6041 0.00519163 0.08973174
260.98399 1.17674 0.0987415 -0.318627 10.6041 -0.328399 0.08295231
271.75446 1.16942 0.102587 -0.306225 10.6041 -0.199469 0.07556514
282.65383 1.15107 0.0992428 -0.301803 10.6041 -0.326399 0.074606595
294.1594 1.15937 0.0854947 -0.273451 10.6041 -0.187768 0.05259387
304.85423 1.16632 0.0812401 -0.27661 10.6041 -0.192162 0.0277179
315.20242 1.17431 0.0835805 -0.291959 10.6041 -0.13929 0.01871982
325.6864 1.1806 0.0941907 -0.297287 10.6041 -0.171694 0.01707594
336.30044 1.18051 0.107313 -0.295745 10.6041 -0.136432 0.018079844999999997
349.75521 1.16429 0.11663 -0.275533 10.6041 -0.0298932 0.017722425
5.22237 1.23047 0.150329 -0.336353 10.6041 0.066987 0.032134725
14.86419 1.2435 0.154073 -0.326971 10.6041 0.112146 0.047672415
37.03061 1.23258 0.17595 -0.309014 10.6041 0.2223 0.080333085
72.85273 1.19053 0.163564 -0.323208 10.6041 0.0895558 0.12927075
100.36502 1.21836 0.166943 -0.303842 10.6041 0.133169 0.1234842
112.87498 1.18751 0.160472 -0.305723 10.6041 0.229122 0.1083537
123.93249 1.19514 0.160234 -0.30405 10.6041 0.151947 0.11689229999999999
135.42545 1.21379 0.158525 -0.307527 10.6041 0.0154519 0.11832134999999999
146.1283 1.21661 0.153711 -0.310683 10.6041 0.023972 0.08970528
156.63234 1.22663 0.153274 -0.311731 10.6041 0.173589 0.08871975
166.87052 1.20748 0.151686 -0.315304 10.6041 -0.180139 0.1052184
177.90168 1.20037 0.153405 -0.322646 10.6041 0.0458699 0.08836621500000001
188.99815 1.20439 0.153378 -0.309154 10.6041 -0.0561159 0.11246445
200.08832 1.18909 0.154762 -0.320523 10.6041 -0.0842423 0.09317049
210.31619 1.2181 0.155232 -0.309865 10.6041 0.107171 0.101812095
222.98085 1.1904 0.161021 -0.314325 10.6041 -0.0153734 0.11524485
241.35618 1.20404 0.160814 -0.312265 10.6041 0.0282101 0.1319472
262.55046 1.19125 0.161629 -0.350276 10.6041 -0.231368 0.15714299999999998
279.51116 1.19104 0.159915 -0.342031 10.6041 -0.291731 0.1322769
297.75299 1.18958 0.157857 -0.32817 10.6041 -0.333396 0.11278679999999999
311.78702 1.18489 0.154655 -0.348686 10.6041 -0.308636 0.10031626499999999
327.05405 1.19651 0.153523 -0.369079 10.6041 -0.279221 0.0906591
352.40858 1.23062 0.147092 -0.342307 10.6041 -0.0272579 0.029123114999999998
5.19372 1.2123 0.234882 -0.330858 10.6041 -0.0168883 0.09310539
