# phi(deg) q2(GeV2) xb t(GeV2) Eb(GeV) A sigA
82.09 1.27 0.154 0.11 5.75 2.3581 0.1447
97.15 1.27 0.154 0.11 5.75 1.944 0.1318
112.2 1.27 0.154 0.11 5.75 1.6184 0.145
127.26 1.27 0.154 0.11 5.75 1.1996 0.1376
142.33 1.27 0.154 0.11 5.75 1.1766 0.1098
157.4 1.27 0.154 0.11 5.75 1.0584 0.1018
172.46 1.27 0.154 0.11 5.75 1.1094 0.132
187.54 1.27 0.154 0.11 5.75 0.9541 0.1178
202.6 1.27 0.154 0.11 5.75 1.0561 0.1001
217.67 1.27 0.154 0.11 5.75 1.1877 0.1124
232.74 1.27 0.154 0.11 5.75 1.0885 0.1309
247.8 1.27 0.154 0.11 5.75 1.2801 0.1161
262.85 1.27 0.154 0.11 5.75 1.8438 0.1269
277.91 1.27 0.154 0.11 5.75 2.5906 0.1672
292.97 1.27 0.154 0.11 5.75 2.9282 0.2048
307.23 1.27 0.154 0.11 5.75 4.5416 0.2312
320.51 1.27 0.154 0.11 5.75 7.144 0.3702
53.18 1.27 0.154 0.15 5.75 3.5923 0.2252
66.96 1.27 0.154 0.15 5.75 2.2993 0.1682
82.04 1.27 0.154 0.15 5.75 1.5455 0.1041
97.11 1.27 0.154 0.15 5.75 1.167 0.0832
112.18 1.27 0.154 0.15 5.75 0.8174 0.0743
127.25 1.27 0.154 0.15 5.75 0.7534 0.0895
142.32 1.27 0.154 0.15 5.75 0.6568 0.0679
157.39 1.27 0.154 0.15 5.75 0.5349 0.058
172.46 1.27 0.154 0.15 5.75 0.6159 0.0728
187.54 1.27 0.154 0.15 5.75 0.6326 0.0792
202.61 1.27 0.154 0.15 5.75 0.5483 0.0598
217.68 1.27 0.154 0.15 5.75 0.7841 0.0712
232.75 1.27 0.154 0.15 5.75 0.6841 0.081
247.82 1.27 0.154 0.15 5.75 0.8313 0.0791
262.89 1.27 0.154 0.15 5.75 1.0538 0.0779
277.96 1.27 0.154 0.15 5.75 1.5095 0.1009
293.04 1.27 0.154 0.15 5.75 2.3509 0.1674
306.82 1.27 0.154 0.15 5.75 3.5059 0.2188
53.03 1.27 0.154 0.2 5.75 2.4735 0.1978
66.9 1.27 0.154 0.2 5.75 1.4534 0.1417
82 1.27 0.154 0.2 5.75 1.0145 0.0887
97.09 1.27 0.154 0.2 5.75 0.8253 0.0688
112.17 1.27 0.154 0.2 5.75 0.6273 0.0615
127.24 1.27 0.154 0.2 5.75 0.5037 0.0691
142.31 1.27 0.154 0.2 5.75 0.3612 0.0485
157.39 1.27 0.154 0.2 5.75 0.435 0.0498
172.46 1.27 0.154 0.2 5.75 0.3221 0.0467
187.54 1.27 0.154 0.2 5.75 0.3545 0.0562
202.61 1.27 0.154 0.2 5.75 0.5319 0.0589
217.69 1.27 0.154 0.2 5.75 0.5126 0.0548
232.76 1.27 0.154 0.2 5.75 0.3888 0.0547
247.83 1.27 0.154 0.2 5.75 0.5469 0.0634
262.91 1.27 0.154 0.2 5.75 0.8198 0.0687
278 1.27 0.154 0.2 5.75 1.0263 0.0861
293.1 1.27 0.154 0.2 5.75 1.4254 0.1341
306.97 1.27 0.154 0.2 5.75 2.0991 0.1888
52.39 1.27 0.154 0.26 5.75 1.4858 0.1218
66.86 1.27 0.154 0.26 5.75 0.8723 0.0918
81.97 1.27 0.154 0.26 5.75 0.66 0.0609
97.07 1.27 0.154 0.26 5.75 0.4891 0.044
112.15 1.27 0.154 0.26 5.75 0.4394 0.0428
127.23 1.27 0.154 0.26 5.75 0.2856 0.0405
142.31 1.27 0.154 0.26 5.75 0.3743 0.0426
157.39 1.27 0.154 0.26 5.75 0.2181 0.0283
172.46 1.27 0.154 0.26 5.75 0.2576 0.0334
187.54 1.27 0.154 0.26 5.75 0.3326 0.0484
202.61 1.27 0.154 0.26 5.75 0.2636 0.033
217.69 1.27 0.154 0.26 5.75 0.2902 0.0335
232.77 1.27 0.154 0.26 5.75 0.263 0.0363
247.85 1.27 0.154 0.26 5.75 0.3767 0.0462
262.93 1.27 0.154 0.26 5.75 0.4043 0.0409
278.03 1.27 0.154 0.26 5.75 0.8051 0.0635
293.14 1.27 0.154 0.26 5.75 0.8908 0.0872
307.61 1.27 0.154 0.26 5.75 1.7107 0.1526
51.8 1.27 0.154 0.34 5.75 0.8891 0.0744
66.83 1.27 0.154 0.34 5.75 0.5785 0.0609
81.95 1.27 0.154 0.34 5.75 0.3016 0.0368
97.05 1.27 0.154 0.34 5.75 0.3132 0.0308
112.14 1.27 0.154 0.34 5.75 0.2228 0.0257
127.23 1.27 0.154 0.34 5.75 0.2088 0.0315
142.31 1.27 0.154 0.34 5.75 0.1059 0.0206
157.38 1.27 0.154 0.34 5.75 0.1421 0.0217
172.46 1.27 0.154 0.34 5.75 0.102 0.0181
187.54 1.27 0.154 0.34 5.75 0.1145 0.0241
202.62 1.27 0.154 0.34 5.75 0.1599 0.0239
217.69 1.27 0.154 0.34 5.75 0.1868 0.0232
232.77 1.27 0.154 0.34 5.75 0.1553 0.0231
247.86 1.27 0.154 0.34 5.75 0.2422 0.0337
262.95 1.27 0.154 0.34 5.75 0.3157 0.0319
278.05 1.27 0.154 0.34 5.75 0.3731 0.0359
293.17 1.27 0.154 0.34 5.75 0.5313 0.0547
308.2 1.27 0.154 0.34 5.75 0.9415 0.0928
41.09 1.27 0.154 0.45 5.75 1.0955 0.096
51.65 1.27 0.154 0.45 5.75 0.479 0.039
66.81 1.27 0.154 0.45 5.75 0.302 0.0327
81.93 1.27 0.154 0.45 5.75 0.1867 0.0246
97.04 1.27 0.154 0.45 5.75 0.154 0.0176
112.13 1.27 0.154 0.45 5.75 0.1275 0.0159
127.22 1.27 0.154 0.45 5.75 0.0709 0.0135
142.3 1.27 0.154 0.45 5.75 0.0954 0.018
157.38 1.27 0.154 0.45 5.75 0.0842 0.0158
172.46 1.27 0.154 0.45 5.75 0.0698 0.015
187.54 1.27 0.154 0.45 5.75 0.0553 0.0178
202.62 1.27 0.154 0.45 5.75 0.091 0.0185
217.7 1.27 0.154 0.45 5.75 0.0978 0.0157
232.78 1.27 0.154 0.45 5.75 0.1107 0.0165
247.87 1.27 0.154 0.45 5.75 0.1414 0.0218
262.96 1.27 0.154 0.45 5.75 0.1561 0.0183
278.07 1.27 0.154 0.45 5.75 0.1689 0.0194
293.19 1.27 0.154 0.45 5.75 0.3617 0.0333
308.35 1.27 0.154 0.45 5.75 0.5071 0.0509
318.91 1.27 0.154 0.45 5.75 0.9431 0.088
68.41 1.39 0.155 0.11 5.75 4.9278 0.28
82.12 1.39 0.155 0.11 5.75 3.1648 0.1686
97.15 1.39 0.155 0.11 5.75 2.5254 0.1516
112.22 1.39 0.155 0.11 5.75 1.9683 0.1622
127.28 1.39 0.155 0.11 5.75 1.6288 0.1457
142.34 1.39 0.155 0.11 5.75 1.6075 0.1215
157.4 1.39 0.155 0.11 5.75 1.2713 0.108
172.47 1.39 0.155 0.11 5.75 1.1431 0.1266
187.53 1.39 0.155 0.11 5.75 1.1655 0.1225
202.6 1.39 0.155 0.11 5.75 1.3029 0.1128
217.66 1.39 0.155 0.11 5.75 1.6213 0.1358
232.72 1.39 0.155 0.11 5.75 1.6767 0.1533
247.78 1.39 0.155 0.11 5.75 1.5828 0.1239
262.85 1.39 0.155 0.11 5.75 2.6652 0.1524
277.88 1.39 0.155 0.11 5.75 2.7624 0.1693
291.59 1.39 0.155 0.11 5.75 4.7012 0.2716
68.06 1.39 0.155 0.15 5.75 2.8819 0.1799
82.05 1.39 0.155 0.15 5.75 1.7514 0.1065
